,what,is,the,abc,affiliate,that,serves,lima,",",ohio,?
abc,0.1317344456911087,0.16037321090698242,0.2068762183189392,1.0000001192092896,0.2614424228668213,0.17440107464790344,0.12717047333717346,0.18134461343288422,0.2097204476594925,0.17616164684295654,0.19065172970294952
maintains,0.17929726839065552,0.2847173810005188,0.2744854986667633,0.14086058735847473,0.20651371777057648,0.2821052670478821,0.36392584443092346,0.04495991766452789,0.1875990927219391,0.12664096057415009,0.13273680210113525
affiliations,0.15080924332141876,0.15128561854362488,0.24564355611801147,0.180287703871727,0.7788366675376892,0.142246276140213,0.2657128870487213,0.14397405087947845,0.21957238018512726,0.20764365792274475,0.14362381398677826
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.17432008683681488,0.24708415567874908,0.4154358208179474,0.2114870548248291,0.1583801507949829,0.4120737314224243,0.19753271341323853,0.2433311939239502
low-power,0.2962779700756073,0.18936294317245483,0.3769046366214752,0.2579306364059448,0.24368418753147125,0.37583810091018677,0.1503816545009613,0.15571476519107819,0.32468271255493164,0.20061159133911133,0.23557345569133759
stations,0.1621520221233368,0.2002124935388565,0.24762700498104095,0.23858611285686493,0.30964431166648865,0.2291857898235321,0.3038341701030731,0.13093744218349457,0.26337406039237976,0.1485278159379959,0.13192185759544373
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.183883935213089,0.19882215559482574,0.2264307141304016,0.23397299647331238,0.23505207896232605,0.6363511681556702,0.15443341434001923,0.40561532974243164
broadcasting,0.18499015271663666,0.1978546530008316,0.29916465282440186,0.45669859647750854,0.3611714839935303,0.23971983790397644,0.25048476457595825,0.18321682512760162,0.2411014288663864,0.19825389981269836,0.10870421677827835
either,0.3851809501647949,0.3086068034172058,0.3795609474182129,0.13232512772083282,0.20425768196582794,0.44538983702659607,0.21632584929466248,0.11455291509628296,0.28548023104667664,0.1402040272951126,0.31498292088508606
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1697147786617279,0.2081480771303177,0.435920387506485,0.2791841924190521,0.24472250044345856,0.5201468467712402,0.2508675754070282,0.20430970191955566
analog,0.2780171036720276,0.2597258985042572,0.21098314225673676,0.18717388808727264,0.1672646403312683,0.2722201347351074,0.1385621875524521,0.09739410132169724,0.20826497673988342,0.08943095803260803,0.17692391574382782
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.10767780989408493,0.14548462629318237,0.4729836881160736,0.22351416945457458,0.10235252976417542,0.3769497275352478,0.140212744474411,0.32389625906944275
digital,0.1757969856262207,0.16141945123672485,0.18361380696296692,0.2166869193315506,0.2020062804222107,0.17645800113677979,0.1154007539153099,0.05829671397805214,0.17865565419197083,0.11094991117715836,0.12982943654060364
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.18381085991859436,0.19913357496261597,0.23478686809539795,0.22408124804496765,0.25037330389022827,0.63033527135849,0.17592918872833252,0.42300865054130554
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1697147786617279,0.2081480771303177,0.435920387506485,0.2791841924190521,0.24472250044345856,0.5201468467712402,0.2508675754070282,0.20430970191955566
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.21331243216991425,0.15037991106510162,0.47537946701049805,0.2583726644515991,0.255282461643219,0.427140474319458,0.1863771378993988,0.23916715383529663
