,how,many,first,downs,did,denver,have,?
denver,0.15631112456321716,0.18606427311897278,0.2171352207660675,0.2288353145122528,0.16413381695747375,1.0,0.17510470747947693,0.1520889848470688
won,0.13434793055057526,0.2252970188856125,0.3494749963283539,0.15110409259796143,0.3493216037750244,0.1950361430644989,0.215050607919693,0.17925700545310974
despite,0.180110901594162,0.29778826236724854,0.15924520790576935,0.13235679268836975,0.38115930557250977,0.13984671235084534,0.33455711603164673,0.14350546896457672
being,0.33768191933631897,0.36609646677970886,0.3338102698326111,0.17518214881420135,0.27905046939849854,0.21056878566741943,0.47529760003089905,0.26743772625923157
massively,0.28297463059425354,0.32889363169670105,0.2445443868637085,0.15970627963542938,0.13053585588932037,0.1115947887301445,0.3501774072647095,0.1734902560710907
outgained,0.15460437536239624,0.27254948019981384,0.2555115520954132,0.23470203578472137,0.3479938209056854,0.1766654998064041,0.29287421703338623,0.13968798518180847
in,0.2601168751716614,0.41474202275276184,0.4127444326877594,0.2140151709318161,0.2593238651752472,0.2221570909023285,0.36843645572662354,0.20430970191955566
total,0.22199897468090057,0.2912171483039856,0.18841083347797394,0.11540348827838898,0.14788632094860077,0.1672368049621582,0.2702822685241699,0.14396025240421295
yards,0.1345205456018448,0.13134367763996124,0.1934249997138977,0.30574682354927063,0.11230118572711945,0.3131333589553833,0.13095317780971527,0.12453813850879669
(,0.1676948219537735,0.1455259770154953,0.2450505793094635,0.1813381463289261,0.18979617953300476,0.23238550126552582,0.23072676360607147,0.40561532974243164
315,-0.09786456823348999,-0.10647132992744446,0.031077710911631584,0.0558587983250618,0.07709082961082458,-0.00498051755130291,-0.07124507427215576,-0.017473451793193817
to,0.44169697165489197,0.40243685245513916,0.3792489171028137,0.21259984374046326,0.4452643394470215,0.23706497251987457,0.4544740617275238,0.29463258385658264
194,0.01532113365828991,-0.07381633669137955,0.07312162220478058,0.007555264513939619,0.053098853677511215,0.1517724245786667,-0.06733062863349915,0.16584888100624084
),0.17939934134483337,0.16602720320224762,0.27228695154190063,0.15757158398628235,0.18584993481636047,0.2208423912525177,0.22866283357143402,0.42300865054130554
and,0.33647966384887695,0.5296266674995422,0.3167642652988434,0.28101885318756104,0.34479495882987976,0.20625516772270203,0.4711785912513733,0.20544172823429108
first,0.27731001377105713,0.2931244373321533,1.0,0.1313508152961731,0.33691170811653137,0.2171352207660675,0.3030114769935608,0.18701928853988647
downs,0.1218646913766861,0.2036919891834259,0.1313508152961731,1.0,0.19667908549308777,0.2288353145122528,0.18939031660556793,0.13175012171268463
(,0.1676948219537735,0.1455259770154953,0.2450505793094635,0.1813381463289261,0.18979617953300476,0.23238550126552582,0.23072676360607147,0.40561532974243164
21,-0.15702658891677856,-0.08078290522098541,0.10486142337322235,0.02484610117971897,-0.051883723586797714,0.05681973695755005,-0.1283091902732849,-0.01186173316091299
to,0.44169697165489197,0.40243685245513916,0.3792489171028137,0.21259984374046326,0.4452643394470215,0.23706497251987457,0.4544740617275238,0.29463258385658264
11,0.04696422442793846,0.13612139225006104,0.010843289084732533,0.05630778521299362,0.07614340633153915,0.02322603203356266,0.051798705011606216,-0.04295448586344719
),0.17939934134483337,0.16602720320224762,0.27228695154190063,0.15757158398628235,0.18584993481636047,0.2208423912525177,0.22866283357143402,0.42300865054130554
.,0.3287222981452942,0.3974229395389557,0.4345304071903229,0.23834659159183502,0.35288307070732117,0.2573630213737488,0.41614407300949097,0.4130953550338745
