,what,did,the,loss,mean,to,france,?
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.24238932132720947,0.29509902000427246,0.4451248347759247,0.21557466685771942,0.264628142118454
many,0.36131182312965393,0.375588983297348,0.4335206151008606,0.1755927950143814,0.21793290972709656,0.40243685245513916,0.24514140188694,0.2124512493610382
native,0.19453833997249603,0.15632417798042297,0.24374492466449738,0.20090731978416443,0.21988211572170258,0.2832638621330261,0.16205085813999176,0.1457047313451767
populations,0.19647875428199768,0.10798442363739014,0.2796059846878052,0.22998358309268951,0.25845128297805786,0.21785755455493927,0.106116384267807,0.17519071698188782
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.23328691720962524,0.27540135383605957,0.44245919585227966,0.28250643610954285,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,1.0,0.27898719906806946,0.25977957248687744,0.535392165184021,0.35517507791519165,0.22068053483963013
elimination,0.2329479306936264,0.17735333740711212,0.28632253408432007,0.32413026690483093,0.13525547087192535,0.2503637373447418,0.16818149387836456,0.16252410411834717
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.26357072591781616,0.27551960945129395,0.41548454761505127,0.3265724182128906,0.1826142966747284
french,0.17393042147159576,0.1584041714668274,0.2555147111415863,0.09424960613250732,0.1486806422472,0.1713797152042389,0.5492131114006042,0.1386883556842804
power,0.22216427326202393,0.2120266556739807,0.2647338807582855,0.2098172903060913,0.1408606767654419,0.27001675963401794,0.21432888507843018,0.15304024517536163
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.21028298139572144,0.2099098116159439,0.45010748505592346,0.3812309503555298,0.20430970191955566
north,0.18673177063465118,0.16732536256313324,0.36298373341560364,0.1360565721988678,0.11142789572477341,0.2743184268474579,0.28069406747817993,0.11829731613397598
america,0.2517423629760742,0.2212076634168625,0.37090015411376953,0.1445053070783615,0.1363271176815033,0.2636699676513672,0.2988167703151703,0.19333907961845398
meant,0.40698376297950745,0.46665212512016296,0.34852901101112366,0.1971753090620041,0.4847990572452545,0.38652777671813965,0.21785816550254822,0.28817421197891235
the,0.42745697498321533,0.34736719727516174,1.0,0.27898719906806946,0.25977957248687744,0.535392165184021,0.35517507791519165,0.22068053483963013
disappearance,0.22189614176750183,0.21179436147212982,0.28494200110435486,0.3178344666957855,0.13608886301517487,0.26357120275497437,0.23114702105522156,0.11583512276411057
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.26357072591781616,0.27551960945129395,0.41548454761505127,0.3265724182128906,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.20714472234249115,0.3427932858467102,0.45503583550453186,0.24802380800247192,0.23916715383529663
strong,0.19839218258857727,0.21554261445999146,0.22482411563396454,0.20457446575164795,0.13662613928318024,0.2913058400154114,0.1589539647102356,0.11990999430418015
ally,0.1712556630373001,0.20482929050922394,0.23644182085990906,0.14816462993621826,0.083664171397686,0.2431260496377945,0.19790209829807281,0.10381226241588593
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.20191490650177002,0.22596950829029083,0.48971283435821533,0.2925812005996704,0.20544172823429108
counterweight,0.1903488039970398,0.1743806004524231,0.2778182327747345,0.22442114353179932,0.1567433923482895,0.28169795870780945,0.16190671920776367,0.1314648538827896
to,0.455847829580307,0.4452643394470215,0.535392165184021,0.2457711398601532,0.2274881899356842,1.0,0.2670897841453552,0.29463258385658264
