,what,is,a,common,practice,in,official,corporal,punishment,?
official,0.18967986106872559,0.21236078441143036,0.19875815510749817,0.10228897631168365,0.20263750851154327,0.25180214643478394,1.0,0.11733120679855347,0.08248214423656464,0.18097688257694244
corporal,0.148063525557518,0.13202491402626038,0.1676696091890335,0.09633602201938629,0.1352444440126419,0.15530824661254883,0.11733120679855347,1.0,0.34936437010765076,0.1554132103919983
punishment,0.31300443410873413,0.22508563101291656,0.1934642344713211,0.15432219207286835,0.26913946866989136,0.19258901476860046,0.08248214423656464,0.34936437010765076,1.0000001192092896,0.23842233419418335
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2838936448097229,0.5201468467712402,0.2088543325662613,0.2217067927122116,0.2216428816318512,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.3930865228176117,0.4435911774635315,0.3245416283607483,0.3380797803401947,0.15527918934822083,0.18025285005569458,0.2746441066265106,0.23748154938220978
by,0.2455483376979828,0.3899846076965332,0.32094135880470276,0.10355567932128906,0.199177086353302,0.370934396982193,0.2104732245206833,0.23562589287757874,0.20423543453216553,0.17966607213020325
caning,0.2811415195465088,0.28356894850730896,0.36298468708992004,0.24752385914325714,0.23356880247592926,0.34160810708999634,0.1169600710272789,0.25296467542648315,0.26914817094802856,0.19453231990337372
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2838936448097229,0.5201468467712402,0.2088543325662613,0.2217067927122116,0.2216428816318512,0.31091248989105225
remains,0.2232762724161148,0.3655484914779663,0.30793967843055725,0.1810752898454666,0.23985479772090912,0.31639063358306885,0.19677536189556122,0.1908639818429947,0.14632931351661682,0.1479063630104065
commonplace,0.24919162690639496,0.22932273149490356,0.2705218493938446,0.5572018623352051,0.24428656697273254,0.2957818806171417,0.16196967661380768,0.12411004304885864,0.13312393426895142,0.2074085921049118
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.23149342834949493,0.24572531878948212,1.0,0.25180214643478394,0.15530824661254883,0.19258901476860046,0.20430970191955566
schools,0.1820785105228424,0.2022145688533783,0.2118925303220749,0.19749347865581512,0.34740740060806274,0.2632134258747101,0.1797254979610443,0.21419920027256012,0.18592701852321625,0.18349280953407288
in,0.30808621644973755,0.5394441485404968,0.539380669593811,0.23149342834949493,0.24572531878948212,1.0,0.25180214643478394,0.15530824661254883,0.19258901476860046,0.20430970191955566
some,0.4491020441055298,0.3038453459739685,0.34539633989334106,0.4035886824131012,0.2881247103214264,0.4010399878025055,0.14094135165214539,0.13640184700489044,0.2556392252445221,0.2562315762042999
asian,0.06828422844409943,0.17223115265369415,0.17434273660182953,0.23811320960521698,0.18391628563404083,0.18836280703544617,0.1556478589773178,0.16719292104244232,0.1018998920917511,0.10526347905397415
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2497023195028305,0.2838936448097229,0.5201468467712402,0.2088543325662613,0.2217067927122116,0.2216428816318512,0.31091248989105225
african,0.11136822402477264,0.17217126488685608,0.17609646916389465,0.204217329621315,0.19284027814865112,0.2008972465991974,0.14527666568756104,0.15058492124080658,0.08503083884716034,0.11862778663635254
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.229714497923851,0.2791718542575836,0.4954058527946472,0.15831619501113892,0.2243828922510147,0.2325662225484848,0.20544172823429108
caribbean,0.15882912278175354,0.2064785361289978,0.2038372904062271,0.19624373316764832,0.15804949402809143,0.23028558492660522,0.17064683139324188,0.16386573016643524,0.18884490430355072,0.13602977991104126
countries,0.22319257259368896,0.254234254360199,0.2672088146209717,0.3351489007472992,0.2672508656978607,0.3027990758419037,0.20068010687828064,0.14045284688472748,0.19745223224163055,0.15128466486930847
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.21817955374717712,0.2513175904750824,0.5591574311256409,0.2367454320192337,0.23281329870224,0.24320337176322937,0.4130953550338745
