,the,presence,of,who,is,highly,likely,even,in,small,projects,?
the,1.0,0.34114351868629456,0.733189046382904,0.3733934462070465,0.5823672413825989,0.2051282376050949,0.28129076957702637,0.37996912002563477,0.6662389636039734,0.39655908942222595,0.23802334070205688,0.22068053483963013
presence,0.34114351868629456,0.9999999403953552,0.2917717397212982,0.19076025485992432,0.27154475450515747,0.3546653985977173,0.27876150608062744,0.3247986137866974,0.24880747497081757,0.23996330797672272,0.16601766645908356,0.08592845499515533
of,0.733189046382904,0.2917717397212982,1.0,0.2827862501144409,0.4854315221309662,0.21906863152980804,0.2704482078552246,0.34735506772994995,0.5696388483047485,0.353353351354599,0.21610960364341736,0.1826142966747284
the,1.0,0.34114351868629456,0.733189046382904,0.3733934462070465,0.5823672413825989,0.2051282376050949,0.28129076957702637,0.37996912002563477,0.6662389636039734,0.39655908942222595,0.23802334070205688,0.22068053483963013
mortgage,0.2744140326976776,0.1732577234506607,0.24695326387882233,0.23864278197288513,0.24314096570014954,0.1345677524805069,0.2427210807800293,0.27261894941329956,0.23177610337734222,0.21553441882133484,0.24242499470710754,0.19544269144535065
banker,0.19288764894008636,0.07440254092216492,0.1735401600599289,0.3055954575538635,0.1817595362663269,0.0988101214170456,0.10574597865343094,0.11083312332630157,0.20700779557228088,0.1591273844242096,0.16171348094940186,0.13623839616775513
is,0.5823672413825989,0.27154475450515747,0.4854315221309662,0.24293622374534607,1.0,0.2753744423389435,0.2638912796974182,0.28202980756759644,0.5394441485404968,0.32085540890693665,0.1878127157688141,0.22961433231830597
highly,0.2051282376050949,0.3546653985977173,0.21906863152980804,0.24307133257389069,0.2753744423389435,1.0,0.34284958243370056,0.34265533089637756,0.20217788219451904,0.22930562496185303,0.22267566621303558,0.1542806625366211
likely,0.28129076957702637,0.27876150608062744,0.2704482078552246,0.32538387179374695,0.2638912796974182,0.34284958243370056,1.0,0.4981752932071686,0.21680790185928345,0.21795004606246948,0.21670188009738922,0.35971182584762573
",",0.4933079481124878,0.21457527577877045,0.4946078956127167,0.3365725874900818,0.4691906273365021,0.2038491666316986,0.22176046669483185,0.34610581398010254,0.5201468467712402,0.3083299398422241,0.2649989724159241,0.31091248989105225
even,0.37996912002563477,0.3247986137866974,0.34735506772994995,0.33644744753837585,0.28202980756759644,0.34265533089637756,0.4981752932071686,0.9999999403953552,0.29146435856819153,0.306333988904953,0.2664318084716797,0.30082517862319946
in,0.6662389636039734,0.24880747497081757,0.5696388483047485,0.2792111933231354,0.5394441485404968,0.20217788219451904,0.21680790185928345,0.29146435856819153,1.0,0.3722202181816101,0.19637514650821686,0.20430970191955566
relatively,0.33481109142303467,0.35600417852401733,0.2916591167449951,0.2161729335784912,0.33787083625793457,0.3521106243133545,0.4122737646102905,0.4793362617492676,0.2696114182472229,0.438363254070282,0.2632879316806793,0.1281091868877411
small,0.39655908942222595,0.23996330797672272,0.353353351354599,0.23894593119621277,0.32085540890693665,0.22930562496185303,0.21795004606246948,0.306333988904953,0.3722202181816101,1.0,0.21838204562664032,0.13914890587329865
projects,0.23802334070205688,0.16601766645908356,0.21610960364341736,0.2510550618171692,0.1878127157688141,0.22267566621303558,0.21670188009738922,0.2664318084716797,0.19637514650821686,0.21838204562664032,1.0,0.3193145990371704
since,0.4054957628250122,0.182664692401886,0.35513219237327576,0.27765995264053345,0.3567592203617096,0.17377398908138275,0.3161478638648987,0.3853515386581421,0.4325680434703827,0.2560338079929352,0.2953811287879944,0.2876587212085724
the,1.0,0.34114351868629456,0.733189046382904,0.3733934462070465,0.5823672413825989,0.2051282376050949,0.28129076957702637,0.37996912002563477,0.6662389636039734,0.39655908942222595,0.23802334070205688,0.22068053483963013
owner,0.22181597352027893,0.1566881537437439,0.1597081422805786,0.2990386188030243,0.20626334846019745,0.038481902331113815,0.07993024587631226,0.1785603016614914,0.21050013601779938,0.17644144594669342,0.16596710681915283,0.1461835652589798
's,-0.01540423184633255,0.016902104020118713,-0.03817026689648628,0.05599616840481758,0.02396530658006668,0.01938221976161003,-0.07239501178264618,0.0353488028049469,-0.037580832839012146,0.08369652181863785,0.07505683600902557,-0.023395681753754616
equity,0.16617879271507263,0.09998613595962524,0.22209182381629944,0.1354588270187378,0.16490055620670319,0.06725873798131943,0.14539961516857147,0.17408159375190735,0.15138022601604462,0.09766130894422531,0.2328065186738968,0.17184023559093475
in,0.6662389636039734,0.24880747497081757,0.5696388483047485,0.2792111933231354,0.5394441485404968,0.20217788219451904,0.21680790185928345,0.29146435856819153,1.0,0.3722202181816101,0.19637514650821686,0.20430970191955566
the,1.0,0.34114351868629456,0.733189046382904,0.3733934462070465,0.5823672413825989,0.2051282376050949,0.28129076957702637,0.37996912002563477,0.6662389636039734,0.39655908942222595,0.23802334070205688,0.22068053483963013
property,0.2061677873134613,0.20617710053920746,0.2299845814704895,0.17305545508861542,0.1944577693939209,0.12858009338378906,0.21930544078350067,0.22909694910049438,0.19798405468463898,0.20910292863845825,0.211933434009552,0.16865147650241852
is,0.5823672413825989,0.27154475450515747,0.4854315221309662,0.24293622374534607,1.0,0.2753744423389435,0.2638912796974182,0.28202980756759644,0.5394441485404968,0.32085540890693665,0.1878127157688141,0.22961433231830597
the,1.0,0.34114351868629456,0.733189046382904,0.3733934462070465,0.5823672413825989,0.2051282376050949,0.28129076957702637,0.37996912002563477,0.6662389636039734,0.39655908942222595,0.23802334070205688,0.22068053483963013
most,0.47635307908058167,0.3155669569969177,0.4178851246833801,0.35393568873405457,0.41165053844451904,0.4704337418079376,0.38152775168418884,0.4393576383590698,0.41416558623313904,0.25981590151786804,0.21815825998783112,0.2107497900724411
obvious,0.30144795775413513,0.26692995429039,0.2695575952529907,0.2045353502035141,0.24428920447826385,0.3483840227127075,0.4855665862560272,0.45113658905029297,0.1853051483631134,0.26301878690719604,0.23896458745002747,0.34152713418006897
source,0.30258262157440186,0.2356134057044983,0.18598204851150513,0.09713317453861237,0.2948454022407532,0.1985314041376114,0.22972919046878815,0.2662196457386017,0.24019475281238556,0.15938355028629303,0.25475168228149414,0.2462312877178192
of,0.733189046382904,0.2917717397212982,1.0,0.2827862501144409,0.4854315221309662,0.21906863152980804,0.2704482078552246,0.34735506772994995,0.5696388483047485,0.353353351354599,0.21610960364341736,0.1826142966747284
funding,0.3006567358970642,0.23704099655151367,0.27515512704849243,0.26179713010787964,0.17921492457389832,0.20322510600090027,0.24127759039402008,0.23635023832321167,0.2074873298406601,0.14766399562358856,0.4929717481136322,0.1842934638261795
for,0.4739971458911896,0.2598138153553009,0.4185989499092102,0.37110671401023865,0.43268078565597534,0.2978450059890747,0.2984500229358673,0.39184510707855225,0.4322226941585541,0.20376276969909668,0.3048563301563263,0.264628142118454
a,0.5829201340675354,0.2469376027584076,0.5052502155303955,0.36608949303627014,0.658733606338501,0.27636659145355225,0.3132456839084625,0.3278432786464691,0.539380669593811,0.41262131929397583,0.21870890259742737,0.23916715383529663
building,0.3159640431404114,0.1655682623386383,0.26200541853904724,0.19264253973960876,0.20087163150310516,0.07593380659818649,0.09351100772619247,0.212937593460083,0.3256937265396118,0.22012944519519806,0.29935577511787415,0.13549931347370148
project,0.2027820199728012,0.1286752074956894,0.17578177154064178,0.2255522608757019,0.1924840211868286,0.16162531077861786,0.18802893161773682,0.19362829625606537,0.16277937591075897,0.19760499894618988,0.7827755212783813,0.30569031834602356
.,0.5934505462646484,0.19082973897457123,0.5352458953857422,0.3541337847709656,0.4569662809371948,0.2621603310108185,0.26822179555892944,0.3729337155818939,0.5591574311256409,0.3130834400653839,0.2564103305339813,0.4130953550338745
