,where,was,the,boat,demonstration,given,?
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.1934967190027237,0.27814018726348877,0.2528568208217621,0.20430970191955566
1898,0.05471803620457649,-0.018546821549534798,-0.022823922336101532,0.12478993088006973,-0.04484476521611214,0.04429023712873459,0.1948045939207077
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.21446914970874786,0.27810192108154297,0.2843315005302429,0.31091248989105225
tesla,0.12761090695858002,0.16455206274986267,0.1324402391910553,0.11209569126367569,0.33262601494789124,0.19166657328605652,0.10250775516033173
demonstrated,0.24576587975025177,0.21351228654384613,0.2412586510181427,0.0791049674153328,0.8073047995567322,0.20483368635177612,0.1947716772556305
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.26391369104385376,0.26581549644470215,0.3335871398448944,0.23916715383529663
radio-controlled,0.3021310269832611,0.26627612113952637,0.3496111035346985,0.21700245141983032,0.2743142247200012,0.22715763747692108,0.18487884104251862
boat—which,0.3184168040752411,0.3802085518836975,0.4623936712741852,0.732565701007843,0.23147496581077576,0.23591263592243195,0.2530039846897125
he,0.3705328106880188,0.5410010814666748,0.4571082592010498,0.2337060123682022,0.23625464737415314,0.22582392394542694,0.2089974731206894
dubbed,0.18088477849960327,0.3000064492225647,0.2979377508163452,0.10136682540178299,0.22247953712940216,0.21811605989933014,0.14647041261196136
``,0.020612511783838272,-0.012679691426455975,0.029072100296616554,-0.0019328135531395674,0.02130320481956005,0.044645439833402634,0.0685480609536171
teleautomaton,0.2362799048423767,0.1665952354669571,0.2658497393131256,0.1617487668991089,0.20305919647216797,0.22241806983947754,0.29741448163986206
'',0.016034942120313644,0.04456103965640068,0.041273195296525955,-0.10054222494363785,-0.06051810085773468,0.10763400048017502,0.018684765323996544
—to,0.1941947489976883,0.16239690780639648,0.20468340814113617,0.08405610918998718,0.16571953892707825,0.13447816669940948,0.3152444362640381
the,0.5003893971443176,0.48711544275283813,1.0,0.2424127608537674,0.2881111800670624,0.37508252263069153,0.22068053483963013
public,0.2059764564037323,0.2513592839241028,0.22857438027858734,0.18656980991363525,0.24812373518943787,0.2051083892583847,0.19872993230819702
during,0.3543127477169037,0.4470829963684082,0.4838213622570038,0.24480409920215607,0.27918556332588196,0.25649482011795044,0.1325719803571701
an,0.24824833869934082,0.3694365322589874,0.4207492768764496,0.14891000092029572,0.18899418413639069,0.25091034173965454,0.19793890416622162
electrical,0.24192504584789276,0.2032313495874405,0.2523402273654938,0.09086193144321442,0.27875983715057373,0.23512674868106842,0.10923371464014053
exhibition,0.22705262899398804,0.24921445548534393,0.22614671289920807,0.17645755410194397,0.3352757394313812,0.1825675219297409,0.11494685709476471
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.19056570529937744,0.2638597786426544,0.286662220954895,0.21978627145290375
madison,0.20070505142211914,0.2292308360338211,0.24276024103164673,0.08521805703639984,0.20371359586715698,0.0943770632147789,0.15323159098625183
square,0.23094722628593445,0.17827357351779938,0.2809545397758484,0.18520411849021912,0.2573259472846985,0.17599883675575256,0.1201515942811966
garden,0.26349467039108276,0.2112511396408081,0.23359008133411407,0.2150377780199051,0.17941561341285706,0.18095357716083527,0.16720405220985413
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2795538306236267,0.20932240784168243,0.3169408142566681,0.4130953550338745
