,what,did,the,apple,system,assign,automatically
the,0.42745697498321533,0.34736719727516174,1.0,0.19389043748378754,0.3233085572719574,0.2969426214694977,0.3352123200893402
appletalk,0.32407820224761963,0.16067789494991302,0.23073503375053406,0.6662253737449646,0.22688937187194824,0.295279324054718,0.36890625953674316
system,0.23557309806346893,0.1967303454875946,0.3233085572719574,0.15720267593860626,1.0000001192092896,0.26583486795425415,0.3154342472553253
automatically,0.30652377009391785,0.17376740276813507,0.3352123200893402,0.2303490936756134,0.3154342472553253,0.3775043189525604,1.0
assigned,0.19956302642822266,0.20200538635253906,0.3149823546409607,0.14477591216564178,0.18651573359966278,0.8291330337524414,0.29428648948669434
addresses,0.2541500926017761,0.14495550096035004,0.24995577335357666,0.18794739246368408,0.24521569907665253,0.3916822373867035,0.3298637270927429
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2593806982040405,0.18439900875091553,0.2065923511981964,0.25226879119873047
updated,0.3055499196052551,0.22918309271335602,0.22450833022594452,0.3055713176727295,0.2009274661540985,0.276201993227005,0.4216832220554352
the,0.42745697498321533,0.34736719727516174,1.0,0.19389043748378754,0.3233085572719574,0.2969426214694977,0.3352123200893402
distributed,0.12753748893737793,0.15478676557540894,0.28740596771240234,0.2220667451620102,0.23601815104484558,0.18179403245449066,0.2360527366399765
namespace,0.28363290429115295,0.16035780310630798,0.18220345675945282,0.0832168459892273,0.18346193432807922,0.32329827547073364,0.49547672271728516
",",0.3087472915649414,0.3015086054801941,0.4933079481124878,0.2593806982040405,0.18439900875091553,0.2065923511981964,0.25226879119873047
and,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.22163690626621246,0.231138214468956,0.1959715038537979,0.23826371133327484
configured,0.2944410443305969,0.18480631709098816,0.1892005056142807,0.20482699573040009,0.26497718691825867,0.3564772307872772,0.46099382638931274
any,0.43670421838760376,0.37563082575798035,0.4525727927684784,0.22362028062343597,0.2619434893131256,0.3948118984699249,0.45744773745536804
required,0.2506856620311737,0.30923745036125183,0.27848219871520996,0.1436980962753296,0.3249019384384155,0.3530082106590271,0.4761814475059509
inter-network,0.25182604789733887,0.16371041536331177,0.32877904176712036,0.22215336561203003,0.3764861822128296,0.3535730838775635,0.32030561566352844
routing,0.29352641105651855,0.18212033808231354,0.2927027940750122,0.12004271894693375,0.28269967436790466,0.3224606215953827,0.3484923839569092
.,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.2622234523296356,0.2277725487947464,0.23861627280712128,0.30283188819885254
