,what,else,did,tesla,do,for,work,at,this,time,?
he,0.3114890456199646,0.22866936028003693,0.3292143940925598,0.12373391538858414,0.19599148631095886,0.4540175199508667,0.3134653568267822,0.3280475437641144,0.3176022469997406,0.37626320123672485,0.2089974731206894
had,0.23849567770957947,0.18592333793640137,0.540525496006012,0.12050733715295792,0.24590566754341125,0.3270139992237091,0.24853645265102386,0.3288320302963257,0.3222610056400299,0.34488338232040405,0.20728366076946259
to,0.455847829580307,0.36551961302757263,0.4452643394470215,0.17548894882202148,0.38876664638519287,0.4451248347759247,0.3482864499092102,0.36524343490600586,0.5759071707725525,0.3679993152618408,0.29463258385658264
work,0.3762225806713104,0.33314692974090576,0.336654931306839,0.2545209228992462,0.3533625304698944,0.4087657630443573,1.0,0.24906395375728607,0.4280385971069336,0.33320653438568115,0.2621155381202698
at,0.2838611304759979,0.11573807895183563,0.28390252590179443,0.16552478075027466,0.1511090099811554,0.34237727522850037,0.24906395375728607,1.0,0.32544323801994324,0.3956010341644287,0.21978627145290375
various,0.26045072078704834,0.15275946259498596,0.19538888335227966,0.09989474713802338,0.22750963270664215,0.3578505516052246,0.26302003860473633,0.17125456035137177,0.2975272238254547,0.2300581932067871,0.12823495268821716
electrical,0.19961315393447876,0.16431760787963867,0.12294142693281174,0.45727142691612244,0.1868668645620346,0.20076188445091248,0.23701360821723938,0.21410898864269257,0.2809205949306488,0.2059982270002365,0.10923371464014053
repair,0.2710203528404236,0.24044539034366608,0.19368310272693634,0.2972029745578766,0.2578498423099518,0.24896930158138275,0.394431471824646,0.1894664168357849,0.3157978951931,0.1962476372718811,0.09775689244270325
jobs,0.24064965546131134,0.2278566211462021,0.27978721261024475,0.2165505588054657,0.3175513744354248,0.3127319812774658,0.4649413228034973,0.21177570521831512,0.2586601674556732,0.27973681688308716,0.15148547291755676
and,0.31309178471565247,0.2664144039154053,0.34479495882987976,0.19560420513153076,0.276123583316803,0.5064792633056641,0.37551814317703247,0.3571503460407257,0.42353692650794983,0.3025408685207367,0.20544172823429108
even,0.40872135758399963,0.37164226174354553,0.45816805958747864,0.16614298522472382,0.4404686391353607,0.39184510707855225,0.3362635374069214,0.24857373535633087,0.4644889533519745,0.37533533573150635,0.30082517862319946
as,0.31749409437179565,0.24226929247379303,0.3596470057964325,0.10285310447216034,0.38329678773880005,0.44774648547172546,0.32418152689933777,0.28092536330223083,0.43993282318115234,0.3239102065563202,0.27043893933296204
a,0.3320399522781372,0.22029639780521393,0.2552328109741211,0.2211925983428955,0.26237669587135315,0.44038116931915283,0.266241192817688,0.3095070421695709,0.5422310829162598,0.3292340338230133,0.23916715383529663
ditch,0.19321948289871216,0.12613749504089355,0.20709116756916046,0.07098057866096497,0.093497633934021,0.16615815460681915,0.21791425347328186,0.1842450350522995,0.20147109031677246,0.1952270269393921,0.11988049745559692
digger,0.23459042608737946,0.15264907479286194,0.15960624814033508,0.08751280605792999,0.1582471877336502,0.23046107590198517,0.26583975553512573,0.24715274572372437,0.29849424958229065,0.2063588947057724,0.223598450422287
for,0.3017193675041199,0.27475202083587646,0.318512886762619,0.13983871042728424,0.29510271549224854,0.9999999403953552,0.4087657630443573,0.34237727522850037,0.5082864165306091,0.3992156386375427,0.264628142118454
$,0.24858909845352173,0.30002954602241516,0.23203131556510925,0.23458653688430786,0.14754830300807953,0.22711659967899323,0.18856431543827057,0.19577117264270782,0.2798213064670563,0.21062809228897095,0.2786129117012024
2,-0.049862053245306015,-0.06681235134601593,-0.044790901243686676,-0.05035991594195366,-0.09570206701755524,-0.09542696177959442,-0.011060169897973537,0.043934281915426254,-0.017235463485121727,-0.01869712583720684,0.001977203879505396
per,0.21384303271770477,0.22901737689971924,0.14237605035305023,0.2078201323747635,0.26983779668807983,0.22882020473480225,0.16273602843284607,0.19678546488285065,0.3059895932674408,0.21258844435214996,0.22323818504810333
day,0.2990210950374603,0.17060020565986633,0.20275387167930603,0.16580471396446228,0.18855860829353333,0.23720888793468475,0.20715193450450897,0.27667680382728577,0.23947837948799133,0.32810065150260925,0.2141837179660797
