,how,do,mongolians,sometime,describe,their,relationship,to,genghis,khan,?
for,0.3308170735836029,0.29510271549224854,0.20441694557666779,0.23923718929290771,0.2845272719860077,0.3406745493412018,0.1835637241601944,0.4451248347759247,0.14123353362083435,0.13388998806476593,0.264628142118454
example,0.39914554357528687,0.3745654821395874,0.14692723751068115,0.25230416655540466,0.4213954210281372,0.2809860408306122,0.2544240355491638,0.3451666533946991,0.15534339845180511,0.10541245341300964,0.30374911427497864
",",0.22659391164779663,0.3283645510673523,0.23116454482078552,0.2903634309768677,0.18910212814807892,0.3045167922973633,0.23936419188976288,0.44245919585227966,0.2891939878463745,0.19700400531291962,0.31091248989105225
it,0.36714982986450195,0.337066113948822,0.21618935465812683,0.38035935163497925,0.1973889172077179,0.3067983090877533,0.23314040899276733,0.513711154460907,0.2149120718240738,0.13704395294189453,0.25732165575027466
is,0.22544461488723755,0.30895981192588806,0.173089399933815,0.26625797152519226,0.27898338437080383,0.2101074606180191,0.22806847095489502,0.42745086550712585,0.1866190880537033,0.20103248953819275,0.22961433231830597
not,0.4869767427444458,0.6619802713394165,0.24466252326965332,0.33076223731040955,0.2714465856552124,0.4368778169155121,0.2483322024345398,0.5149973034858704,0.14725978672504425,0.12768790125846863,0.41942933201789856
uncommon,0.20482756197452545,0.20658312737941742,0.264301598072052,0.192705437541008,0.30737364292144775,0.26318544149398804,0.1406702846288681,0.25775718688964844,0.1643819361925125,0.13670961558818817,0.22410981357097626
for,0.3308170735836029,0.29510271549224854,0.20441694557666779,0.23923718929290771,0.2845272719860077,0.3406745493412018,0.1835637241601944,0.4451248347759247,0.14123353362083435,0.13388998806476593,0.264628142118454
mongolians,0.18865886330604553,0.23654569685459137,1.0,0.21009142696857452,0.14799216389656067,0.273905873298645,0.12327079474925995,0.19679300487041473,0.4736461043357849,0.382771372795105,0.13447150588035583
to,0.44169697165489197,0.38876664638519287,0.19679300487041473,0.4054413139820099,0.3167092204093933,0.44619059562683105,0.25194117426872253,1.0,0.2294713407754898,0.18221943080425262,0.29463258385658264
refer,0.1613927185535431,0.2569315731525421,0.13539177179336548,0.229715034365654,0.5861396193504333,0.15361414849758148,0.2105504721403122,0.24100381135940552,0.08704803138971329,0.059952255338430405,0.12567369639873505
to,0.44169697165489197,0.38876664638519287,0.19679300487041473,0.4054413139820099,0.3167092204093933,0.44619059562683105,0.25194117426872253,1.0,0.2294713407754898,0.18221943080425262,0.29463258385658264
their,0.3316696584224701,0.35424983501434326,0.273905873298645,0.24032030999660492,0.2436516135931015,1.0,0.23514914512634277,0.44619059562683105,0.2492474466562271,0.16260504722595215,0.1898253709077835
country,0.17206698656082153,0.20290088653564453,0.2408551275730133,0.17006774246692657,0.21630142629146576,0.2463577538728714,0.13007964193820953,0.31281599402427673,0.23040525615215302,0.16285784542560577,0.12647280097007751
as,0.33782753348350525,0.38329678773880005,0.18500621616840363,0.33326274156570435,0.32652774453163147,0.29218852519989014,0.2814804017543793,0.42092081904411316,0.17543354630470276,0.22500167787075043,0.27043893933296204
``,-0.01591024175286293,0.06628920882940292,0.14578154683113098,0.01785234734416008,0.03843066468834877,0.05465886741876602,0.11167515814304352,0.06720756739377975,0.05644606053829193,0.07293079793453217,0.0685480609536171
genghis,0.15753298997879028,0.06018393114209175,0.4736461043357849,0.3248741626739502,0.11712958663702011,0.2492474466562271,0.1727103888988495,0.2294713407754898,1.0,0.5896923542022705,0.18813461065292358
