,what,was,the,name,of,the,company,the,businessmen,financed,?
after,0.21973377466201782,0.49306565523147583,0.4565047025680542,0.2467648833990097,0.3867455720901489,0.4565047025680542,0.21655593812465668,0.4565047025680542,0.15540726482868195,0.1993810087442398,0.16608688235282898
leaving,0.2528557777404785,0.23990856111049652,0.35353413224220276,0.13875439763069153,0.28646329045295715,0.35353413224220276,0.19242684543132782,0.35353413224220276,0.18116770684719086,0.20303530991077423,0.11571593582630157
edison,0.15105706453323364,0.2864142954349518,0.25419825315475464,0.12870579957962036,0.221283957362175,0.25419825315475464,0.2836497128009796,0.25419825315475464,0.15759101510047913,0.13933375477790833,0.10244420915842056
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.08507627248764038,-0.03817026689648628,-0.01540423184633255,0.003266559913754463,-0.01540423184633255,0.04513353854417801,0.04564172402024269,-0.023395681753754616
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.21465471386909485,0.20467796921730042,0.26591673493385315,1.0,0.26591673493385315,0.41658082604408264,0.3562568426132202,0.12195809185504913
tesla,0.23221199214458466,0.16455206274986267,0.1324402391910553,0.15570181608200073,0.18837453424930573,0.1324402391910553,0.23045730590820312,0.1324402391910553,0.13815727829933167,0.17688995599746704,0.10250775516033173
partnered,0.05339338257908821,0.18932299315929413,0.1498856395483017,0.17189407348632812,0.10293242335319519,0.1498856395483017,0.30279675126075745,0.1498856395483017,0.28785064816474915,0.2956240773200989,0.15653236210346222
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.17897967994213104,0.41827285289764404,0.4223487675189972,0.24132338166236877,0.4223487675189972,0.19565832614898682,0.24037253856658936,0.2433311939239502
two,0.23363454639911652,0.27166637778282166,0.43858039379119873,0.18348293006420135,0.37726253271102905,0.43858039379119873,0.15919356048107147,0.43858039379119873,0.208576962351799,0.12818408012390137,0.19645625352859497
businessmen,0.21677884459495544,0.256357342004776,0.2639414370059967,0.13574714958667755,0.24270594120025635,0.2639414370059967,0.41658082604408264,0.2639414370059967,0.9999999403953552,0.4744659662246704,0.15025284886360168
