,what,other,areas,did,the,apollo,missions,help,spur,advancements,in,?
apollo,0.13561789691448212,0.12591522932052612,0.02976737730205059,0.1976410299539566,0.2169172167778015,0.9999999403953552,0.3512161374092102,0.16574208438396454,0.13034890592098236,0.16881375014781952,0.1461767554283142,0.191528782248497
also,0.42747777700424194,0.5326101183891296,0.343683123588562,0.39334940910339355,0.6021018624305725,0.20789839327335358,0.27933046221733093,0.3775554299354553,0.22336508333683014,0.30254805088043213,0.5073733329772949,0.21848613023757935
spurred,0.20848560333251953,0.22858156263828278,0.25214168429374695,0.2916948199272156,0.3506568372249603,0.15043461322784424,0.24970197677612305,0.24666400253772736,0.512920081615448,0.30056798458099365,0.2591695785522461,0.06163712218403816
advances,0.2105628252029419,0.29347002506256104,0.2598860561847687,0.19833697378635406,0.29882919788360596,0.09233299642801285,0.3118494749069214,0.27755141258239746,0.13510355353355408,0.7459317445755005,0.22989708185195923,0.12414493411779404
in,0.30808621644973755,0.39989137649536133,0.33029478788375854,0.2593238651752472,0.6662389636039734,0.1461767554283142,0.2733149528503418,0.21321536600589752,0.14671146869659424,0.27344807982444763,1.0,0.20430970191955566
many,0.36131182312965393,0.6324484348297119,0.38976719975471497,0.375588983297348,0.4335206151008606,0.13721908628940582,0.3181447684764862,0.2875923216342926,0.11781702190637589,0.3588888645172119,0.41474202275276184,0.2124512493610382
areas,0.23739881813526154,0.3227008879184723,0.9999999403953552,0.19908885657787323,0.3311663568019867,0.02976737730205059,0.2749541103839874,0.26846614480018616,0.22182027995586395,0.3152333199977875,0.33029478788375854,0.1273590475320816
of,0.33290785551071167,0.38583824038505554,0.2803763747215271,0.2513895630836487,0.733189046382904,0.1786269098520279,0.2598918080329895,0.22745388746261597,0.17337070405483246,0.3280223608016968,0.5696388483047485,0.1826142966747284
technology,0.1940862536430359,0.2436513751745224,0.20463189482688904,0.11363749206066132,0.21669498085975647,0.16246502101421356,0.2519197165966034,0.14389489591121674,0.2041984647512436,0.46341127157211304,0.24215441942214966,0.11564995348453522
incidental,0.26534220576286316,0.2871522903442383,0.16990140080451965,0.2833365201950073,0.3185252845287323,0.15949876606464386,0.1797037124633789,0.1683427393436432,0.10578303039073944,0.1864778995513916,0.2717534303665161,0.21818841993808746
to,0.455847829580307,0.4193183183670044,0.29808273911476135,0.4452643394470215,0.535392165184021,0.23190522193908691,0.29123765230178833,0.46191298961639404,0.21138791739940643,0.324070543050766,0.45010748505592346,0.29463258385658264
