,what,is,the,name,of,the,trophy,given,to,anyone,who,plays,on,the,winning,team,in,a,super,bowl,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.15286801755428314,0.2528568208217621,0.45010748505592346,0.2515868544578552,0.2792111933231354,0.24790528416633606,0.46853652596473694,0.6662389636039734,0.2760545015335083,0.18841172754764557,1.0,0.539380669593811,0.18576006591320038,0.17236235737800598,0.20430970191955566
addition,0.20643717050552368,0.2727152407169342,0.32955414056777954,0.12596596777439117,0.27503931522369385,0.32955414056777954,0.10641127079725266,0.26542776823043823,0.29394859075546265,0.28234630823135376,0.20351898670196533,0.0954505205154419,0.2673063576221466,0.32955414056777954,0.21587245166301727,0.14996573328971863,0.3033084571361542,0.2617819607257843,0.11136776208877563,0.1572340577840805,0.19187232851982117
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.2030068039894104,0.3428947925567627,1.0,0.419222891330719,0.42656609416007996,0.1692625880241394,0.41031414270401,0.535392165184021,0.18548402190208435,0.23889471590518951,0.45010748505592346,0.45503583550453186,0.17783479392528534,0.16993016004562378,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.23165881633758545,0.37508252263069153,0.535392165184021,0.3019411265850067,0.3733934462070465,0.1760704517364502,0.5107308030128479,1.0,0.30045071244239807,0.22564226388931274,0.6662389636039734,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
vince,0.15944145619869232,0.17590400576591492,0.2420601099729538,0.1460036188364029,0.15907342731952667,0.2420601099729538,0.2472408413887024,0.10503586381673813,0.21299979090690613,0.21454493701457977,0.22259485721588135,0.1728326976299286,0.22331281006336212,0.2420601099729538,0.23123934864997864,0.19012968242168427,0.16886906325817108,0.22586511075496674,0.1896676868200302,0.2190018743276596,0.1308428794145584
lombardi,0.1361158937215805,0.12544533610343933,0.18416112661361694,0.19575972855091095,0.16072972118854523,0.18416112661361694,0.26002585887908936,0.15227892994880676,0.16110625863075256,0.08696626126766205,0.17496588826179504,0.21320754289627075,0.09833410382270813,0.18416112661361694,0.2172311544418335,0.23759400844573975,0.1578214466571808,0.11453341692686081,0.2536020278930664,0.1979735642671585,0.12761563062667847
trophy,0.1605585664510727,0.15399004518985748,0.23165881633758545,0.16678974032402039,0.19089318811893463,0.23165881633758545,0.9999998807907104,0.25590893626213074,0.2030068039894104,0.1367088109254837,0.1846436858177185,0.21409820020198822,0.1488158106803894,0.23165881633758545,0.33858171105384827,0.34355345368385315,0.15286801755428314,0.13705076277256012,0.22799652814865112,0.30741387605667114,0.1832219511270523
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.13374094665050507,0.3486595153808594,0.5436353087425232,0.49082517623901367,0.45444270968437195,0.16184067726135254,0.42569106817245483,0.5473989248275757,0.16903316974639893,0.17048367857933044,0.435920387506485,0.47537946701049805,0.18258553743362427,0.10987387597560883,0.32716336846351624
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.18820150196552277,0.42798417806625366,0.4860881567001343,0.12185486406087875,0.2496354579925537,0.42520734667778015,0.39149558544158936,0.3698336184024811,0.10464750230312347,0.3832052946090698,0.4860881567001343,0.18355447053909302,0.26638156175613403,0.3335905969142914,0.2696802616119385,0.26925644278526306,0.2204573154449463,0.29575422406196594
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.15042594075202942,0.14718765020370483,0.21959073841571808,0.22799652814865112,0.11709477752447128,0.17783479392528534,0.1659925878047943,0.1819351613521576,0.12782880663871765,0.1569211632013321,0.21959073841571808,0.20188865065574646,0.23339706659317017,0.18576006591320038,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.166326642036438
