,what,type,of,antenna,was,used,for,communication,on,the,lunar,flights,?
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2688544988632202,0.4508470594882965,0.3864384889602661,0.44038116931915283,0.25636687874794006,0.3848365545272827,0.5829201340675354,0.19755837321281433,0.19244733452796936,0.23916715383529663
high-gain,0.3264142870903015,0.1686256378889084,0.3100939691066742,0.16208787262439728,0.300344318151474,0.20149029791355133,0.29871001839637756,0.2916312515735626,0.29963040351867676,0.34854966402053833,0.18434946238994598,0.25143006443977356,0.19918179512023926
s-band,0.22975951433181763,0.18228040635585785,0.24161173403263092,0.3101920485496521,0.2706664502620697,0.30453285574913025,0.31195324659347534,0.297473281621933,0.24602025747299194,0.28917714953422546,0.25304147601127625,0.20052166283130646,0.1186678484082222
antenna,0.16997015476226807,0.13268600404262543,0.18405179679393768,1.0000001192092896,0.13012920320034027,0.2599025368690491,0.10041345655918121,0.37252360582351685,0.22990825772285461,0.22527098655700684,0.21084930002689362,0.31958454847335815,0.0967901274561882
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.13012920320034027,1.0000001192092896,0.23679393529891968,0.3863949179649353,0.1945059597492218,0.3909217119216919,0.48711544275283813,0.17547959089279175,0.17491722106933594,0.18412111699581146
used,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.2599025368690491,0.23679393529891968,0.9999998807907104,0.4236139953136444,0.26518046855926514,0.24785758554935455,0.3718377649784088,0.18966072797775269,0.1804608404636383,0.22430120408535004
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.10041345655918121,0.3863949179649353,0.4236139953136444,0.9999999403953552,0.27785179018974304,0.36199691891670227,0.4739971458911896,0.16840216517448425,0.20647582411766052,0.264628142118454
long-distance,0.226483553647995,0.14025795459747314,0.2480160892009735,0.3257043957710266,0.22688710689544678,0.2829430401325226,0.28577372431755066,0.3209097385406494,0.18144285678863525,0.29401952028274536,0.28551915287971497,0.3057703673839569,0.14623819291591644
communications,0.18950708210468292,0.15060168504714966,0.24724911153316498,0.360329806804657,0.2137834131717682,0.23574402928352356,0.2531185746192932,0.9344521164894104,0.2067214697599411,0.2746332883834839,0.1400311291217804,0.3524303138256073,0.09561901539564133
on,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.22990825772285461,0.3909217119216919,0.24785758554935455,0.36199691891670227,0.19364863634109497,0.9999999403953552,0.5107308030128479,0.22814977169036865,0.25495460629463196,0.2714994251728058
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22527098655700684,0.48711544275283813,0.3718377649784088,0.4739971458911896,0.2984345257282257,0.5107308030128479,1.0,0.23309995234012604,0.25325238704681396,0.22068053483963013
lunar,0.18274477124214172,0.13063104450702667,0.204553484916687,0.21084930002689362,0.17547959089279175,0.18966072797775269,0.16840216517448425,0.14748069643974304,0.22814977169036865,0.23309995234012604,1.0000001192092896,0.3015264868736267,0.1628302037715912
flights,0.17598165571689606,0.07571480423212051,0.1994985193014145,0.31958454847335815,0.17491722106933594,0.1804608404636383,0.20647582411766052,0.31612634658813477,0.25495460629463196,0.25325238704681396,0.3015264868736267,1.0000001192092896,0.1590299755334854
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21615424752235413,0.40146201848983765,0.33111312985420227,0.4726039469242096,0.24448274075984955,0.49257001280784607,0.5934505462646484,0.16741344332695007,0.2362312227487564,0.4130953550338745
