,what,are,the,molecular,outputs,for,photosynthesis,?
water,0.17456887662410736,0.26855918765068054,0.297396719455719,0.2173731029033661,0.17192615568637848,0.189085453748703,0.45553916692733765,0.14731885492801666
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.22322742640972137,0.1987520009279251,0.3357032239437103,0.18190349638462067,0.40561532974243164
h2o,0.188251331448555,0.17012372612953186,0.18427696824073792,0.099342942237854,0.0846116691827774,0.18569064140319824,0.14681501686573029,0.13316696882247925
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.21825763583183289,0.2044210284948349,0.3639558255672455,0.1623111218214035,0.42300865054130554
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.20816771686077118,0.2558401823043823,0.5064792633056641,0.2529959976673126,0.20544172823429108
carbon,0.22238978743553162,0.2875964641571045,0.23183570802211761,0.4068012535572052,0.2816959619522095,0.2145283818244934,0.5689888596534729,0.19040444493293762
dioxide,0.2206297367811203,0.2802322804927826,0.21460992097854614,0.36296892166137695,0.2559540569782257,0.16366423666477203,0.6067628264427185,0.19322559237480164
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.22322742640972137,0.1987520009279251,0.3357032239437103,0.18190349638462067,0.40561532974243164
co2,0.13638697564601898,0.12040530145168304,0.2283933311700821,0.09184128791093826,0.08638899773359299,0.1616963893175125,0.10935737192630768,0.0799083262681961
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.21825763583183289,0.2044210284948349,0.3639558255672455,0.1623111218214035,0.42300865054130554
are,0.29724663496017456,1.0,0.40399202704429626,0.2298266738653183,0.3032087981700897,0.3895993232727051,0.30001193284988403,0.24591213464736938
used,0.27546408772468567,0.3322218656539917,0.3718377649784088,0.16108956933021545,0.35286709666252136,0.4236139953136444,0.256893515586853,0.22430120408535004
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.23809398710727692,0.16641466319561005,0.4322226941585541,0.2557604908943176,0.20430970191955566
photosynthesis,0.261831134557724,0.30001193284988403,0.27159422636032104,0.5203757882118225,0.34028080105781555,0.23681029677391052,0.9999999403953552,0.1871609091758728
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.22274190187454224,0.21375620365142822,0.4464869201183319,0.22675302624702454,0.31091248989105225
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.20816771686077118,0.2558401823043823,0.5064792633056641,0.2529959976673126,0.20544172823429108
sugar,0.19485929608345032,0.21453678607940674,0.24189211428165436,0.2138870805501938,0.22878852486610413,0.1469426304101944,0.39104896783828735,0.12463535368442535
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.20816771686077118,0.2558401823043823,0.5064792633056641,0.2529959976673126,0.20544172823429108
oxygen,0.16781960427761078,0.24342744052410126,0.20428593456745148,0.4132167398929596,0.19788534939289093,0.22718772292137146,0.5679547190666199,0.16786395013332367
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.22322742640972137,0.1987520009279251,0.3357032239437103,0.18190349638462067,0.40561532974243164
o2,-0.039665523916482925,-0.025755733251571655,-0.11169687658548355,0.17589758336544037,0.04937709495425224,-0.02583320438861847,0.11553449183702469,0.008434558287262917
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.21825763583183289,0.2044210284948349,0.3639558255672455,0.1623111218214035,0.42300865054130554
is,0.28837618231773376,0.5330929756164551,0.5823672413825989,0.2143259346485138,0.3005733788013458,0.43268078565597534,0.22769613564014435,0.22961433231830597
made,0.23419176042079926,0.2941095530986786,0.3885267674922943,0.17017312347888947,0.2014613300561905,0.3147922456264496,0.18995903432369232,0.17218779027462006
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.22274190187454224,0.21375620365142822,0.4464869201183319,0.22675302624702454,0.31091248989105225
using,0.27984681725502014,0.3385874032974243,0.28364112973213196,0.20087790489196777,0.36102521419525146,0.3806014060974121,0.24907942116260529,0.2804589569568634
light,0.22953972220420837,0.21304044127464294,0.2649136185646057,0.17686453461647034,0.22551649808883667,0.21351271867752075,0.4307017922401428,0.17429810762405396
energy,0.190252885222435,0.24820072948932648,0.26756542921066284,0.33562567830085754,0.26277709007263184,0.21083484590053558,0.5107198357582092,0.14860127866268158
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.2511174976825714,0.2260233461856842,0.4726039469242096,0.26637518405914307,0.4130953550338745
