,what,is,the,natural,dam,that,the,rhine,flows,through,?
near,0.19414293766021729,0.25453904271125793,0.2879819869995117,0.18698355555534363,0.18762092292308807,0.1848522126674652,0.2879819869995117,0.2615382969379425,0.39984533190727234,0.24184252321720123,0.10734958201646805
sargans,0.2362758368253708,0.2852332293987274,0.37006357312202454,0.16703742742538452,0.19440482556819916,0.29454106092453003,0.37006357312202454,0.26168304681777954,0.26958563923835754,0.2108464241027832,0.10179079324007034
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.19475746154785156,0.14632345736026764,0.47537946701049805,0.5829201340675354,0.1823403388261795,0.1886882185935974,0.3399752974510193,0.23916715383529663
natural,0.15666867792606354,0.24589021503925323,0.2291368842124939,1.0,0.1721092313528061,0.23673862218856812,0.2291368842124939,0.10907647758722305,0.23185691237449646,0.210933119058609,0.16155436635017395
dam,0.09182299673557281,0.18287189304828644,0.2182406634092331,0.1721092313528061,1.0,0.20688894391059875,0.2182406634092331,0.21904398500919342,0.3282771706581116,0.13908398151397705,0.08216840028762817
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.30864179134368896,0.21186463534832,0.4137537479400635,0.4933079481124878,0.167837992310524,0.2638954818248749,0.3060276508331299,0.31091248989105225
only,0.41415658593177795,0.44708555936813354,0.5497692227363586,0.21377290785312653,0.1802154928445816,0.6004067063331604,0.5497692227363586,0.1433519870042801,0.15243875980377197,0.29988130927085876,0.2767370045185089
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.19475746154785156,0.14632345736026764,0.47537946701049805,0.5829201340675354,0.1823403388261795,0.1886882185935974,0.3399752974510193,0.23916715383529663
few,0.2780759632587433,0.22223958373069763,0.34660017490386963,0.20803424715995789,0.1143300011754036,0.3973994851112366,0.34660017490386963,0.15413419902324677,0.21211305260658264,0.2540503442287445,0.2334265559911728
metres,0.1849192976951599,0.2701532244682312,0.2668202519416809,0.14967764914035797,0.296043336391449,0.2099045366048813,0.2668202519416809,0.17689257860183716,0.2597874104976654,0.12502804398536682,0.11151815950870514
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.20686843991279602,0.17446382343769073,0.2400680035352707,0.28034812211990356,0.11970903724431992,0.1445114016532898,0.1998162418603897,0.11137914657592773
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.30864179134368896,0.21186463534832,0.4137537479400635,0.4933079481124878,0.167837992310524,0.2638954818248749,0.3060276508331299,0.31091248989105225
prevents,0.29858162999153137,0.26185330748558044,0.3293589949607849,0.17868082225322723,0.185625821352005,0.3700583577156067,0.3293589949607849,0.182309091091156,0.18323035538196564,0.3535212576389313,0.2179328203201294
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.21505342423915863,0.18578198552131653,0.5921133160591125,0.6251175999641418,0.17693428695201874,0.30584630370140076,0.3374522924423218,0.25732165575027466
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.28746557235717773,0.15226517617702484,0.3477667272090912,0.40150508284568787,0.2181936800479889,0.247153639793396,0.4291878044605255,0.19969791173934937
