,what,do,gravitational,forces,act,between,?
the,0.42745697498321533,0.30239659547805786,0.2145237773656845,0.3134811818599701,0.28682878613471985,0.39067012071609497,0.22068053483963013
electromagnetic,0.263467937707901,0.2273312211036682,0.6556268930435181,0.323475182056427,0.25447383522987366,0.22434814274311066,0.16735313832759857
force,0.16915984451770782,0.20164671540260315,0.43414562940597534,0.6498695015907288,0.26389411091804504,0.21681782603263855,0.1650998443365097
acts,0.24949195981025696,0.21044614911079407,0.20843294262886047,0.23912550508975983,0.649886965751648,0.21470610797405243,0.07075770199298859
between,0.2462156116962433,0.14014670252799988,0.22681473195552826,0.252635657787323,0.18645264208316803,0.9999999403953552,0.12887074053287506
electric,0.15451551973819733,0.14092452824115753,0.345887154340744,0.11975815892219543,0.16533665359020233,0.20817521214485168,0.15674720704555511
charges,0.17791177332401276,0.15178422629833221,0.36723798513412476,0.3195559084415436,0.23488526046276093,0.18801458179950714,0.12376176565885544
",",0.3087472915649414,0.3283645510673523,0.1856740117073059,0.2544684410095215,0.1787904053926468,0.27714940905570984,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.21932606399059296,0.26456665992736816,0.2776535749435425,0.40645647048950195,0.20544172823429108
the,0.42745697498321533,0.30239659547805786,0.2145237773656845,0.3134811818599701,0.28682878613471985,0.39067012071609497,0.22068053483963013
gravitational,0.23380526900291443,0.15756730735301971,1.0,0.36755967140197754,0.16945450007915497,0.22681473195552826,0.17902444303035736
force,0.16915984451770782,0.20164671540260315,0.43414562940597534,0.6498695015907288,0.26389411091804504,0.21681782603263855,0.1650998443365097
acts,0.24949195981025696,0.21044614911079407,0.20843294262886047,0.23912550508975983,0.649886965751648,0.21470610797405243,0.07075770199298859
between,0.2462156116962433,0.14014670252799988,0.22681473195552826,0.252635657787323,0.18645264208316803,0.9999999403953552,0.12887074053287506
masses,0.2721436619758606,0.18748299777507782,0.5140620470046997,0.28043419122695923,0.15050235390663147,0.2781662940979004,0.13877703249454498
.,0.3567904531955719,0.3613996207714081,0.20984730124473572,0.21802116930484772,0.2025400698184967,0.30295518040657043,0.4130953550338745
