,the,adaptive,immune,system,must,distinguish,between,what,types,of,molecules,?
both,0.4931981563568115,0.21840347349643707,0.20888829231262207,0.2039085328578949,0.31505119800567627,0.23384851217269897,0.40283381938934326,0.3361809551715851,0.27341702580451965,0.3565710783004761,0.22111225128173828,0.19455738365650177
innate,0.2196919023990631,0.526890218257904,0.6130988597869873,0.3689802289009094,0.22344741225242615,0.335163414478302,0.18490105867385864,0.2683543860912323,0.29162466526031494,0.255485475063324,0.4183126389980316,0.16386382281780243
and,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.33253467082977295,0.2634124457836151,0.40645647048950195,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.24837805330753326,0.20544172823429108
adaptive,0.25968632102012634,1.0000001192092896,0.4945787191390991,0.31361085176467896,0.2155393809080124,0.266446977853775,0.17286092042922974,0.22806508839130402,0.24636167287826538,0.18422213196754456,0.322795569896698,0.12147218734025955
immunity,0.25992491841316223,0.40294596552848816,0.635888397693634,0.31006526947021484,0.22227638959884644,0.15691916644573212,0.10500786453485489,0.21864116191864014,0.15578491985797882,0.17778201401233673,0.2717576026916504,0.16423189640045166
depend,0.26284557580947876,0.3023010492324829,0.24114489555358887,0.2381003201007843,0.39258962869644165,0.25691643357276917,0.1555779129266739,0.35695788264274597,0.3773512840270996,0.2895388901233673,0.2647087872028351,0.21412593126296997
on,0.5107308030128479,0.19127367436885834,0.1933661848306656,0.21675898134708405,0.17571617662906647,0.09890472143888474,0.3335416913032532,0.34226128458976746,0.2141326367855072,0.3966929316520691,0.16564491391181946,0.2714994251728058
the,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.2713140547275543,0.2407100945711136,0.39067012071609497,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2374771386384964,0.22068053483963013
ability,0.24997951090335846,0.37054887413978577,0.37216833233833313,0.215677410364151,0.33133774995803833,0.31489911675453186,0.16558218002319336,0.26366251707077026,0.23677298426628113,0.21105368435382843,0.3011276125907898,0.1955445408821106
of,0.733189046382904,0.18422213196754456,0.16620753705501556,0.25597915053367615,0.24322323501110077,0.2740761637687683,0.3737983703613281,0.33290785551071167,0.2447618544101715,1.0,0.24428431689739227,0.1826142966747284
the,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.2713140547275543,0.2407100945711136,0.39067012071609497,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2374771386384964,0.22068053483963013
immune,0.21364226937294006,0.4945787191390991,1.0,0.3962631821632385,0.2441614270210266,0.1990751326084137,0.13957767188549042,0.2410416603088379,0.2538298964500427,0.16620753705501556,0.3475925624370575,0.16080476343631744
system,0.3233085572719574,0.31361085176467896,0.3962631821632385,1.0000001192092896,0.23213762044906616,0.10701602697372437,0.1696578860282898,0.23557309806346893,0.2489754855632782,0.25597915053367615,0.26136019825935364,0.15556083619594574
to,0.535392165184021,0.23363445699214935,0.2541976273059845,0.26662686467170715,0.43356871604919434,0.2675764262676239,0.3639189600944519,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2749134600162506,0.29463258385658264
distinguish,0.2407100945711136,0.266446977853775,0.1990751326084137,0.10701602697372437,0.14567025005817413,1.0,0.27727365493774414,0.26580512523651123,0.24770666658878326,0.2740761637687683,0.266025573015213,0.13488887250423431
between,0.39067012071609497,0.17286092042922974,0.13957767188549042,0.1696578860282898,0.21037867665290833,0.27727365493774414,0.9999999403953552,0.2462156116962433,0.2015795111656189,0.3737983703613281,0.23308295011520386,0.12887074053287506
self,0.15625660121440887,0.18263255059719086,0.1875615268945694,0.11796959489583969,0.21205168962478638,0.21954543888568878,0.12236975878477097,0.24097146093845367,0.07084721326828003,0.16502705216407776,0.1840522289276123,0.13157562911510468
and,0.5171257257461548,0.16619820892810822,0.14400269091129303,0.231138214468956,0.33253467082977295,0.2634124457836151,0.40645647048950195,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.24837805330753326,0.20544172823429108
non-self,0.27000007033348083,0.2617136836051941,0.3004506528377533,0.21916721761226654,0.31149983406066895,0.2612256705760956,0.15693144500255585,0.38723137974739075,0.18707719445228577,0.25677213072776794,0.3477441966533661,0.3134685158729553
molecules,0.2374771386384964,0.322795569896698,0.3475925624370575,0.26136019825935364,0.2699638605117798,0.266025573015213,0.23308295011520386,0.2143162339925766,0.25425583124160767,0.24428431689739227,0.9999999403953552,0.17409995198249817
.,0.5934505462646484,0.19474436342716217,0.18267881870269775,0.2277725487947464,0.27722811698913574,0.21135340631008148,0.30295518040657043,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.25748172402381897,0.4130953550338745
