,which,park,is,home,to,the,kearney,mansion,?
roeding,0.37036871910095215,0.18166355788707733,0.2768281400203705,0.224274680018425,0.34091565012931824,0.41848480701446533,0.35645294189453125,0.22530412673950195,0.30348169803619385
park,0.22263368964195251,1.0,0.2076987773180008,0.28130054473876953,0.14257338643074036,0.24748283624649048,0.29739832878112793,0.309320867061615,0.13508929312229156
",",0.3658004403114319,0.22495080530643463,0.4691906273365021,0.2790627181529999,0.44245919585227966,0.4933079481124878,0.3746079206466675,0.22445908188819885,0.31091248989105225
near,0.2737005650997162,0.22548368573188782,0.25453904271125793,0.21361899375915527,0.2456841915845871,0.2879819869995117,0.2199000120162964,0.18721286952495575,0.10734958201646805
downtown,0.22559411823749542,0.3450911045074463,0.21999821066856384,0.24168303608894348,0.1747063249349594,0.2602716088294983,0.33176305890083313,0.2952675223350525,0.15638743340969086
fresno,0.14756552875041962,0.2707971930503845,0.2127077877521515,0.2809726595878601,0.22500741481781006,0.22571885585784912,0.3476477861404419,0.19765572249889374,0.13224096596240997
",",0.3658004403114319,0.22495080530643463,0.4691906273365021,0.2790627181529999,0.44245919585227966,0.4933079481124878,0.3746079206466675,0.22445908188819885,0.31091248989105225
is,0.4457404911518097,0.2076987773180008,1.0,0.22316986322402954,0.42745086550712585,0.5823672413825989,0.21852326393127441,0.18574586510658264,0.22961433231830597
home,0.223346546292305,0.28130054473876953,0.22316986322402954,1.0,0.31056779623031616,0.28978195786476135,0.3044700026512146,0.27471572160720825,0.0757145956158638
to,0.5345056653022766,0.14257338643074036,0.42745086550712585,0.31056779623031616,1.0,0.535392165184021,0.22807221114635468,0.16171731054782867,0.29463258385658264
the,0.6521818041801453,0.24748283624649048,0.5823672413825989,0.28978195786476135,0.535392165184021,1.0,0.24541108310222626,0.24608194828033447,0.22068053483963013
fresno,0.14756552875041962,0.2707971930503845,0.2127077877521515,0.2809726595878601,0.22500741481781006,0.22571885585784912,0.3476477861404419,0.19765572249889374,0.13224096596240997
chaffee,0.1841951608657837,0.23792746663093567,0.20635807514190674,0.19059906899929047,0.21649853885173798,0.2939971685409546,0.44295617938041687,0.2673954665660858,0.2570136785507202
zoo,0.19409945607185364,0.46924126148223877,0.18982386589050293,0.18243473768234253,0.19072142243385315,0.19178812205791473,0.1591775268316269,0.28079694509506226,0.13724514842033386
",",0.3658004403114319,0.22495080530643463,0.4691906273365021,0.2790627181529999,0.44245919585227966,0.4933079481124878,0.3746079206466675,0.22445908188819885,0.31091248989105225
and,0.506277859210968,0.21340665221214294,0.3859752118587494,0.24667192995548248,0.48971283435821533,0.5171257257461548,0.28568992018699646,0.22798113524913788,0.20544172823429108
rotary,0.31748613715171814,0.11437613517045975,0.21896867454051971,0.09789234399795532,0.16591617465019226,0.22118352353572845,0.1937238872051239,0.09351805597543716,0.07097224146127701
storyland,0.28606823086738586,0.2679440975189209,0.23379699885845184,0.1703459620475769,0.30331188440322876,0.30377396941185,0.4404800236225128,0.33288246393203735,0.2033701241016388
and,0.506277859210968,0.21340665221214294,0.3859752118587494,0.24667192995548248,0.48971283435821533,0.5171257257461548,0.28568992018699646,0.22798113524913788,0.20544172823429108
playland,0.29111170768737793,0.35174086689949036,0.279791921377182,0.26295673847198486,0.2756674289703369,0.29605910181999207,0.4406667649745941,0.3390083312988281,0.2266378551721573
.,0.45942068099975586,0.22825266420841217,0.4569662809371948,0.3067048490047455,0.4645031690597534,0.5934505462646484,0.3331483006477356,0.21051247417926788,0.4130953550338745
