,what,type,of,theatre,is,the,warsaw,fotoplastikon,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25594043731689453,0.5823672413825989,1.0,0.23137180507183075,0.27513226866722107,0.22068053483963013
warsaw,0.10373849421739578,0.06697078794240952,0.19253842532634735,0.26380211114883423,0.09741193056106567,0.23137180507183075,1.0,0.2512580156326294,0.09769917279481888
uprising,0.1901596337556839,0.0195010993629694,0.2703337073326111,0.24626068770885468,0.16140395402908325,0.2853594124317169,0.4463900625705719,0.16455741226673126,0.13645027577877045
museum,0.1771627515554428,0.14714546501636505,0.23314370214939117,0.3464374840259552,0.18299639225006104,0.24861779808998108,0.24001078307628632,0.1860756278038025,0.14128351211547852
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.20066715776920319,0.5012649297714233,0.6021018624305725,0.16331592202186584,0.30415794253349304,0.21848613023757935
operates,0.17323419451713562,0.241817444562912,0.22910091280937195,0.21558918058872223,0.29712775349617004,0.2663705050945282,0.16644640266895294,0.13537293672561646,0.12270797789096832
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2103080451488495,0.658733606338501,0.5829201340675354,0.19591784477233887,0.3312841057777405,0.23916715383529663
rare,0.17727354168891907,0.24953295290470123,0.24919116497039795,0.1222868487238884,0.29281729459762573,0.23127084970474243,0.0684882253408432,0.2707308232784271,0.14820347726345062
preserved,0.24459883570671082,0.15613526105880737,0.21808134019374847,0.1288086473941803,0.2745146155357361,0.2642197906970978,0.13811157643795013,0.3228248655796051,0.1633087694644928
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2638216018676758,0.3859752118587494,0.5171257257461548,0.2083624005317688,0.24983978271484375,0.20544172823429108
operating,0.25311869382858276,0.2034287005662918,0.27346423268318176,0.19372506439685822,0.24375157058238983,0.28778329491615295,0.14803765714168549,0.24001570045948029,0.15840965509414673
historic,0.18988226354122162,0.1356266438961029,0.2833002209663391,0.27271321415901184,0.19778819382190704,0.2829611599445343,0.15235215425491333,0.17838390171527863,0.09992891550064087
stereoscopic,0.2981981635093689,0.24414363503456116,0.2702964246273041,0.17328551411628723,0.22197777032852173,0.25985944271087646,0.20635178685188293,0.4655851423740387,0.21843227744102478
theatre,0.12211663275957108,0.034952517598867416,0.19807180762290955,1.0,0.17514966428279877,0.25594043731689453,0.26380211114883423,0.18192386627197266,0.1159285232424736
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.29216358065605164,0.4691906273365021,0.4933079481124878,0.25300899147987366,0.27156880497932434,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25594043731689453,0.5823672413825989,1.0,0.23137180507183075,0.27513226866722107,0.22068053483963013
warsaw,0.10373849421739578,0.06697078794240952,0.19253842532634735,0.26380211114883423,0.09741193056106567,0.23137180507183075,1.0,0.2512580156326294,0.09769917279481888
fotoplastikon,0.21905377507209778,0.2655450999736786,0.29056182503700256,0.18192386627197266,0.3225712180137634,0.27513226866722107,0.2512580156326294,0.9999999403953552,0.17446811497211456
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2394188642501831,0.4569662809371948,0.5934505462646484,0.26825499534606934,0.2814503610134125,0.4130953550338745
