,what,is,the,oldest,methodist,church,in,continuous,use,in,the,united,states,?
st.,0.10219959169626236,0.16120703518390656,0.18141359090805054,0.1601818948984146,0.2003181129693985,0.2081335186958313,0.15931649506092072,0.17642498016357422,0.13954108953475952,0.15931649506092072,0.18141359090805054,0.09564509242773056,0.06905391067266464,0.13592876493930817
george,0.22000353038311005,0.14082063734531403,0.2510760426521301,0.09812051802873611,0.29049184918403625,0.17083123326301575,0.18167929351329803,0.04829472675919533,0.1085924431681633,0.18167929351329803,0.2510760426521301,0.27821657061576843,0.23366966843605042,0.1479024887084961
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,-0.014085551723837852,-0.030392127111554146,0.023664841428399086,-0.037580832839012146,0.017404459416866302,0.004619393963366747,-0.037580832839012146,-0.01540423184633255,-0.03853745758533478,-0.004298824816942215,-0.023395681753754616
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.21651798486709595,0.3283560872077942,0.19284281134605408,0.3938477039337158,0.13621598482131958,0.21465958654880524,0.3938477039337158,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.17266890406608582
methodist,0.17637217044830322,0.14683330059051514,0.21922016143798828,0.2113061547279358,1.0,0.6119816899299622,0.24702993035316467,0.06723055243492126,0.17572921514511108,0.24702993035316467,0.21922016143798828,0.3283560872077942,0.3077499568462372,0.1436992734670639
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.21877340972423553,0.6119816899299622,0.9999999403953552,0.2493300437927246,0.09980854392051697,0.15512630343437195,0.2493300437927246,0.23846197128295898,0.19284281134605408,0.17393819987773895,0.18081501126289368
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23638197779655457,0.2960420250892639,0.2707274258136749,0.5201468467712402,0.1894916146993637,0.3276674151420593,0.5201468467712402,0.4933079481124878,0.3053959608078003,0.3315127193927765,0.31091248989105225
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.2434401512145996,0.16788704693317413,0.133106991648674,0.35149815678596497,0.17146101593971252,0.17875637114048004,0.35149815678596497,0.407527357339859,0.21170265972614288,0.24650995433330536,0.08983194828033447
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.19083666801452637,0.20030651986598969,0.1633070856332779,0.4374977946281433,0.14816124737262726,0.22117964923381805,0.4374977946281433,0.457212895154953,0.2064037322998047,0.19903600215911865,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.21922016143798828,0.23846197128295898,0.6662389636039734,0.2679058313369751,0.34342584013938904,0.6662389636039734,1.0,0.34367692470550537,0.3463578522205353,0.22068053483963013
corner,0.1708107590675354,0.2463834583759308,0.29742059111595154,0.10082864761352539,0.2012028992176056,0.2193026840686798,0.25297805666923523,0.18531592190265656,0.15330731868743896,0.25297805666923523,0.29742059111595154,0.14714299142360687,0.1619761437177658,0.10029187798500061
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33351290225982666,0.28458893299102783,0.3079429268836975,0.5696388483047485,0.28397953510284424,0.2750902473926544,0.5696388483047485,0.733189046382904,0.3187655806541443,0.30884552001953125,0.1826142966747284
4th,0.028716864064335823,0.2182917594909668,0.18942053616046906,0.11131149530410767,0.16801656782627106,0.048038020730018616,0.12181311845779419,0.12777303159236908,0.05444320663809776,0.12181311845779419,0.18942053616046906,0.1706741899251938,0.14264529943466187,-0.03815381973981857
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.19885091483592987,0.2376793771982193,0.1976170688867569,0.4954058527946472,0.2512466311454773,0.34145063161849976,0.4954058527946472,0.5171257257461548,0.28213179111480713,0.2974761426448822,0.20544172823429108
