,who,was,the,4th,to,rule,the,yuan,dynasty,?
the,0.3733934462070465,0.48711544275283813,1.0,0.18942053616046906,0.535392165184021,0.29894936084747314,1.0,0.2548272907733917,0.26267939805984497,0.22068053483963013
fourth,0.16443325579166412,0.35251522064208984,0.40804702043533325,0.4876725375652313,0.22159133851528168,0.12949137389659882,0.40804702043533325,0.16289114952087402,0.20329655706882477,0.13791213929653168
yuan,0.20351146161556244,0.19482262432575226,0.2548272907733917,0.06880763173103333,0.1499021351337433,0.1754431128501892,0.2548272907733917,1.0,0.49336904287338257,0.12871281802654266
emperor,0.19567297399044037,0.2147601991891861,0.2871226370334625,-0.004268804099410772,0.2257286012172699,0.28099969029426575,0.2871226370334625,0.39229243993759155,0.43762901425361633,0.19661661982536316
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.11708971112966537,0.44245919585227966,0.24230371415615082,0.4933079481124878,0.20958951115608215,0.1976536363363266,0.31091248989105225
buyantu,0.3215535283088684,0.21210873126983643,0.2622497081756592,0.07809052616357803,0.2546338140964508,0.146627277135849,0.2622497081756592,0.34571415185928345,0.2249137908220291,0.25511592626571655
khan,0.2616176903247833,0.23483267426490784,0.21067845821380615,0.08139161765575409,0.18221943080425262,0.2500741481781006,0.21067845821380615,0.4321361780166626,0.34412047266960144,0.12862591445446014
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.10429752618074417,0.30882009863853455,0.18434083461761475,0.33289089798927307,0.18021149933338165,0.15119072794914246,0.40561532974243164
ayurbarwada,0.2327883541584015,0.30865684151649475,0.3195618689060211,0.09991844743490219,0.2363881915807724,0.2513962388038635,0.3195618689060211,0.345804363489151,0.3765462636947632,0.19901207089424133
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.11706796288490295,0.31236231327056885,0.20308785140514374,0.3456730246543884,0.17912885546684265,0.17090870440006256,0.42300865054130554
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.11708971112966537,0.44245919585227966,0.24230371415615082,0.4933079481124878,0.20958951115608215,0.1976536363363266,0.31091248989105225
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.15619179606437683,0.3636345863342285,0.19895824790000916,0.48711544275283813,0.19482262432575226,0.24324211478233337,0.18412111699581146
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.13758724927902222,0.45503583550453186,0.2032480239868164,0.5829201340675354,0.18084076046943665,0.14993494749069214,0.23916715383529663
competent,0.4173274040222168,0.2306237667798996,0.23275873064994812,-0.041827745735645294,0.35831785202026367,0.2670820355415344,0.23275873064994812,0.1864192932844162,0.09985869377851486,0.282340407371521
emperor,0.19567297399044037,0.2147601991891861,0.2871226370334625,-0.004268804099410772,0.2257286012172699,0.28099969029426575,0.2871226370334625,0.39229243993759155,0.43762901425361633,0.19661661982536316
.,0.3541337847709656,0.40146201848983765,0.5934505462646484,0.13960666954517365,0.4645031690597534,0.2436654418706894,0.5934505462646484,0.17233723402023315,0.20616187155246735,0.4130953550338745
