,how,many,touchdowns,did,brock,osweiler,throw,in,the,season,?
in,0.2601168751716614,0.41474202275276184,0.17643709480762482,0.2593238651752472,0.21951231360435486,0.3218567967414856,0.15931737422943115,1.0,0.6662389636039734,0.2184021919965744,0.20430970191955566
contrast,0.3102145791053772,0.3121436834335327,0.08281389623880386,0.15323619544506073,0.10551192611455917,0.09899938106536865,0.18957260251045227,0.2357589453458786,0.25799670815467834,0.09937648475170135,0.15469981729984283
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.31903931498527527,0.3839668929576874,0.18939918279647827,0.5201468467712402,0.4933079481124878,0.2232367992401123,0.31091248989105225
osweiler,0.1645452380180359,0.17129558324813843,0.22947128117084503,0.21772395074367523,0.4256225526332855,1.0,0.14018994569778442,0.3218567967414856,0.24842987954616547,0.16939762234687805,0.24945171177387238
threw,0.20980720221996307,0.18603120744228363,0.4680481553077698,0.28121957182884216,0.2532079815864563,0.15019164979457855,0.5416033267974854,0.18275858461856842,0.28714463114738464,0.1746247410774231,0.15446864068508148
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.24430376291275024,0.15501289069652557,0.26654914021492004,0.4322226941585541,0.4739971458911896,0.24490800499916077,0.264628142118454
"1,967",0.24838672578334808,0.25541457533836365,0.14770881831645966,0.22466270625591278,0.1953008621931076,0.38105863332748413,0.09305166453123093,0.5515315532684326,0.44646942615509033,0.19981160759925842,0.3076499402523041
yards,0.1345205456018448,0.13134367763996124,0.7052563428878784,0.11230118572711945,0.25232547521591187,0.1919420212507248,0.3343540132045746,0.14206624031066895,0.16070343554019928,0.3280850648880005,0.12453813850879669
",",0.22659391164779663,0.40610817074775696,0.23933975398540497,0.3015086054801941,0.31903931498527527,0.3839668929576874,0.18939918279647827,0.5201468467712402,0.4933079481124878,0.2232367992401123,0.31091248989105225
10,0.09177426248788834,0.3056783974170685,-0.00992126390337944,0.1914099007844925,0.07254967093467712,0.04004254192113876,0.04267953336238861,0.22690178453922272,0.2880653440952301,0.017048560082912445,0.022911956533789635
touchdowns,0.15057362616062164,0.1144808754324913,1.0000001192092896,0.20483340322971344,0.29551517963409424,0.22947128117084503,0.3633248805999756,0.17643709480762482,0.20508192479610443,0.4151381552219391,0.1509619653224945
and,0.33647966384887695,0.5296266674995422,0.2571038007736206,0.34479495882987976,0.3033332824707031,0.269936740398407,0.1982293725013733,0.4954058527946472,0.5171257257461548,0.2369309365749359,0.20544172823429108
six,0.20644865930080414,0.37673795223236084,0.23866650462150574,0.20388470590114594,0.19912566244602203,0.15004926919937134,0.15655866265296936,0.3013422191143036,0.3614266812801361,0.2219657301902771,0.15298804640769958
interceptions,0.2084771692752838,0.21864065527915955,0.7320449352264404,0.21840861439704895,0.2355986386537552,0.1905655860900879,0.34933018684387207,0.19061775505542755,0.22331646084785461,0.35161852836608887,0.10945115238428116
for,0.3308170735836029,0.40972793102264404,0.2948407232761383,0.318512886762619,0.24430376291275024,0.15501289069652557,0.26654914021492004,0.4322226941585541,0.4739971458911896,0.24490800499916077,0.264628142118454
a,0.29312583804130554,0.2872205972671509,0.2318989634513855,0.2552328109741211,0.2361026108264923,0.25230973958969116,0.32970285415649414,0.539380669593811,0.5829201340675354,0.1855505406856537,0.23916715383529663
rating,0.20311082899570465,0.1606440395116806,0.39720848202705383,0.17871320247650146,0.20684261620044708,0.21785968542099,0.22742414474487305,0.16727057099342346,0.24654440581798553,0.31314903497695923,0.18754872679710388
of,0.2480744868516922,0.37253960967063904,0.18799830973148346,0.2513895630836487,0.1693740338087082,0.20369164645671844,0.20400571823120117,0.5696388483047485,0.733189046382904,0.1598338931798935,0.1826142966747284
86.4,-0.17286281287670135,-0.2017112672328949,-0.08452603965997696,-0.24259725213050842,-0.09584091603755951,0.04246111959218979,-0.0820029154419899,-0.009191364049911499,-0.10354115813970566,0.01986674778163433,-0.11792771518230438
.,0.3287222981452942,0.3974229395389557,0.208820641040802,0.35288307070732117,0.27440354228019714,0.31258806586265564,0.22780419886112213,0.5591574311256409,0.5934505462646484,0.24674734473228455,0.4130953550338745
