,how,many,chloroplasts,are,in,a,square,mm,of,a,leaf,?
one,0.3213292360305786,0.4223630726337433,0.2720645070075989,0.42537835240364075,0.4129433035850525,0.4910551905632019,0.2554338574409485,0.14942651987075806,0.4999135136604309,0.4910551905632019,0.09023789316415787,0.2673267424106598
square,0.0836852416396141,0.2124457061290741,0.20096352696418762,0.18786215782165527,0.2193731665611267,0.22548454999923706,1.0,0.1521761119365692,0.2585134208202362,0.22548454999923706,0.1420646458864212,0.1201515942811966
millimeter,0.29908663034439087,0.16105715930461884,0.44180282950401306,0.2175273597240448,0.17768435180187225,0.33879023790359497,0.31255069375038147,0.5211383104324341,0.17553354799747467,0.33879023790359497,0.26999056339263916,0.16107305884361267
of,0.2480744868516922,0.37253960967063904,0.23179760575294495,0.39081433415412903,0.5696388483047485,0.5052502155303955,0.2585134208202362,0.16425222158432007,1.0,0.5052502155303955,0.18900522589683533,0.1826142966747284
leaf,0.12257260084152222,0.1802816092967987,0.3715355098247528,0.19128793478012085,0.2227327525615692,0.2678666114807129,0.1420646458864212,0.19922630488872528,0.18900522589683533,0.2678666114807129,0.9999999403953552,0.13678376376628876
tissue,0.2340448796749115,0.2062118649482727,0.5965873003005981,0.2540249526500702,0.16615663468837738,0.21925245225429535,0.1687372326850891,0.2479928880929947,0.22979585826396942,0.21925245225429535,0.36657410860061646,0.17040768265724182
can,0.49246567487716675,0.4275496006011963,0.29016172885894775,0.5408529043197632,0.26527702808380127,0.3915780484676361,0.1677469164133072,0.2138654887676239,0.2603091299533844,0.3915780484676361,0.21702924370765686,0.3226337134838104
contain,0.2636528015136719,0.35166433453559875,0.3972540497779846,0.5326977372169495,0.23975171148777008,0.23510922491550446,0.13085952401161194,0.15249508619308472,0.30574339628219604,0.23510922491550446,0.2344212383031845,0.18853069841861725
half,0.19052551686763763,0.2529585361480713,0.18135704100131989,0.23862038552761078,0.25644969940185547,0.29977813363075256,0.1680608093738556,0.15098163485527039,0.2784358561038971,0.29977813363075256,0.10306645929813385,0.07471233606338501
a,0.29312583804130554,0.2872205972671509,0.24622295796871185,0.265255331993103,0.539380669593811,1.0,0.22548454999923706,0.22900144755840302,0.5052502155303955,1.0,0.2678666114807129,0.23916715383529663
million,0.21114659309387207,0.3520967364311218,0.21975094079971313,0.21881309151649475,0.2596224844455719,0.1811940222978592,0.22393502295017242,0.2359732687473297,0.21686489880084991,0.1811940222978592,0.17423015832901,0.23092924058437347
chloroplasts,0.2384049892425537,0.25650450587272644,0.9999999403953552,0.3103833794593811,0.21141497790813446,0.24622295796871185,0.20096352696418762,0.216380774974823,0.23179760575294495,0.24622295796871185,0.3715355098247528,0.13049766421318054
.,0.3287222981452942,0.3974229395389557,0.23868323862552643,0.3452940285205841,0.5591574311256409,0.50484299659729,0.2698345184326172,0.24201567471027374,0.5352458953857422,0.50484299659729,0.18523463606834412,0.4130953550338745
