,what,was,the,population,jacksonville,city,as,of,2010,?
jacksonville,0.14578714966773987,0.2742757201194763,0.2176690250635147,0.23063048720359802,1.0000001192092896,0.3285287022590637,0.20988665521144867,0.23084138333797455,0.09565681219100952,0.1359667330980301
is,0.28837618231773376,0.5810302495956421,0.5823672413825989,0.2727566361427307,0.1726600080728531,0.3186660706996918,0.43216490745544434,0.4854315221309662,0.24019573628902435,0.22961433231830597
the,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.2176690250635147,0.35769423842430115,0.48381632566452026,0.733189046382904,0.31722962856292725,0.22068053483963013
principal,0.1582305133342743,0.1818326860666275,0.23882900178432465,0.16772273182868958,0.15972310304641724,0.23314563930034637,0.32747477293014526,0.25824129581451416,0.15985475480556488,0.10016445070505142
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.4607829749584198,0.3285287022590637,1.0,0.21195319294929504,0.32503411173820496,0.20585815608501434,0.13423943519592285
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3268454372882843,0.22147351503372192,0.3911624252796173,0.3887844979763031,0.5696388483047485,0.2692960798740387,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.32044094800949097,0.2176690250635147,0.35769423842430115,0.48381632566452026,0.733189046382904,0.31722962856292725,0.22068053483963013
jacksonville,0.14578714966773987,0.2742757201194763,0.2176690250635147,0.23063048720359802,1.0000001192092896,0.3285287022590637,0.20988665521144867,0.23084138333797455,0.09565681219100952,0.1359667330980301
metropolitan,0.15624397993087769,0.21671748161315918,0.24378018081188202,0.35963642597198486,0.3201444745063782,0.45149746537208557,0.17416566610336304,0.2863157391548157,0.18542657792568207,0.1861504763364792
area,0.21965408325195312,0.24981513619422913,0.37834644317626953,0.49808502197265625,0.24562028050422668,0.41959723830223083,0.2407972663640976,0.3409860134124756,0.2777068018913269,0.12640461325645447
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2967977225780487,0.2837527096271515,0.35839709639549255,0.48816442489624023,0.4946078956127167,0.24006164073944092,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.15404780209064484,0.2283513844013214,0.19554263353347778,0.40387406945228577,0.41827285289764404,0.20064860582351685,0.2433311939239502
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2345738559961319,0.28008249402046204,0.2349124401807785,0.39550232887268066,0.5052502155303955,0.18140065670013428,0.23916715383529663
population,0.2000674307346344,0.1935066133737564,0.32044094800949097,1.0,0.23063048720359802,0.4607829749584198,0.22002090513706207,0.3060894012451172,0.27324092388153076,0.14449454843997955
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.3060894012451172,0.23084138333797455,0.32503411173820496,0.3886612355709076,1.0,0.26419875025749207,0.1826142966747284
"1,345,596",0.13009043037891388,0.13935145735740662,0.28807976841926575,0.18795298039913177,0.16182084381580353,0.25767913460731506,0.0776946097612381,0.2640518844127655,0.09723091870546341,0.012418461963534355
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3268454372882843,0.22147351503372192,0.3911624252796173,0.3887844979763031,0.5696388483047485,0.2692960798740387,0.20430970191955566
2010,0.2741409242153168,0.23825319111347198,0.31722962856292725,0.27324092388153076,0.09565681219100952,0.20585815608501434,0.27911683917045593,0.26419875025749207,1.0000001192092896,0.21232788264751434
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26950228214263916,0.2843366861343384,0.29856356978416443,0.515582263469696,0.5352458953857422,0.26320725679397583,0.4130953550338745
