,where,is,the,rhine,?
it,0.36972272396087646,0.6328473687171936,0.6251175999641418,0.17693428695201874,0.25732165575027466
is,0.3586711287498474,1.0,0.5823672413825989,0.15617261826992035,0.22961433231830597
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.22068053483963013
second-longest,0.2788640260696411,0.3681494891643524,0.4604242742061615,0.22783015668392181,0.2516520321369171
river,0.1886204034090042,0.20670881867408752,0.2894456386566162,0.3672541379928589,0.15390869975090027
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.24648422002792358,0.20430970191955566
central,0.24971573054790497,0.273421049118042,0.3417201042175293,0.18144266307353973,0.14787602424621582
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.20544172823429108
western,0.21352119743824005,0.2572968304157257,0.37920868396759033,0.23680023849010468,0.17439141869544983
europe,0.2320680469274521,0.20961034297943115,0.34463706612586975,0.3181407153606415,0.18278923630714417
(,0.1970011591911316,0.35393038392066956,0.33289089798927307,0.12381801009178162,0.40561532974243164
after,0.31753596663475037,0.2835143506526947,0.4565047025680542,0.19789908826351166,0.16608688235282898
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.22068053483963013
danube,0.1630239337682724,0.15012827515602112,0.275310754776001,0.5321726202964783,0.17050804197788239
),0.20711064338684082,0.37732169032096863,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.31091248989105225
at,0.4402937591075897,0.25906258821487427,0.457212895154953,0.19469857215881348,0.21978627145290375
about,0.3108544647693634,0.3532065451145172,0.37995871901512146,0.2085869312286377,0.302409827709198
"1,230",-0.17289894819259644,-0.1814759522676468,-0.17356659471988678,-0.0682368129491806,-0.16569994390010834
km,0.18477274477481842,0.24258680641651154,0.21376769244670868,0.22496221959590912,0.08180338144302368
(,0.1970011591911316,0.35393038392066956,0.33289089798927307,0.12381801009178162,0.40561532974243164
760,0.10538910329341888,0.09495876729488373,0.039726510643959045,-0.08990589529275894,0.026141434907913208
mi,0.09225683659315109,0.17681920528411865,0.12998802959918976,0.08876913785934448,0.10264865309000015
),0.20711064338684082,0.37732169032096863,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.31091248989105225
[,0.09494096785783768,-0.06921151280403137,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.20207084715366364,0.22927063703536987,0.255229115486145,0.09906937181949615,0.2754004895687103
2,-0.060391753911972046,-0.07940074801445007,-0.019434669986367226,0.03334525227546692,0.001977203879505396
],-0.015714233741164207,-0.02998926118016243,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
[,0.09494096785783768,-0.06921151280403137,0.07130392640829086,0.12319914251565933,0.011015460826456547
note,0.20207084715366364,0.22927063703536987,0.255229115486145,0.09906937181949615,0.2754004895687103
1,-0.12200809270143509,-0.12491171807050705,-0.1554475575685501,0.0694797933101654,-0.249979168176651
],-0.015714233741164207,-0.02998926118016243,-0.04779602214694023,-0.016111083328723907,-0.0022520492784678936
with,0.4142743945121765,0.3250955045223236,0.4223487675189972,0.18184249103069305,0.2433311939239502
an,0.24824833869934082,0.4654068350791931,0.4207492768764496,0.07200640439987183,0.19793890416622162
average,0.15665778517723083,0.2669461667537689,0.27058175206184387,0.13968418538570404,0.21764592826366425
discharge,0.2039569914340973,0.17916791141033173,0.2714732885360718,0.22111549973487854,0.13592740893363953
