,what,type,of,process,was,involved,the,the,depletion,of,the,sun,'s,oxygen,16,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.264274537563324,0.48711544275283813,0.2872544527053833,1.0,1.0,0.3154614269733429,0.733189046382904,1.0,0.258540540933609,-0.01540423184633255,0.20428593456745148,0.0058518932200968266,0.22068053483963013
measurement,0.29204270243644714,0.2217167168855667,0.26198503375053406,0.2849065661430359,0.1753922402858734,0.16728904843330383,0.2747146487236023,0.2747146487236023,0.3771691620349884,0.26198503375053406,0.2747146487236023,0.17727969586849213,0.03460044041275978,0.23693647980690002,0.036556512117385864,0.18654219806194305
implies,0.33707395195961,0.17775432765483856,0.2750009000301361,0.31699660420417786,0.18933002650737762,0.21762798726558685,0.23583805561065674,0.23583805561065674,0.2595772445201874,0.2750009000301361,0.23583805561065674,0.17912554740905762,0.10232064127922058,0.18765413761138916,-0.07654503732919693,0.24269460141658783
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.3275851607322693,0.33670201897621155,0.34995582699775696,0.5473989248275757,0.5473989248275757,0.35145804286003113,0.41498205065727234,0.5473989248275757,0.2795715630054474,0.04397977516055107,0.2717767655849457,-0.011943371966481209,0.32716336846351624
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.1907106339931488,0.3694365322589874,0.26176002621650696,0.4207492768764496,0.4207492768764496,0.18037430942058563,0.32280945777893066,0.4207492768764496,0.14272460341453552,0.025255560874938965,0.20976382493972778,-0.10145140439271927,0.19793890416622162
unknown,0.2441980093717575,0.1960936337709427,0.2853793799877167,0.12186963111162186,0.2385871857404709,0.2007020264863968,0.23777544498443604,0.23777544498443604,0.19896306097507477,0.2853793799877167,0.23777544498443604,0.05353870615363121,0.012557475827634335,0.12827925384044647,0.05730384215712547,0.22083927690982819
process,0.3466717302799225,0.21829691529273987,0.23962904512882233,0.9999998807907104,0.15519841015338898,0.40773823857307434,0.264274537563324,0.264274537563324,0.4005056321620941,0.23962904512882233,0.264274537563324,0.1275477558374405,-0.12054654210805893,0.3080802857875824,-0.04496116191148758,0.2460896074771881
depleted,0.19390784204006195,0.2645074725151062,0.282924622297287,0.2606712877750397,0.20082852244377136,0.23649969696998596,0.305412232875824,0.305412232875824,0.7340078353881836,0.282924622297287,0.305412232875824,0.24358057975769043,-0.06084112077951431,0.35713863372802734,0.02624073438346386,0.1316472738981247
oxygen-16,0.22204910218715668,0.18869349360466003,0.18333350121974945,0.3349251449108124,0.18248432874679565,0.23620012402534485,0.22801755368709564,0.22801755368709564,0.43997231125831604,0.18333350121974945,0.22801755368709564,0.21283313632011414,-0.01806068979203701,0.9598668813705444,-0.0023784965742379427,0.18815967440605164
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.21066352725028992,0.31171464920043945,0.1712687909603119,0.40150508284568787,0.40150508284568787,0.20987343788146973,0.4249346852302551,0.40150508284568787,0.2123607099056244,-0.01936490088701248,0.23457925021648407,0.09613096714019775,0.19969791173934937
