,with,what,word,was,tesla,'s,sociability,described,?
tesla,0.16424812376499176,0.23221199214458466,0.11583441495895386,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.3022078573703766,0.06866312026977539,0.10250775516033173
was,0.27411898970603943,0.22111038863658905,0.20755049586296082,1.0000001192092896,0.16455206274986267,0.008974763564765453,0.1552501916885376,0.2883506715297699,0.18412111699581146
asocial,0.32714349031448364,0.3068597614765167,0.17615196108818054,0.24192602932453156,0.19154883921146393,-0.030361685901880264,0.649895429611206,0.33018240332603455,0.24693624675273895
and,0.5477725267410278,0.31309178471565247,0.20273149013519287,0.3740963041782379,0.19560420513153076,0.06895173341035843,0.28342199325561523,0.2681671977043152,0.20544172823429108
prone,0.2655157446861267,0.19741255044937134,0.2186453640460968,0.08593356609344482,0.08233387023210526,-0.021777506917715073,0.3806464374065399,0.2586649954319,0.19483062624931335
to,0.4239959120750427,0.455847829580307,0.2865414023399353,0.3636345863342285,0.17548894882202148,0.03782717138528824,0.285465270280838,0.16602091491222382,0.29463258385658264
seclude,0.2886607050895691,0.26274290680885315,0.18819066882133484,0.20008617639541626,0.017355265095829964,-0.07953747361898422,0.26218247413635254,0.1905570775270462,0.26638907194137573
himself,0.1506686955690384,0.2431095689535141,0.17224347591400146,0.34733298420906067,0.09692850708961487,-0.025549961254000664,0.16461670398712158,0.19903263449668884,0.10407622903585434
with,0.9999999403953552,0.2464839518070221,0.15935911238193512,0.27411898970603943,0.16424812376499176,-0.04624466598033905,0.24700388312339783,0.24371938407421112,0.2433311939239502
his,0.33836179971694946,0.26976513862609863,0.1385309100151062,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.1799512803554535,0.1998966485261917,0.18075084686279297
work,0.2649822533130646,0.3762225806713104,0.2017933428287506,0.24745555222034454,0.2545209228992462,-0.03332063928246498,0.3081110417842865,0.21037523448467255,0.2621155381202698
.,0.4446153938770294,0.3567904531955719,0.13155406713485718,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.21734276413917542,0.21733810007572174,0.4130953550338745
