,what,nationality,is,the,architect,enric,miralles,?
the,0.42745697498321533,0.21899528801441193,0.5823672413825989,1.0,0.13209693133831024,0.17361262440681458,0.2997525632381439,0.22068053483963013
scottish,0.13777151703834534,0.23293043673038483,0.16398480534553528,0.21724988520145416,0.1600172072649002,0.08098899573087692,0.21507734060287476,0.06442669779062271
parliament,0.21650300920009613,0.24209538102149963,0.19676777720451355,0.26521381735801697,0.2569958567619324,0.12179320305585861,0.14445705711841583,0.1586504578590393
building,0.23529528081417084,0.05562436208128929,0.20087163150310516,0.3159640431404114,0.495442271232605,0.16871608793735504,0.2217377871274948,0.13549931347370148
was,0.22111038863658905,0.16462191939353943,0.5810302495956421,0.48711544275283813,0.27215251326560974,0.10838088393211365,0.21579906344413757,0.18412111699581146
designed,0.15902110934257507,0.15919971466064453,0.18406619131565094,0.2559613883495331,0.553325355052948,0.09762026369571686,0.2452724277973175,0.11213942617177963
by,0.2455483376979828,0.2942885756492615,0.3899846076965332,0.4408751428127289,0.22246061265468597,0.16620175540447235,0.20787329971790314,0.17966607213020325
spanish,0.13950122892856598,0.28717195987701416,0.14942079782485962,0.23213517665863037,0.20150209963321686,0.2861665189266205,0.3270852565765381,0.14750491082668304
architect,0.12894795835018158,0.23756739497184753,0.11014332622289658,0.13209693133831024,1.0000001192092896,0.18875476717948914,0.33310070633888245,0.11996878683567047
enric,0.15668874979019165,0.19922861456871033,0.12671296298503876,0.17361262440681458,0.18875476717948914,0.9999998807907104,0.19700987637043,0.10173088312149048
miralles,0.07251238077878952,0.20845270156860352,0.21833786368370056,0.2997525632381439,0.33310070633888245,0.19700987637043,1.0,0.06781956553459167
in,0.30808621644973755,0.1939406394958496,0.5394441485404968,0.6662389636039734,0.18696801364421844,0.13977211713790894,0.25563377141952515,0.20430970191955566
partnership,0.08281094580888748,0.1586729884147644,0.18844571709632874,0.18397779762744904,0.29434734582901,0.2033650428056717,0.23525334894657135,0.10106698423624039
with,0.2464839518070221,0.13285885751247406,0.3250955045223236,0.4223487675189972,0.09419280290603638,0.16128584742546082,0.15660123527050018,0.2433311939239502
local,0.18981902301311493,0.08251960575580597,0.13173899054527283,0.2130540907382965,0.14704588055610657,0.09268994629383087,0.06499861925840378,0.15022775530815125
edinburgh,0.10800135135650635,0.11845745891332626,0.15342804789543152,0.2266589254140854,0.14502392709255219,0.07166198641061783,0.22044576704502106,0.09266204386949539
architecture,0.23286667466163635,0.2041350156068802,0.19717231392860413,0.24488379061222076,0.7196862697601318,0.14391303062438965,0.2504616677761078,0.14343059062957764
firm,0.15721003711223602,0.10854453593492508,0.20598553121089935,0.185079887509346,0.334028959274292,0.17548246681690216,0.1565963476896286,0.08762375265359879
rmjm,0.26152199506759644,0.1454375833272934,0.18674525618553162,0.33288803696632385,0.28138670325279236,0.1416080892086029,0.31028231978416443,0.28740260004997253
which,0.5261979103088379,0.13888375461101532,0.4457404911518097,0.6521818041801453,0.08868785202503204,0.17609572410583496,0.15411145985126495,0.25814583897590637
was,0.22111038863658905,0.16462191939353943,0.5810302495956421,0.48711544275283813,0.27215251326560974,0.10838088393211365,0.21579906344413757,0.18412111699581146
led,0.12112844735383987,0.16785657405853271,0.14361225068569183,0.3267505168914795,0.16012908518314362,0.15552695095539093,0.16862154006958008,0.09273858368396759
by,0.2455483376979828,0.2942885756492615,0.3899846076965332,0.4408751428127289,0.22246061265468597,0.16620175540447235,0.20787329971790314,0.17966607213020325
design,0.23893405497074127,0.17632342875003815,0.18976035714149475,0.27913451194763184,0.5258270502090454,0.11843716353178024,0.2077426016330719,0.16351860761642456
principal,0.1582305133342743,0.1380491703748703,0.1573130041360855,0.23882900178432465,0.18082280457019806,0.21376162767410278,0.2198716402053833,0.10016445070505142
tony,0.10000114887952805,0.13013093173503876,0.1383890062570572,0.20786435902118683,0.21375949680805206,0.1978173553943634,0.2310778647661209,0.08139519393444061
kettle,0.2093663513660431,0.0783226415514946,0.2622184455394745,0.2630085051059723,0.10627289116382599,0.2171366810798645,0.14509816467761993,0.20387370884418488
.,0.3567904531955719,0.23392154276371002,0.4569662809371948,0.5934505462646484,0.17999820411205292,0.16922590136528015,0.2261250615119934,0.4130953550338745
