,who,has,design,authority,over,all,of,the,digital,satellite,receivers,that,are,capable,of,using,their,service,?
there,0.2844357192516327,0.42909398674964905,0.17082835733890533,0.18416956067085266,0.33811676502227783,0.38885584473609924,0.44397735595703125,0.47025805711746216,0.15540549159049988,0.12689654529094696,0.17072826623916626,0.6006520986557007,0.5433560013771057,0.2263064980506897,0.44397735595703125,0.2854459285736084,0.3165968358516693,0.1705930233001709,0.29405656456947327
are,0.27294138073921204,0.4313911199569702,0.144777312874794,0.15189868211746216,0.2778770923614502,0.5343062281608582,0.39081433415412903,0.40399202704429626,0.17171630263328552,0.12365440279245377,0.30111151933670044,0.45265161991119385,1.0,0.328324556350708,0.39081433415412903,0.3385874032974243,0.46887820959091187,0.14771409332752228,0.24591213464736938
tight,0.11932153254747391,0.18359558284282684,0.2404954731464386,0.12505780160427094,0.17199745774269104,0.19403502345085144,0.13402046263217926,0.20536431670188904,0.09255616366863251,0.09693773835897446,0.30260470509529114,0.2488050013780594,0.2055867612361908,0.109098419547081,0.13402046263217926,0.10924509167671204,0.2008143812417984,0.07987495511770248,0.11662518978118896
controls,0.24264930188655853,0.2662197947502136,0.24606169760227203,0.28488844633102417,0.22987806797027588,0.28844600915908813,0.2718416750431061,0.33783647418022156,0.2581278383731842,0.24196697771549225,0.31458580493927,0.2937886118888855,0.25124168395996094,0.27648496627807617,0.2718416750431061,0.26068878173828125,0.22409890592098236,0.17113347351551056,0.11236714571714401
over,0.316001296043396,0.370955228805542,0.21759602427482605,0.27238568663597107,1.0,0.3786722719669342,0.36136594414711,0.39856547117233276,0.19744627177715302,0.19734211266040802,0.19539062678813934,0.3882925808429718,0.2778770923614502,0.3005121052265167,0.36136594414711,0.2554243505001068,0.3300269544124603,0.20510946214199066,0.25742942094802856
use,0.2265424281358719,0.2701425552368164,0.2563382685184479,0.2064082771539688,0.24625542759895325,0.38276857137680054,0.2750902473926544,0.34342584013938904,0.20289145410060883,0.16220034658908844,0.3273265063762665,0.3939064145088196,0.4174068570137024,0.29209837317466736,0.2750902473926544,0.7256444692611694,0.3415622115135193,0.25248321890830994,0.32795652747154236
of,0.2827862501144409,0.3909035325050354,0.2522938847541809,0.28063252568244934,0.36136594414711,0.42798417806625366,1.0,0.733189046382904,0.20011478662490845,0.1683834195137024,0.21253548562526703,0.41498205065727234,0.39081433415412903,0.21464630961418152,1.0,0.24298200011253357,0.4329940676689148,0.18425606191158295,0.1826142966747284
videoguard,0.32240307331085205,0.17731569707393646,0.25804880261421204,0.2037329077720642,0.2595949172973633,0.3275618553161621,0.26720303297042847,0.3440686762332916,0.41523486375808716,0.27123382687568665,0.246272474527359,0.30187851190567017,0.21939918398857117,0.3113158345222473,0.26720303297042847,0.20344272255897522,0.2903624475002289,0.29808735847473145,0.2620079815387726
decoders,0.21635648608207703,0.12000474333763123,0.3130899965763092,0.10262564569711685,0.2007605880498886,0.3032871186733246,0.15591388940811157,0.28415241837501526,0.44461527466773987,0.27694767713546753,0.448703408241272,0.33430612087249756,0.32311996817588806,0.3684534430503845,0.15591388940811157,0.351214200258255,0.3264372944831848,0.2922592759132385,0.21355558931827545
;,0.007937713526189327,0.05589579790830612,0.04267316684126854,0.11412105709314346,-0.027810893952846527,0.06663264334201813,0.054534342139959335,0.09152708947658539,0.02410048060119152,0.0430029071867466,0.03458771854639053,0.0633435994386673,0.15315808355808258,0.05720721185207367,0.054534342139959335,0.06117796525359154,0.0970027819275856,0.04945044219493866,0.10349778085947037
