,though,turabi,proclaimed,his,support,for,the,democratic,process,",",he,strictly,applied,what,after,coming,into,power,?
turabi,0.2052781581878662,1.0,0.3045414388179779,0.21983908116817474,0.16866222023963928,0.18738962709903717,0.15623018145561218,0.1810639351606369,0.1413484513759613,0.24019668996334076,0.19626621901988983,0.13350297510623932,0.16404008865356445,0.22949008643627167,0.2238900363445282,0.17122343182563782,0.1555531620979309,0.2535952627658844,0.1846337914466858
was,0.34332048892974854,0.2172859013080597,0.3413090407848358,0.4405253231525421,0.2208256870508194,0.3863949179649353,0.48711544275283813,0.24946795403957367,0.15519841015338898,0.45456063747406006,0.5410010814666748,0.16157039999961853,0.22533445060253143,0.22111038863658905,0.49306565523147583,0.25429201126098633,0.2322220653295517,0.1794997751712799,0.18412111699581146
noted,0.30309218168258667,0.12642760574817657,0.30816423892974854,0.27043449878692627,0.19264091551303864,0.3074313700199127,0.248806893825531,0.11857058852910995,0.13246262073516846,0.3183436393737793,0.22950462996959686,0.20884165167808533,0.3327552378177643,0.16981294751167297,0.14936324954032898,0.13961416482925415,0.09027524292469025,0.07943428307771683,0.13014346361160278
for,0.35697805881500244,0.18738962709903717,0.13904714584350586,0.39312878251075745,0.3156939148902893,0.9999999403953552,0.4739971458911896,0.22596287727355957,0.3253439664840698,0.4464869201183319,0.4540175199508667,0.23536372184753418,0.28770551085472107,0.3017193675041199,0.3650246858596802,0.2819928526878357,0.231735959649086,0.15072456002235413,0.264628142118454
proclaiming,0.3296617269515991,0.2898618280887604,0.8668017983436584,0.2725954055786133,0.2448291778564453,0.2096835970878601,0.2872442603111267,0.34142735600471497,0.2596213221549988,0.2840282618999481,0.23450344800949097,0.18835477530956268,0.1789834052324295,0.25265875458717346,0.296464204788208,0.24086934328079224,0.1247955709695816,0.2488500475883484,0.24665366113185883
his,0.2983919382095337,0.21983908116817474,0.2416870892047882,0.9999998807907104,0.20473214983940125,0.39312878251075745,0.4394008219242096,0.15644465386867523,0.15942659974098206,0.3378419280052185,0.7171558737754822,0.11993953585624695,0.1773243546485901,0.26976513862609863,0.41949746012687683,0.2838437557220459,0.22944098711013794,0.20314614474773407,0.18075084686279297
support,0.33953750133514404,0.16866222023963928,0.16984577476978302,0.20473214983940125,1.0000001192092896,0.3156939148902893,0.22984638810157776,0.26344504952430725,0.24864794313907623,0.2733234167098999,0.22269798815250397,0.2060844898223877,0.23839417099952698,0.2797985076904297,0.17943866550922394,0.21201163530349731,0.16588230431079865,0.22544005513191223,0.22626608610153198
for,0.35697805881500244,0.18738962709903717,0.13904714584350586,0.39312878251075745,0.3156939148902893,0.9999999403953552,0.4739971458911896,0.22596287727355957,0.3253439664840698,0.4464869201183319,0.4540175199508667,0.23536372184753418,0.28770551085472107,0.3017193675041199,0.3650246858596802,0.2819928526878357,0.231735959649086,0.15072456002235413,0.264628142118454
the,0.38776206970214844,0.15623018145561218,0.24787339568138123,0.4394008219242096,0.22984638810157776,0.4739971458911896,1.0,0.21570740640163422,0.264274537563324,0.4933079481124878,0.4571082592010498,0.24418626725673676,0.22842662036418915,0.42745697498321533,0.4565047025680542,0.4306776821613312,0.39493247866630554,0.2647338807582855,0.22068053483963013
democratic,0.18474887311458588,0.1810639351606369,0.33482232689857483,0.15644465386867523,0.26344504952430725,0.22596287727355957,0.21570740640163422,0.9999999403953552,0.18693757057189941,0.23484410345554352,0.24164840579032898,0.12685397267341614,0.17458811402320862,0.1858556717634201,0.2292688637971878,0.11572610586881638,0.15643444657325745,0.18460679054260254,0.1668088138103485
process,0.3211106061935425,0.1413484513759613,0.18028034269809723,0.15942659974098206,0.24864794313907623,0.3253439664840698,0.264274537563324,0.18693757057189941,0.9999998807907104,0.2061346471309662,0.18701106309890747,0.23701946437358856,0.27280980348587036,0.3466717302799225,0.29070353507995605,0.31531551480293274,0.2309553474187851,0.20187073945999146,0.2460896074771881
and,0.4405979514122009,0.2281530648469925,0.1877031922340393,0.4234102666378021,0.25609129667282104,0.5064792633056641,0.5171257257461548,0.20003819465637207,0.20204883813858032,0.6633074283599854,0.45427167415618896,0.2713325321674347,0.26963624358177185,0.31309178471565247,0.3765919506549835,0.3707200884819031,0.36597734689712524,0.27496716380119324,0.20544172823429108
