,what,types,of,health,outcomes,do,pharmacists,aim,for,with,their,patients,?
pharmacists,0.28274545073509216,0.22212976217269897,0.20506609976291656,0.29165908694267273,0.30208393931388855,0.328380823135376,1.0,0.19090324640274048,0.21977780759334564,0.21731118857860565,0.3280321955680847,0.42153534293174744,0.1797308325767517
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.19031372666358948,0.35184332728385925,0.41111594438552856,0.33935052156448364,0.19605398178100586,0.3895993232727051,0.38996943831443787,0.46887820959091187,0.32314178347587585,0.24591213464736938
healthcare,0.24760322272777557,0.17395800352096558,0.22852428257465363,0.7645043134689331,0.3267316222190857,0.23864157497882843,0.4333803951740265,0.20666253566741943,0.33919909596443176,0.183729887008667,0.195062518119812,0.4882171154022217,0.21651197969913483
professionals,0.2777658998966217,0.2661818265914917,0.21767503023147583,0.36910247802734375,0.2877049744129181,0.31416991353034973,0.35777926445007324,0.24594955146312714,0.3263721466064453,0.22573620080947876,0.2773371636867523,0.3977987468242645,0.16300173103809357
with,0.2464839518070221,0.2505682706832886,0.41827285289764404,0.21318627893924713,0.24806363880634308,0.23744353652000427,0.21731118857860565,0.21865348517894745,0.39140474796295166,0.9999999403953552,0.4258328378200531,0.2591496706008911,0.2433311939239502
specialised,0.21627891063690186,0.3791731297969818,0.2754605710506439,0.2481674998998642,0.2804568111896515,0.34070885181427,0.31090840697288513,0.2211858183145523,0.2730799615383148,0.2402748167514801,0.3316526412963867,0.33068493008613586,0.18122164905071259
education,0.19940856099128723,0.07418544590473175,0.3015166223049164,0.5251648426055908,0.24278965592384338,0.18523280322551727,0.23838679492473602,0.2262890338897705,0.27265021204948425,0.11138669401407242,0.18489162623882294,0.24398714303970337,0.18067774176597595
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.3215619623661041,0.23571543395519257,0.276123583316803,0.26810887455940247,0.2315322309732437,0.5064792633056641,0.5477725267410278,0.45114588737487793,0.2402365654706955,0.20544172823429108
training,0.19520394504070282,0.20465955138206482,0.20511698722839355,0.33666783571243286,0.2026134431362152,0.21949893236160278,0.22758279740810394,0.272622287273407,0.36461034417152405,0.19191962480545044,0.2299325168132782,0.3522041141986847,0.14311334490776062
who,0.40942975878715515,0.16785739362239838,0.2827862501144409,0.2314521074295044,0.22721226513385773,0.2662210166454315,0.38864052295684814,0.23990990221500397,0.37110671401023865,0.3282766342163086,0.3767721951007843,0.3255290687084198,0.26220351457595825
perform,0.22104133665561676,0.21302706003189087,0.18957175314426422,0.10647203773260117,0.22492177784442902,0.3334052264690399,0.18375590443611145,0.2377716600894928,0.3027825951576233,0.22861480712890625,0.3414086103439331,0.2863669693470001,0.13460582494735718
