,what,is,the,current,status,of,the,haensch,study,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3314409554004669,0.23601171374320984,0.733189046382904,1.0,0.30204272270202637,0.2533665597438812,0.22068053483963013
results,0.2425258755683899,0.20523308217525482,0.2863679826259613,0.19246800243854523,0.22639307379722595,0.19509612023830414,0.2863679826259613,0.17368485033512115,0.2704715430736542,0.21797199547290802
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31470298767089844,0.20139996707439423,1.0,0.733189046382904,0.29084986448287964,0.29377859830856323,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3314409554004669,0.23601171374320984,0.733189046382904,1.0,0.30204272270202637,0.2533665597438812,0.22068053483963013
haensch,0.18792811036109924,0.2426699995994568,0.30204272270202637,0.14530301094055176,0.1418704390525818,0.29084986448287964,0.30204272270202637,1.0,0.2763901352882385,0.1624629646539688
study,0.3123835027217865,0.20457550883293152,0.2533665597438812,0.10859311372041702,0.1262003630399704,0.29377859830856323,0.2533665597438812,0.2763901352882385,1.0,0.15902167558670044
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.19741833209991455,0.2677023112773895,0.3802283704280853,0.40389683842658997,0.169297993183136,0.262853741645813,0.32991164922714233
since,0.29783400893211365,0.3567592203617096,0.4054957628250122,0.37281280755996704,0.28563088178634644,0.35513219237327576,0.4054957628250122,0.19097711145877838,0.08522643148899078,0.2876587212085724
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.24492745101451874,0.30870041251182556,0.31685134768486023,0.3563927710056305,0.18167653679847717,0.1617983877658844,0.24354910850524902
confirmed,0.1880883276462555,0.16952036321163177,0.2951974868774414,0.15842533111572266,0.27711841464042664,0.24135258793830872,0.2951974868774414,0.08264999091625214,0.14562289416790009,0.20580808818340302
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.23919939994812012,0.24375928938388824,0.5116966962814331,0.5171257257461548,0.28152215480804443,0.300253301858902,0.20544172823429108
amended,0.215549036860466,0.10587753355503082,0.2974001467227936,0.2217085212469101,0.2903492748737335,0.2682305574417114,0.2974001467227936,0.09636617451906204,0.1243206262588501,0.241045743227005
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.29179835319519043,0.21120375394821167,0.5352458953857422,0.5934505462646484,0.31946030259132385,0.23432257771492004,0.4130953550338745
