,what,are,the,anitmicrobial,peptides,secreted,by,the,skin,called,?
the,0.42745697498321533,0.40399202704429626,1.0,0.3067431151866913,0.2373761087656021,0.290791392326355,0.4408751428127289,1.0,0.2213820368051529,0.489897221326828,0.22068053483963013
skin,0.22670333087444305,0.24184688925743103,0.2213820368051529,0.43193718791007996,0.3735336661338806,0.46270859241485596,0.189737930893898,0.2213820368051529,0.9999999403953552,0.19147074222564697,0.21488560736179352
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.329073429107666,0.2519870698451996,0.2566721737384796,0.4289871156215668,0.5171257257461548,0.25818943977355957,0.3251761794090271,0.20544172823429108
respiratory,0.11584015935659409,0.1588132381439209,0.22238017618656158,0.4636894166469574,0.3942064642906189,0.41315755248069763,0.1549837440252304,0.22238017618656158,0.3051484227180481,0.15133924782276154,0.10154426842927933
tract,0.23493309319019318,0.23212727904319763,0.2717020511627197,0.3804663419723511,0.2929838299751282,0.41555914282798767,0.21239453554153442,0.2717020511627197,0.3521568775177002,0.21269692480564117,0.1459975689649582
secrete,0.17790557444095612,0.3219287693500519,0.2710142731666565,0.5576677322387695,0.5690121054649353,0.8801107406616211,0.1962575763463974,0.2710142731666565,0.38484063744544983,0.3447604775428772,0.10430937260389328
antimicrobial,0.21585090458393097,0.36534401774406433,0.25988468527793884,0.91644287109375,0.693088948726654,0.5583891868591309,0.2448732554912567,0.25988468527793884,0.4696379601955414,0.30439603328704834,0.1686422973871231
peptides,0.18130765855312347,0.312163382768631,0.2373761087656021,0.6500847339630127,1.0,0.5605872869491577,0.2165118008852005,0.2373761087656021,0.3735336661338806,0.2867175042629242,0.12387491762638092
such,0.23989605903625488,0.4654397666454315,0.3575236201286316,0.345969021320343,0.24044352769851685,0.2810203731060028,0.2736194431781769,0.3575236201286316,0.2438383251428604,0.2647407650947571,0.17851735651493073
as,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.31180208921432495,0.20583578944206238,0.224349245429039,0.3815547823905945,0.48381632566452026,0.22054484486579895,0.2827680706977844,0.27043893933296204
the,0.42745697498321533,0.40399202704429626,1.0,0.3067431151866913,0.2373761087656021,0.290791392326355,0.4408751428127289,1.0,0.2213820368051529,0.489897221326828,0.22068053483963013
β-defensins,0.18092572689056396,0.2429700791835785,0.30098021030426025,0.3246217966079712,0.36033883690834045,0.37332722544670105,0.18739385902881622,0.30098021030426025,0.24504779279232025,0.19694961607456207,0.23403771221637726
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.3197484016418457,0.22694501280784607,0.2534315288066864,0.3936232924461365,0.5934505462646484,0.28410694003105164,0.300344854593277,0.4130953550338745
