,what,was,a,first,for,this,network
it,0.45803478360176086,0.4577186405658722,0.5452592968940735,0.3491429388523102,0.32171204686164856,0.6107783317565918,0.27817267179489136
was,0.22111038863658905,1.0000001192092896,0.4508470594882965,0.5022147297859192,0.3863949179649353,0.3638818562030792,0.1994880586862564
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.49448907375335693,0.4739971458911896,0.6274310946464539,0.27187061309814453
first,0.28086137771606445,0.5022147297859192,0.4287874400615692,1.0,0.3800288736820221,0.41690850257873535,0.2069581300020218
network,0.16917307674884796,0.1994880586862564,0.17299489676952362,0.2069581300020218,0.253274142742157,0.2292335033416748,1.0000001192092896
to,0.455847829580307,0.3636345863342285,0.45503583550453186,0.3792489171028137,0.4451248347759247,0.5759071707725525,0.25940340757369995
make,0.3792211413383484,0.20205417275428772,0.34303420782089233,0.24807552993297577,0.386745423078537,0.4313279688358307,0.19908171892166138
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.49448907375335693,0.4739971458911896,0.6274310946464539,0.27187061309814453
hosts,0.07549575716257095,0.16942758858203888,0.23777376115322113,0.18157890439033508,0.29898521304130554,0.1726190149784088,0.3541618287563324
responsible,0.26869386434555054,0.2582622170448303,0.22119273245334625,0.20981602370738983,0.35061514377593994,0.29961061477661133,0.2178504317998886
for,0.3017193675041199,0.3863949179649353,0.44038116931915283,0.3800288736820221,0.9999999403953552,0.5082864165306091,0.253274142742157
reliable,0.3740312159061432,0.20431484282016754,0.19505442678928375,0.1876235157251358,0.2411685734987259,0.3119105398654938,0.30195292830467224
delivery,0.1710272878408432,0.13772734999656677,0.28163930773735046,0.2431415617465973,0.299137681722641,0.2549862563610077,0.3173491358757019
of,0.33290785551071167,0.4069072902202606,0.5052502155303955,0.3536086082458496,0.4185989499092102,0.45148900151252747,0.21800683438777924
data,0.23453554511070251,0.10802177339792252,0.2163095474243164,0.20881304144859314,0.20166052877902985,0.24432523548603058,0.24392631649971008
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.34503069519996643,0.4464869201183319,0.4316047728061676,0.1932937651872635
rather,0.3923804461956024,0.23478160798549652,0.4061340093612671,0.19765441119670868,0.3629494905471802,0.4823509454727173,0.18518593907356262
than,0.29388150572776794,0.1872616857290268,0.3126874566078186,0.22692961990833282,0.30793827772140503,0.42539164423942566,0.1737969070672989
the,0.42745697498321533,0.48711544275283813,0.5829201340675354,0.49448907375335693,0.4739971458911896,0.6274310946464539,0.27187061309814453
network,0.16917307674884796,0.1994880586862564,0.17299489676952362,0.2069581300020218,0.253274142742157,0.2292335033416748,1.0000001192092896
itself,0.3625122308731079,0.24240277707576752,0.4065200984477997,0.24252161383628845,0.25750136375427246,0.4648144245147705,0.2611059546470642
",",0.3087472915649414,0.45456063747406006,0.427140474319458,0.34503069519996643,0.4464869201183319,0.4316047728061676,0.1932937651872635
using,0.27984681725502014,0.18766598403453827,0.32226553559303284,0.30465447902679443,0.3806014060974121,0.4070901870727539,0.25959068536758423
unreliable,0.3126639723777771,0.1749323159456253,0.19926044344902039,0.16710259020328522,0.21981504559516907,0.29724425077438354,0.31949567794799805
datagrams,0.3332445025444031,0.15857814252376556,0.28535717725753784,0.17841273546218872,0.2958677411079407,0.34042319655418396,0.377943217754364
and,0.31309178471565247,0.3740963041782379,0.3739250600337982,0.3167642652988434,0.5064792633056641,0.42353692650794983,0.27591994404792786
associated,0.15836219489574432,0.16673633456230164,0.22056666016578674,0.15115830302238464,0.22591517865657806,0.27648818492889404,0.17798835039138794
end-to-end,0.34647583961486816,0.25949394702911377,0.33553916215896606,0.3392947316169739,0.2879990339279175,0.3923126459121704,0.18624016642570496
protocol,0.1694250851869583,0.14266976714134216,0.16854363679885864,0.19606725871562958,0.23225675523281097,0.2269074022769928,0.46392375230789185
mechanisms,0.23776228725910187,0.15553534030914307,0.19530636072158813,0.1413046270608902,0.2555733025074005,0.29598429799079895,0.18803970515727997
.,0.3567904531955719,0.40146201848983765,0.50484299659729,0.4345304071903229,0.4726039469242096,0.500583827495575,0.23909442126750946
