,what,types,of,preparation,do,pharmacists,have,?
pharmacists,0.28274545073509216,0.22212976217269897,0.20506609976291656,0.2828158438205719,0.328380823135376,1.0,0.3271150588989258,0.1797308325767517
are,0.29724663496017456,0.4691450595855713,0.39081433415412903,0.20186090469360352,0.41111594438552856,0.33935052156448364,0.6577680706977844,0.24591213464736938
healthcare,0.24760322272777557,0.17395800352096558,0.22852428257465363,0.36237210035324097,0.23864157497882843,0.4333803951740265,0.29578548669815063,0.21651197969913483
professionals,0.2777658998966217,0.2661818265914917,0.21767503023147583,0.22610393166542053,0.31416991353034973,0.35777926445007324,0.2914152145385742,0.16300173103809357
with,0.2464839518070221,0.2505682706832886,0.41827285289764404,0.27868980169296265,0.23744353652000427,0.21731118857860565,0.48046383261680603,0.2433311939239502
specialised,0.21627891063690186,0.3791731297969818,0.2754605710506439,0.2851489186286926,0.34070885181427,0.31090840697288513,0.37198498845100403,0.18122164905071259
education,0.19940856099128723,0.07418544590473175,0.3015166223049164,0.33741164207458496,0.18523280322551727,0.23838679492473602,0.19461645185947418,0.18067774176597595
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.2538684606552124,0.276123583316803,0.26810887455940247,0.4711785912513733,0.20544172823429108
training,0.19520394504070282,0.20465955138206482,0.20511698722839355,0.38786599040031433,0.21949893236160278,0.22758279740810394,0.2016848772764206,0.14311334490776062
who,0.40942975878715515,0.16785739362239838,0.2827862501144409,0.11312536895275116,0.2662210166454315,0.38864052295684814,0.39246654510498047,0.26220351457595825
perform,0.22104133665561676,0.21302706003189087,0.18957175314426422,0.23356275260448456,0.3334052264690399,0.18375590443611145,0.28140926361083984,0.13460582494735718
various,0.26045072078704834,0.417499840259552,0.3196488320827484,0.30926814675331116,0.22750963270664215,0.24204625189304352,0.3855627775192261,0.12823495268821716
roles,0.19272974133491516,0.1627952754497528,0.19068127870559692,0.15230704843997955,0.16869428753852844,0.11337340623140335,0.14819303154945374,0.1763966977596283
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.3090265393257141,0.38876664638519287,0.24341562390327454,0.4544740617275238,0.29463258385658264
ensure,0.328641802072525,0.12052062898874283,0.20923924446105957,0.3292500078678131,0.3229200541973114,0.20479924976825714,0.38636383414268494,0.24192948639392853
optimal,0.2557683289051056,0.22283577919006348,0.24572864174842834,0.24258461594581604,0.19635803997516632,0.3019406199455261,0.2603518068790436,0.13848930597305298
health,0.21460163593292236,0.10536545515060425,0.28076469898223877,0.31524160504341125,0.1685679703950882,0.29165908694267273,0.2750714123249054,0.16094304621219635
outcomes,0.3678261935710907,0.28502157330513,0.2874711751937866,0.3075946569442749,0.2453618347644806,0.30208393931388855,0.32953059673309326,0.26170971989631653
for,0.3017193675041199,0.29793059825897217,0.4185989499092102,0.3282301127910614,0.29510271549224854,0.21977780759334564,0.41175219416618347,0.264628142118454
their,0.35142919421195984,0.29275110363960266,0.4329940676689148,0.3119216561317444,0.35424983501434326,0.3280321955680847,0.523270845413208,0.1898253709077835
patients,0.28700166940689087,0.30271950364112854,0.1887446492910385,0.2982103228569031,0.2464439868927002,0.42153534293174744,0.3512502908706665,0.17145128548145294
through,0.23167094588279724,0.14159397780895233,0.3647414743900299,0.24044981598854065,0.24726749956607819,0.13213425874710083,0.2991202771663666,0.16913433372974396
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.3215954303741455,0.30239659547805786,0.24311043322086334,0.40389683842658997,0.22068053483963013
quality,0.28952741622924805,0.24386779963970184,0.24742498993873596,0.2877216041088104,0.21200363337993622,0.2354583740234375,0.3159855902194977,0.23524069786071777
use,0.3453877568244934,0.3699355721473694,0.2750902473926544,0.29047057032585144,0.4545445144176483,0.29568368196487427,0.4805850088596344,0.32795652747154236
of,0.33290785551071167,0.2447618544101715,1.0,0.33493492007255554,0.26150479912757874,0.20506609976291656,0.3802283704280853,0.1826142966747284
medicines,0.23498177528381348,0.28125160932540894,0.19420596957206726,0.2785029709339142,0.3178449869155884,0.48595479130744934,0.30726298689842224,0.2156115472316742
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.26678740978240967,0.3613996207714081,0.27446362376213074,0.41614407300949097,0.4130953550338745
