,how,did,the,bbc,get,audio,versions,of,the,lost,episodes,?
audio,0.20687855780124664,0.1500312238931656,0.19614098966121674,0.34934863448143005,0.1537952721118927,1.0,0.33074766397476196,0.17128776013851166,0.19614098966121674,0.1513790637254715,0.22715671360492706,0.14977853000164032
versions,0.2431974858045578,0.24556542932987213,0.2621293067932129,0.19351524114608765,0.15860368311405182,0.33074766397476196,1.0,0.17600277066230774,0.2621293067932129,0.13071909546852112,0.3352840840816498,0.2371230572462082
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.1797877550125122,0.26628199219703674,0.17128776013851166,0.17600277066230774,1.0,0.733189046382904,0.2878951132297516,0.19166667759418488,0.1826142966747284
all,0.3725806474685669,0.33943864703178406,0.4860881567001343,0.16617724299430847,0.38221117854118347,0.16729116439819336,0.3169507086277008,0.42798417806625366,0.4860881567001343,0.24061591923236847,0.21445471048355103,0.29575422406196594
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.1797877550125122,0.26628199219703674,0.17128776013851166,0.17600277066230774,1.0,0.733189046382904,0.2878951132297516,0.19166667759418488,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,1.0,0.2735401690006256,0.29667025804519653,0.19614098966121674,0.2621293067932129,0.733189046382904,1.0,0.3376973867416382,0.1889590173959732,0.22068053483963013
lost,0.15881673991680145,0.30779293179512024,0.3376973867416382,0.10801910609006882,0.2862555682659149,0.1513790637254715,0.13071909546852112,0.2878951132297516,0.3376973867416382,0.9999998807907104,0.20519708096981049,0.15261413156986237
episodes,0.16633862257003784,0.1200496256351471,0.1889590173959732,0.37426334619522095,0.18370883166790009,0.22715671360492706,0.3352840840816498,0.19166667759418488,0.1889590173959732,0.20519708096981049,0.9999999403953552,0.21740183234214783
exist,0.23865322768688202,0.29554638266563416,0.3024537265300751,0.13361036777496338,0.2475963532924652,0.2059479057788849,0.2876487672328949,0.28013259172439575,0.3024537265300751,0.1334952712059021,0.21533703804016113,0.28923845291137695
from,0.22939439117908478,0.20248863101005554,0.40150508284568787,0.17696094512939453,0.3159880042076111,0.17334142327308655,0.22396913170814514,0.4249346852302551,0.40150508284568787,0.257583886384964,0.22955967485904694,0.19969791173934937
home,0.11464780569076538,0.17098017036914825,0.28978195786476135,0.18199732899665833,0.17892085015773773,0.15915364027023315,0.10804449766874313,0.24402645230293274,0.28978195786476135,0.21756106615066528,0.1899026334285736,0.0757145956158638
viewers,0.27856409549713135,0.22879217565059662,0.24207380414009094,0.34644749760627747,0.22149226069450378,0.29240113496780396,0.23271678388118744,0.1391541063785553,0.24207380414009094,0.2007140815258026,0.4160621464252472,0.2274174839258194
who,0.4070430099964142,0.34038686752319336,0.3733934462070465,0.2086644321680069,0.3214685320854187,0.14178435504436493,0.19284802675247192,0.2827862501144409,0.3733934462070465,0.2206452637910843,0.20461446046829224,0.26220351457595825
made,0.2655200958251953,0.3068731725215912,0.3885267674922943,0.16275472939014435,0.22491569817066193,0.22097502648830414,0.26460978388786316,0.33167365193367004,0.3885267674922943,0.1875164657831192,0.1676216423511505,0.17218779027462006
tape,0.20736566185951233,0.16253623366355896,0.14324384927749634,0.24345183372497559,0.16309306025505066,0.5119525790214539,0.2099546641111374,0.15910093486309052,0.14324384927749634,0.14560362696647644,0.2826825976371765,0.13937829434871674
recordings,0.2315293699502945,0.20948119461536407,0.21458035707473755,0.3313806354999542,0.18463028967380524,0.46290847659111023,0.38736259937286377,0.17864534258842468,0.21458035707473755,0.13789428770542145,0.30996835231781006,0.18278516829013824
of,0.2480744868516922,0.2513895630836487,0.733189046382904,0.1797877550125122,0.26628199219703674,0.17128776013851166,0.17600277066230774,1.0,0.733189046382904,0.2878951132297516,0.19166667759418488,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,1.0,0.2735401690006256,0.29667025804519653,0.19614098966121674,0.2621293067932129,0.733189046382904,1.0,0.3376973867416382,0.1889590173959732,0.22068053483963013
show,0.33347421884536743,0.1697595715522766,0.319829523563385,0.33555880188941956,0.27976110577583313,0.1427721232175827,0.26772424578666687,0.21383242309093475,0.319829523563385,0.15730436146259308,0.5198086500167847,0.2520138621330261
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.20265105366706848,0.39392393827438354,0.16724947094917297,0.2660890817642212,0.5352458953857422,0.5934505462646484,0.2800092399120331,0.22130145132541656,0.4130953550338745
