,how,many,us,presidents,are,alumni,of,the,school,?
harvard,0.19650645554065704,0.19690528512001038,0.16926613450050354,0.23945850133895874,0.1259138286113739,0.4402972161769867,0.25842633843421936,0.24496200680732727,0.42520302534103394,0.11685016006231308
's,-0.026164190843701363,0.01698932610452175,0.032960113137960434,-0.0582558698952198,-0.008927806280553341,-0.06908487528562546,-0.03817026689648628,-0.01540423184633255,-0.017113132402300835,-0.023395681753754616
alumni,0.144001767039299,0.15640638768672943,0.13191254436969757,0.3154253661632538,0.18962770700454712,1.0,0.27771928906440735,0.22524002194404602,0.34342068433761597,0.130934476852417
include,0.1816270500421524,0.4642373323440552,0.11972611397504807,0.19844737648963928,0.5140694975852966,0.17035536468029022,0.37431180477142334,0.2951717972755432,0.1621524542570114,0.14925788342952728
eight,0.222213014960289,0.348200261592865,0.16233034431934357,0.2547945976257324,0.28273332118988037,0.17813286185264587,0.3220755457878113,0.34254369139671326,0.14789603650569916,0.11634626984596252
u.s.,0.08785518258810043,-0.030697613954544067,0.03950560837984085,-0.004986105486750603,-0.06309524178504944,0.08188141137361526,0.011562774889171124,0.06592652946710587,0.014218876138329506,0.07886100560426712
presidents,0.1566009819507599,0.2673695385456085,0.21357068419456482,1.0000001192092896,0.21267004311084747,0.3154253661632538,0.2828550338745117,0.29295453429222107,0.21903593838214874,0.16843600571155548
",",0.22659391164779663,0.40610817074775696,0.3120202422142029,0.27774885296821594,0.4062570035457611,0.2394251972436905,0.4946078956127167,0.4933079481124878,0.27141863107681274,0.31091248989105225
several,0.28568220138549805,0.7239733338356018,0.11403710395097733,0.20780260860919952,0.4241659343242645,0.1654864102602005,0.3271615505218506,0.40559855103492737,0.17677904665470123,0.15595775842666626
foreign,0.2628900706768036,0.29732653498649597,0.18228672444820404,0.3562219738960266,0.18581871688365936,0.19773881137371063,0.25741127133369446,0.2946566939353943,0.14912790060043335,0.13770383596420288
heads,0.20743389427661896,0.244705930352211,0.1503588855266571,0.2873372733592987,0.3561229407787323,0.19539780914783478,0.311297744512558,0.3017694354057312,0.1171250119805336,0.13046061992645264
of,0.2480744868516922,0.37253960967063904,0.23568789660930634,0.2828550338745117,0.39081433415412903,0.27771928906440735,1.0,0.733189046382904,0.2391800880432129,0.1826142966747284
state,0.15028610825538635,0.23203584551811218,0.23009350895881653,0.29914504289627075,0.19951030611991882,0.19465771317481995,0.34253445267677307,0.3097178041934967,0.22666531801223755,0.1160883978009224
",",0.22659391164779663,0.40610817074775696,0.3120202422142029,0.27774885296821594,0.4062570035457611,0.2394251972436905,0.4946078956127167,0.4933079481124878,0.27141863107681274,0.31091248989105225
62,-0.03404853492975235,-0.11253025382757187,-0.01148497499525547,0.03156573697924614,-0.10004626959562302,0.09686724841594696,-0.12567876279354095,-0.09844154864549637,0.050085801631212234,0.11978938430547714
living,0.16140781342983246,0.3044293522834778,0.1577252596616745,0.16960401833057404,0.2966900169849396,0.1769404113292694,0.3499443829059601,0.3127744197845459,0.1748976856470108,0.18362653255462646
billionaires,0.21337729692459106,0.1729741096496582,0.22706490755081177,0.24627965688705444,0.12035474926233292,0.16451041400432587,0.19102977216243744,0.22034598886966705,0.18849854171276093,0.23968732357025146
",",0.22659391164779663,0.40610817074775696,0.3120202422142029,0.27774885296821594,0.4062570035457611,0.2394251972436905,0.4946078956127167,0.4933079481124878,0.27141863107681274,0.31091248989105225
335,0.013089892454445362,0.13212594389915466,-0.0481790266931057,-0.012355838902294636,0.08366157859563828,-0.06664429605007172,0.002749332692474127,-0.024289371445775032,-0.03935805335640907,-0.044643137603998184
rhodes,0.08241163194179535,0.15204094350337982,0.07702416926622391,0.14416757225990295,0.10037485510110855,0.26329362392425537,0.19771523773670197,0.20141130685806274,0.1886216700077057,0.06902380287647247
scholars,0.20962771773338318,0.3330962359905243,0.16885164380073547,0.3063388466835022,0.2169226109981537,0.34690967202186584,0.2583930194377899,0.2524346709251404,0.3343282639980316,0.11279910802841187
",",0.22659391164779663,0.40610817074775696,0.3120202422142029,0.27774885296821594,0.4062570035457611,0.2394251972436905,0.4946078956127167,0.4933079481124878,0.27141863107681274,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.25715014338493347,0.2590823471546173,0.48576638102531433,0.19591780006885529,0.5116966962814331,0.5171257257461548,0.2752758264541626,0.20544172823429108
242,0.17469052970409393,0.25039854645729065,0.12581311166286469,0.132374107837677,0.222867950797081,0.17698629200458527,0.2790640890598297,0.37916773557662964,0.1698005199432373,0.09836410731077194
marshall,0.13827402889728546,0.165324404835701,0.22499822080135345,0.2443932592868805,0.17144383490085602,0.14377948641777039,0.20384931564331055,0.22928133606910706,0.17502067983150482,0.18167579174041748
scholars,0.20962771773338318,0.3330962359905243,0.16885164380073547,0.3063388466835022,0.2169226109981537,0.34690967202186584,0.2583930194377899,0.2524346709251404,0.3343282639980316,0.11279910802841187
.,0.3287222981452942,0.3974229395389557,0.3162994682788849,0.2867530882358551,0.3452940285205841,0.2471552938222885,0.5352458953857422,0.5934505462646484,0.24214158952236176,0.4130953550338745
