,what,does,stong,force,act,upon,?
the,0.42745697498321533,0.35928019881248474,0.270760715007782,0.2800885736942291,0.28682878613471985,0.28184252977371216,0.22068053483963013
strong,0.19839218258857727,0.2526887357234955,0.22979411482810974,0.3797370195388794,0.21267935633659363,0.17831295728683472,0.11990999430418015
force,0.16915984451770782,0.21141281723976135,0.16122591495513916,1.0000001192092896,0.26389411091804504,0.2177911251783371,0.1650998443365097
only,0.41415658593177795,0.45203697681427,0.1719130426645279,0.24689099192619324,0.22275567054748535,0.21554875373840332,0.2767370045185089
acts,0.24949195981025696,0.2505439221858978,0.07036661356687546,0.2649233341217041,0.649886965751648,0.17155174911022186,0.07075770199298859
directly,0.3618607521057129,0.3312726318836212,0.16696883738040924,0.1590159386396408,0.2197170853614807,0.2593720257282257,0.2187996357679367
upon,0.2878674864768982,0.20275112986564636,0.21586766839027405,0.2177911251783371,0.26171883940696716,1.0,0.13780277967453003
elementary,0.2323365956544876,0.16534458100795746,0.2426024228334427,0.1949433833360672,0.13486914336681366,0.10149230808019638,0.14365358650684357
particles,0.26094838976860046,0.21566829085350037,0.21008500456809998,0.3777397572994232,0.20988525450229645,0.19577494263648987,0.22255320847034454
.,0.3567904531955719,0.3022993505001068,0.257852703332901,0.2783275842666626,0.2025400698184967,0.18839296698570251,0.4130953550338745
