,what,is,the,canal,in,wesel,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25331923365592957,1.0,0.2972559928894043,0.20430970191955566
wesel,0.14610527455806732,0.21240268647670746,0.2688356637954712,0.2794830799102783,0.2972559928894043,1.0,0.13946764171123505
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21654076874256134,0.5201468467712402,0.2832423448562622,0.31091248989105225
30,-0.04443084076046944,0.01582122966647148,0.0730796679854393,-0.024915510788559914,-0.005278158001601696,0.013489538803696632,-0.08261742442846298
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.31228065490722656,0.21900252997875214,0.2530022859573364,0.08180338144302368
downstream,0.1729995161294937,0.2554602026939392,0.3056260943412781,0.38706958293914795,0.2580801248550415,0.3019033670425415,0.10389719903469086
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.18671196699142456,0.5696388483047485,0.24269132316112518,0.1826142966747284
duisburg,0.144659623503685,0.14250098168849945,0.2369861900806427,0.2556917667388916,0.254626601934433,0.5311224460601807,0.18542204797267914
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21654076874256134,0.5201468467712402,0.2832423448562622,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.1789478063583374,0.5394441485404968,0.21240268647670746,0.22961433231830597
located,0.2034616470336914,0.35717159509658813,0.407527357339859,0.2618555426597595,0.35149815678596497,0.21940381824970245,0.08983194828033447
the,0.42745697498321533,0.5823672413825989,1.0,0.26047348976135254,0.6662389636039734,0.2688356637954712,0.22068053483963013
western,0.2454150915145874,0.2572968304157257,0.37920868396759033,0.16062943637371063,0.35160520672798157,0.342639297246933,0.17439141869544983
end,0.29234179854393005,0.2179071456193924,0.39658910036087036,0.18090738356113434,0.28539085388183594,0.15972228348255157,0.12543344497680664
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.18671196699142456,0.5696388483047485,0.24269132316112518,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.26047348976135254,0.6662389636039734,0.2688356637954712,0.22068053483963013
second,0.19948028028011322,0.3161451518535614,0.4620301127433777,0.14342108368873596,0.34510284662246704,0.17465315759181976,0.17239587008953094
east-west,0.22941988706588745,0.31119710206985474,0.3887042999267578,0.3035208284854889,0.3768627643585205,0.44256478548049927,0.17539338767528534
shipping,0.165150985121727,0.18627332150936127,0.2677045166492462,0.35202303528785706,0.22993473708629608,0.2178482860326767,0.1596645563840866
route,0.23103561997413635,0.2375296801328659,0.22322526574134827,0.28669002652168274,0.19557222723960876,0.22013439238071442,0.10957027226686478
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21654076874256134,0.5201468467712402,0.2832423448562622,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.26047348976135254,0.6662389636039734,0.2688356637954712,0.22068053483963013
wesel-datteln,0.14491824805736542,0.23552149534225464,0.29305317997932434,0.3494313061237335,0.3188284635543823,0.7996205687522888,0.17133697867393494
canal,0.07927161455154419,0.1789478063583374,0.26047348976135254,1.0,0.25331923365592957,0.2794830799102783,0.1123519018292427
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.21654076874256134,0.5201468467712402,0.2832423448562622,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.22096513211727142,0.4840516746044159,0.1995161920785904,0.25814583897590637
runs,0.17057748138904572,0.30176323652267456,0.30832576751708984,0.24868330359458923,0.2674408257007599,0.2044936865568161,0.08094297349452972
parallel,0.23414644598960876,0.17405718564987183,0.26065152883529663,0.21026137471199036,0.20074914395809174,0.14941167831420898,0.13566309213638306
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.15252184867858887,0.45010748505592346,0.14649826288223267,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.26047348976135254,0.6662389636039734,0.2688356637954712,0.22068053483963013
lippe,0.07081355154514313,0.20169490575790405,0.20516513288021088,0.251412034034729,0.19260431826114655,0.4965746998786926,0.08111987262964249
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.20299389958381653,0.5591574311256409,0.2656572759151459,0.4130953550338745
