,what,did,the,salafi,movement,put,emphasis,on,?
olivier,0.1528332233428955,0.16168324649333954,0.21927626430988312,0.20744426548480988,0.12496987730264664,0.2036123275756836,0.17483311891555786,0.17362993955612183,0.1835772544145584
roy,0.2334662228822708,0.1279803216457367,0.1859140545129776,0.19945505261421204,0.1561928689479828,0.12386183440685272,0.013182700611650944,0.1753847748041153,0.18236976861953735
argues,0.3211183547973633,0.26005780696868896,0.22893615067005157,0.1318570077419281,0.18779852986335754,0.21912790834903717,0.28030213713645935,0.17911744117736816,0.20733967423439026
that,0.6297725439071655,0.47518548369407654,0.5473989248275757,0.22724130749702454,0.2563289701938629,0.4161929190158844,0.2798662483692169,0.42569106817245483,0.32716336846351624
``,0.008517155423760414,-0.029888948425650597,0.029072100296616554,0.17998269200325012,0.12191136181354523,-0.0100547531619668,0.013307148590683937,-0.03274054825305939,0.0685480609536171
sunni,0.24205702543258667,0.19257347285747528,0.23035748302936554,0.5759809613227844,0.24889671802520752,0.09424286335706711,0.15611205995082855,0.12279988080263138,0.17507030069828033
pan-islamism,0.3022533655166626,0.23256927728652954,0.27917662262916565,0.530005156993866,0.4865068197250366,0.18889866769313812,0.32519838213920593,0.16104675829410553,0.2222694307565689
underwent,0.17015217244625092,0.2357429563999176,0.33590078353881836,0.08527029305696487,0.232987642288208,0.22584648430347443,0.208833709359169,0.3089336156845093,0.12751154601573944
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.23861700296401978,0.23380696773529053,0.35192930698394775,0.23661457002162933,0.3848365545272827,0.23916715383529663
remarkable,0.24123252928256989,0.25472521781921387,0.2995794415473938,0.16990026831626892,0.19441814720630646,0.16436836123466492,0.3239777684211731,0.2125874161720276,0.12076342850923538
shift,0.3028343617916107,0.12852922081947327,0.20870792865753174,0.2042301744222641,0.2506659924983978,0.19209258258342743,0.28875285387039185,0.2414211481809616,0.1848975419998169
in,0.30808621644973755,0.2593238651752472,0.6662389636039734,0.23698079586029053,0.26725053787231445,0.26728662848472595,0.2321949303150177,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,1.0,0.24469619989395142,0.339571475982666,0.34150463342666626,0.19833582639694214,0.5107308030128479,0.22068053483963013
second,0.19948028028011322,0.20727969706058502,0.4620301127433777,0.19793327152729034,0.16860775649547577,0.2037278413772583,0.11129305511713028,0.26659107208251953,0.17239587008953094
half,0.13016436994075775,0.12883292138576508,0.3189295828342438,0.1734389215707779,0.08370304107666016,0.18473826348781586,0.0749824047088623,0.179890438914299,0.07471233606338501
of,0.33290785551071167,0.2513895630836487,0.733189046382904,0.24442888796329498,0.2662941515445709,0.3247257471084595,0.25674107670783997,0.3966929316520691,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,1.0,0.24469619989395142,0.339571475982666,0.34150463342666626,0.19833582639694214,0.5107308030128479,0.22068053483963013
20th,0.1850772649049759,0.12900345027446747,0.3097512125968933,0.08772625774145126,0.18740542232990265,0.1738608330488205,0.14125503599643707,0.21332970261573792,0.14985637366771698
century,0.20422613620758057,0.2333737462759018,0.3617299497127533,0.19926191866397858,0.281447172164917,0.1893874555826187,0.13982215523719788,0.14449788630008698,0.1026201918721199
'',0.08143015950918198,0.01978493109345436,0.041273195296525955,0.05843092501163483,-0.06533791124820709,0.07894747704267502,0.06537715345621109,0.04238596186041832,0.018684765323996544
when,0.4700249433517456,0.3228907287120819,0.5091903209686279,0.1967065930366516,0.28646430373191833,0.32715895771980286,0.15013940632343292,0.37706470489501953,0.22841128706932068
the,0.42745697498321533,0.34736719727516174,1.0,0.24469619989395142,0.339571475982666,0.34150463342666626,0.19833582639694214,0.5107308030128479,0.22068053483963013
muslim,0.2631456255912781,0.2098924219608307,0.28099653124809265,0.5672807693481445,0.3103686273097992,0.13572262227535248,0.09112924337387085,0.13839669525623322,0.17456822097301483
brotherhood,0.168807253241539,0.1878286749124527,0.2368839830160141,0.3487585783004761,0.340337872505188,0.16290882229804993,0.20729336142539978,0.12296188622713089,0.1117945984005928
