,who,runs,a,service,out,of,newcastle,'s,international,ferry,terminal,?
from,0.27839982509613037,0.2119603008031845,0.322764128446579,0.17239798605442047,0.3196950852870941,0.4249346852302551,0.1747848093509674,-0.01936490088701248,0.1384202241897583,0.1563938558101654,0.24064595997333527,0.19969791173934937
newcastle,0.21185682713985443,0.1924642026424408,0.21405641734600067,0.21658112108707428,0.10975169390439987,0.18781472742557526,1.0000001192092896,-0.017262522131204605,0.21848909556865692,0.22174802422523499,0.21725314855575562,0.0902252271771431
international,0.14208874106407166,0.21517357230186462,0.24617823958396912,0.24578268826007843,0.10808391124010086,0.23367412388324738,0.21848909556865692,-0.021212328225374222,1.0,0.21937963366508484,0.3197055459022522,0.15335838496685028
ferry,0.1571519374847412,0.2584999203681946,0.237418070435524,0.28140947222709656,0.12351921200752258,0.1843179613351822,0.22174802422523499,0.060029298067092896,0.21937963366508484,1.0,0.3681810200214386,0.11376336216926575
terminal,0.10873976349830627,0.2459326982498169,0.2737159729003906,0.2807787358760834,0.14456410706043243,0.1835850030183792,0.21725314855575562,-0.009668060578405857,0.3197055459022522,0.3681810200214386,0.9999999403953552,0.10327429324388504
",",0.3365725874900818,0.22710935771465302,0.427140474319458,0.2389259785413742,0.3161109685897827,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.23395943641662598,0.26097768545150757,0.24346745014190674,0.31091248989105225
at,0.22096660733222961,0.18116068840026855,0.3095070421695709,0.2093784511089325,0.2881071865558624,0.42558613419532776,0.18403437733650208,-0.08481216430664062,0.22578327357769012,0.17842210829257965,0.16291013360023499,0.21978627145290375
north,0.11026738584041595,0.195067897439003,0.25008413195610046,0.1418873816728592,0.1990845650434494,0.3604778051376343,0.28581127524375916,0.06196961551904678,0.21785306930541992,0.3013998568058014,0.23548321425914764,0.11829731613397598
shields,0.21443817019462585,0.19255995750427246,0.17512348294258118,0.15521952509880066,0.1653488725423813,0.2166394293308258,0.3120311498641968,0.05290888994932175,0.00691192364320159,0.21261893212795258,0.10976463556289673,0.08820432424545288
",",0.3365725874900818,0.22710935771465302,0.427140474319458,0.2389259785413742,0.3161109685897827,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.23395943641662598,0.26097768545150757,0.24346745014190674,0.31091248989105225
danish,0.272081583738327,0.1095350980758667,0.1732226014137268,0.08251436054706573,0.11493983119726181,0.11180341243743896,0.16799454391002655,0.1019420176744461,0.16177262365818024,0.15781107544898987,0.1231389120221138,0.09872670471668243
dfds,0.26360830664634705,0.2598973214626312,0.26537010073661804,0.2548087239265442,0.3337833881378174,0.24451112747192383,0.25459977984428406,0.0732315331697464,0.24337300658226013,0.21836510300636292,0.27858492732048035,0.36004528403282166
seaways,0.14891557395458221,0.24355053901672363,0.22639179229736328,0.2449415624141693,0.23774798214435577,0.26331761479377747,0.29204049706459045,-0.0009871609508991241,0.21342118084430695,0.36261317133903503,0.36389538645744324,0.18208172917366028
run,0.2372417002916336,0.6555101275444031,0.2607046067714691,0.21115641295909882,0.2164657860994339,0.2272813767194748,0.16380473971366882,0.017889494076371193,0.2035132795572281,0.23246824741363525,0.18853244185447693,0.17904110252857208
a,0.36608949303627014,0.23921579122543335,1.0,0.23104366660118103,0.34264278411865234,0.5052502155303955,0.21405641734600067,0.04866964742541313,0.24617823958396912,0.237418070435524,0.2737159729003906,0.23916715383529663
service,0.21098247170448303,0.2205687165260315,0.23104366660118103,0.9999998807907104,0.11581319570541382,0.18425606191158295,0.21658112108707428,0.017307469621300697,0.24578268826007843,0.28140947222709656,0.2807787358760834,0.1676298975944519
to,0.42656609416007996,0.16705270111560822,0.45503583550453186,0.24411341547966003,0.42386990785598755,0.41548454761505127,0.23559264838695526,0.03782717138528824,0.21173149347305298,0.20805752277374268,0.23148603737354279,0.29463258385658264
ijmuiden,0.2696232497692108,0.14515039324760437,0.32783809304237366,0.1503390669822693,0.25813087821006775,0.29994821548461914,0.23965057730674744,-0.00316261756233871,0.07715407758951187,0.22670330107212067,0.22433850169181824,0.2030811607837677
(,0.2443375140428543,0.14261752367019653,0.3206180930137634,0.13752473890781403,0.20017710328102112,0.35032153129577637,0.13896974921226501,0.0012731997994706035,0.19440914690494537,0.1145630031824112,0.18875935673713684,0.40561532974243164
near,0.08319083601236343,0.2172178328037262,0.25033900141716003,0.07691720128059387,0.1938980221748352,0.2651676535606384,0.18032418191432953,-0.09597858041524887,0.17343410849571228,0.18233183026313782,0.20359748601913452,0.10734958201646805
amsterdam,0.14998137950897217,0.1320895403623581,0.170244500041008,0.12194821983575821,0.09609495848417282,0.1580076962709427,0.24499106407165527,0.05950423330068588,0.32131722569465637,0.16190354526042938,0.26979711651802063,0.1401052325963974
),0.2457384318113327,0.141518235206604,0.3640355169773102,0.17408718168735504,0.20875944197177887,0.3680361211299896,0.15254424512386322,0.021107977256178856,0.2199915647506714,0.12876078486442566,0.18657808005809784,0.42300865054130554
.,0.3541337847709656,0.2379940003156662,0.50484299659729,0.2115515172481537,0.34234723448753357,0.5352458953857422,0.2714749276638031,-0.003708066651597619,0.20745405554771423,0.2134094387292862,0.25951385498046875,0.4130953550338745
