,horizontal,layers,of,what,are,pulled,along,a,surface,into,a,back,stop,in,analog,versions,of,orogenic,wedge,experiments,?
in,0.17211194336414337,0.1537681668996811,0.5696388483047485,0.30808621644973755,0.3841303884983063,0.14637652039527893,0.3603311777114868,0.539380669593811,0.20246390998363495,0.38021373748779297,0.539380669593811,0.25397348403930664,0.20196323096752167,1.0,0.13304997980594635,0.17707763612270355,0.5696388483047485,0.23887601494789124,0.12676380574703217,0.21977302432060242,0.20430970191955566
the,0.25932741165161133,0.24930399656295776,0.733189046382904,0.42745697498321533,0.40399202704429626,0.2856052815914154,0.39495137333869934,0.5829201340675354,0.2555135488510132,0.39493247866630554,0.5829201340675354,0.3612101674079895,0.25771772861480713,0.6662389636039734,0.21098314225673676,0.2621293067932129,0.733189046382904,0.2921693027019501,0.2632540762424469,0.21008943021297455,0.22068053483963013
analog,0.27970999479293823,0.2828468680381775,0.14265845715999603,0.2780171036720276,0.2630777060985565,0.14143188297748566,0.15918749570846558,0.23552219569683075,0.29151809215545654,0.18253928422927856,0.23552219569683075,0.1754540503025055,0.21356268227100372,0.13304997980594635,0.9999999403953552,0.3037494719028473,0.14265845715999603,0.23746129870414734,0.30037814378738403,0.30472567677497864,0.17692391574382782
versions,0.22818833589553833,0.24390122294425964,0.17600277066230774,0.22019806504249573,0.33126300573349,0.18334464728832245,0.19945894181728363,0.2150656133890152,0.11788559705018997,0.191947340965271,0.2150656133890152,0.2207203060388565,0.09153816103935242,0.17707763612270355,0.3037494719028473,1.0,0.17600277066230774,0.14680437743663788,0.07969556748867035,0.2877766489982605,0.2371230572462082
of,0.25086116790771484,0.24201519787311554,1.0,0.33290785551071167,0.39081433415412903,0.15919329226016998,0.34889817237854004,0.5052502155303955,0.24204103648662567,0.32255905866622925,0.5052502155303955,0.23051875829696655,0.2052845060825348,0.5696388483047485,0.14265845715999603,0.17600277066230774,1.0,0.3018898367881775,0.1690942645072937,0.16935081779956818,0.1826142966747284
these,0.28033682703971863,0.37655824422836304,0.42684608697891235,0.4164220690727234,0.7107698917388916,0.22566728293895721,0.29171881079673767,0.24380075931549072,0.25077754259109497,0.3533816933631897,0.24380075931549072,0.2557288408279419,0.2716788053512573,0.3791837692260742,0.2940669059753418,0.39296621084213257,0.42684608697891235,0.36666232347488403,0.18278957903385162,0.3385513722896576,0.2571668326854706
experiments,0.18378505110740662,0.25908181071281433,0.16935081779956818,0.3106561601161957,0.24133720993995667,0.20461027324199677,0.19533711671829224,0.21744723618030548,0.26065611839294434,0.2025383710861206,0.21744723618030548,0.15546882152557373,0.17490234971046448,0.21977302432060242,0.30472567677497864,0.2877766489982605,0.16935081779956818,0.27457675337791443,0.1584155410528183,0.9999998807907104,0.14564716815948486
",",0.14324380457401276,0.1578376442193985,0.4946078956127167,0.3087472915649414,0.4062570035457611,0.20498833060264587,0.29824912548065186,0.427140474319458,0.23000483214855194,0.2826121151447296,0.427140474319458,0.3066370487213135,0.24759207665920258,0.5201468467712402,0.20826497673988342,0.23377446830272675,0.4946078956127167,0.2112789899110794,0.24033711850643158,0.22640827298164368,0.31091248989105225
horizontal,1.0000001192092896,0.34244582056999207,0.25086116790771484,0.17517708241939545,0.20843224227428436,0.20973743498325348,0.24264080822467804,0.2503664791584015,0.39212730526924133,0.21841388940811157,0.2503664791584015,0.2901533842086792,0.16214394569396973,0.17211194336414337,0.27970999479293823,0.22818833589553833,0.25086116790771484,0.31532177329063416,0.3328849971294403,0.18378505110740662,0.11756809055805206
layers,0.34244582056999207,0.9999999403953552,0.24201519787311554,0.24485039710998535,0.3148055374622345,0.19014979898929596,0.19847671687602997,0.22045712172985077,0.40678298473358154,0.2668488621711731,0.22045712172985077,0.19736365973949432,0.10772108286619186,0.1537681668996811,0.2828468680381775,0.24390122294425964,0.24201519787311554,0.44271737337112427,0.21180576086044312,0.25908181071281433,0.09622068703174591
