,the,script,writer,for,the,special,went,on,to,have,what,role,in,the,revised,doctor,who,series,?
the,1.0,0.21384064853191376,0.1583879292011261,0.4739971458911896,1.0,0.3027077615261078,0.3345835506916046,0.5107308030128479,0.535392165184021,0.40389683842658997,0.42745697498321533,0.26607486605644226,0.6662389636039734,1.0,0.2513941526412964,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
script,0.21384064853191376,1.0,0.25806882977485657,0.19915854930877686,0.21384064853191376,0.21403868496418,0.07983008772134781,0.16116313636302948,0.20386800169944763,0.16585654020309448,0.23662243783473969,0.12255781143903732,0.17682331800460815,0.21384064853191376,0.23523211479187012,0.1489105373620987,0.20711494982242584,0.14627748727798462,0.24144527316093445
was,0.48711544275283813,0.18141986429691315,0.29712387919425964,0.3863949179649353,0.48711544275283813,0.1585642695426941,0.49310487508773804,0.3909217119216919,0.3636345863342285,0.2863433063030243,0.22111038863658905,0.2561398148536682,0.45514053106307983,0.48711544275283813,0.25717079639434814,0.19672659039497375,0.3318818509578705,0.2261398285627365,0.18412111699581146
written,0.2582438886165619,0.40531858801841736,0.421705424785614,0.25893163681030273,0.2582438886165619,0.17116986215114594,0.1372452825307846,0.19147278368473053,0.18544813990592957,0.214742973446846,0.25412634015083313,0.16799993813037872,0.20878943800926208,0.2582438886165619,0.3649826645851135,0.1692265123128891,0.26459524035453796,0.20924344658851624,0.21451954543590546
by,0.4408751428127289,0.15004810690879822,0.19870543479919434,0.3248702883720398,0.4408751428127289,0.2578898072242737,0.14665302634239197,0.33887791633605957,0.33534231781959534,0.3359639644622803,0.2455483376979828,0.20783835649490356,0.370934396982193,0.4408751428127289,0.23103463649749756,0.13681447505950928,0.39727845788002014,0.267352432012558,0.17966607213020325
steven,0.21446210145950317,0.2284388542175293,0.22396604716777802,0.203480064868927,0.21446210145950317,0.11298713088035583,0.1576385200023651,0.20901304483413696,0.16749487817287445,0.18238025903701782,0.1722090095281601,0.19542795419692993,0.17032748460769653,0.21446210145950317,0.13475662469863892,0.19845148921012878,0.22480571269989014,0.16944412887096405,0.10277901589870453
moffat,0.3156551420688629,0.26797184348106384,0.3403540849685669,0.269808828830719,0.3156551420688629,0.13759203255176544,0.2722306251525879,0.32939690351486206,0.2665085196495056,0.22582225501537323,0.25599291920661926,0.3081381022930145,0.2693221867084503,0.3156551420688629,0.0947844460606575,0.3490009605884552,0.38597768545150757,0.3100392818450928,0.18844567239284515
",",0.4933079481124878,0.193008154630661,0.2910175621509552,0.4464869201183319,0.4933079481124878,0.23880577087402344,0.29013195633888245,0.49057599902153015,0.44245919585227966,0.3541618287563324,0.3087472915649414,0.199491485953331,0.5201468467712402,0.4933079481124878,0.2112094908952713,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.31091248989105225
later,0.4060266613960266,0.1691848635673523,0.22726067900657654,0.3573088049888611,0.4060266613960266,0.17338314652442932,0.4236452579498291,0.30872204899787903,0.393297016620636,0.3055685758590698,0.2517229914665222,0.19716665148735046,0.40857815742492676,0.4060266613960266,0.2546480894088745,0.21110832691192627,0.35185644030570984,0.2303348183631897,0.1417175978422165
to,0.535392165184021,0.20386800169944763,0.12567701935768127,0.4451248347759247,0.535392165184021,0.28623831272125244,0.33234721422195435,0.41031414270401,1.0,0.4544740617275238,0.455847829580307,0.17841029167175293,0.45010748505592346,0.535392165184021,0.14988531172275543,0.22950075566768646,0.42656609416007996,0.19879554212093353,0.29463258385658264
