,what,leads,to,confusion,and,collapse,?
contracts,0.2268635481595993,0.17623905837535858,0.30408602952957153,0.20908300578594208,0.20802323520183563,0.2088920623064041,0.09254205226898193
that,0.6297725439071655,0.23892678320407867,0.5436353087425232,0.3276735246181488,0.4731321930885315,0.2624659240245819,0.32716336846351624
set,0.28954121470451355,0.16200615465641022,0.320547491312027,0.10522153228521347,0.27649927139282227,0.2206784039735794,0.1698019951581955
out,0.3633197546005249,0.27761006355285645,0.42386990785598755,0.23527134954929352,0.3881998062133789,0.2153400182723999,0.22020699083805084
clear,0.4239453375339508,0.20937417447566986,0.34294766187667847,0.27856749296188354,0.31630682945251465,0.23928794264793396,0.2738020122051239
expectations,0.3370392322540283,0.30934014916419983,0.3294470012187958,0.33645573258399963,0.2936684489250183,0.13314150273799896,0.2724282741546631
and,0.31309178471565247,0.28972697257995605,0.48971283435821533,0.18959911167621613,1.0,0.17414039373397827,0.20544172823429108
clear,0.4239453375339508,0.20937417447566986,0.34294766187667847,0.27856749296188354,0.31630682945251465,0.23928794264793396,0.2738020122051239
paths,0.23057404160499573,0.29136621952056885,0.283328652381897,0.17611096799373627,0.2697710394859314,0.08303815126419067,0.11069115251302719
to,0.455847829580307,0.2697960138320923,1.0,0.31537163257598877,0.48971283435821533,0.1598730832338333,0.29463258385658264
accomplishing,0.2887621223926544,0.23886778950691223,0.3290090262889862,0.2254469096660614,0.30032435059547424,0.20459426939487457,0.230264812707901
those,0.44466671347618103,0.17814280092716217,0.47350940108299255,0.26221439242362976,0.43169310688972473,0.21511909365653992,0.3328189253807068
expectations,0.3370392322540283,0.30934014916419983,0.3294470012187958,0.33645573258399963,0.2936684489250183,0.13314150273799896,0.2724282741546631
are,0.29724663496017456,0.2164822369813919,0.3504326641559601,0.249273881316185,0.48576638102531433,0.11400406807661057,0.24591213464736938
far,0.34794166684150696,0.1919364333152771,0.3375735878944397,0.18486738204956055,0.3353408873081207,0.1359119713306427,0.2170870453119278
more,0.3484537899494171,0.21788163483142853,0.47084665298461914,0.27789434790611267,0.39880692958831787,0.16701550781726837,0.27894994616508484
likely,0.4101858139038086,0.22421206533908844,0.41562584042549133,0.3412776589393616,0.3069725036621094,0.18260349333286285,0.35971182584762573
to,0.455847829580307,0.2697960138320923,1.0,0.31537163257598877,0.48971283435821533,0.1598730832338333,0.29463258385658264
result,0.19945499300956726,0.26798784732818604,0.23653174936771393,0.25911617279052734,0.27436327934265137,0.28373342752456665,0.17218433320522308
in,0.30808621644973755,0.231519877910614,0.45010748505592346,0.18354842066764832,0.4954058527946472,0.2279185801744461,0.20430970191955566
the,0.42745697498321533,0.3400644361972809,0.535392165184021,0.262265145778656,0.5171257257461548,0.31475353240966797,0.22068053483963013
project,0.27033838629722595,0.1602482944726944,0.28750085830688477,0.12598790228366852,0.23249590396881104,0.1505865901708603,0.30569031834602356
flowing,0.16179463267326355,0.2287921905517578,0.30323100090026855,0.18971216678619385,0.28540873527526855,0.19195428490638733,0.08640758693218231
smoothly,0.3440887928009033,0.19828782975673676,0.33210787177085876,0.2732243239879608,0.32313457131385803,0.07750005275011063,0.2766338288784027
",",0.3087472915649414,0.22268962860107422,0.44245919585227966,0.28259900212287903,0.6633074283599854,0.192181795835495,0.31091248989105225
whereas,0.32338035106658936,0.31186380982398987,0.33097705245018005,0.23705224692821503,0.36380821466445923,0.141386017203331,0.1950923502445221
poorly,0.2852542996406555,0.18254975974559784,0.2272777110338211,0.2619352340698242,0.2529935836791992,0.11136065423488617,0.20710419118404388
drafted,0.20864348113536835,0.11559657007455826,0.17979004979133606,0.14718490839004517,0.19515319168567657,0.09591890871524811,0.14424492418766022
contracts,0.2268635481595993,0.17623905837535858,0.30408602952957153,0.20908300578594208,0.20802323520183563,0.2088920623064041,0.09254205226898193
lead,0.19642074406147003,0.4636290967464447,0.23490607738494873,0.15272970497608185,0.31077226996421814,0.15351536870002747,0.14552436769008636
to,0.455847829580307,0.2697960138320923,1.0,0.31537163257598877,0.48971283435821533,0.1598730832338333,0.29463258385658264
confusion,0.3303605318069458,0.23946845531463623,0.31537163257598877,1.0000001192092896,0.18959911167621613,0.211514413356781,0.3015955984592438
and,0.31309178471565247,0.28972697257995605,0.48971283435821533,0.18959911167621613,1.0,0.17414039373397827,0.20544172823429108
collapse,0.24220240116119385,0.2018180936574936,0.1598730832338333,0.211514413356781,0.17414039373397827,1.0000001192092896,0.11913932114839554
.,0.3567904531955719,0.2178809642791748,0.4645031690597534,0.2390674650669098,0.588965117931366,0.20924827456474304,0.4130953550338745
