,where,are,longitudinal,waves,found,?
these,0.380450963973999,0.7107698917388916,0.32977280020713806,0.28850236535072327,0.30648550391197205,0.2571668326854706
plasma,0.20712868869304657,0.2627699375152588,0.38445210456848145,0.3344821631908417,0.16634362936019897,0.1637999266386032
waves,0.24640625715255737,0.191071018576622,0.4068794250488281,0.9999999403953552,0.17726677656173706,0.1603909134864807
can,0.3773181736469269,0.5408529043197632,0.31310561299324036,0.30033451318740845,0.24230946600437164,0.3226337134838104
occur,0.2437029927968979,0.3900270164012909,0.28559935092926025,0.28979727625846863,0.3248732388019562,0.17999543249607086
in,0.5344807505607605,0.3841303884983063,0.2049226611852646,0.22372759878635406,0.39141854643821716,0.20430970191955566
force-free,0.3271365761756897,0.20725981891155243,0.22510696947574615,0.2977129817008972,0.18695269525051117,0.2522510588169098
magnetic,0.15959201753139496,0.18500158190727234,0.3794965147972107,0.39498499035835266,0.1990552842617035,0.10858146101236343
fields,0.24665728211402893,0.19811008870601654,0.22756224870681763,0.3130527138710022,0.20417223870754242,0.1411406248807907
.,0.41390106081962585,0.3452940285205841,0.24653100967407227,0.26078489422798157,0.3618174195289612,0.4130953550338745
,where,are,longitudinal,waves,found,?
tesla,0.12761090695858002,0.11131513863801956,0.2347162812948227,0.17720945179462433,0.052854783833026886,0.10250775516033173
incorrectly,0.25343000888824463,0.2662712633609772,0.2680243253707886,0.18146704137325287,0.10387328267097473,0.26326921582221985
believed,0.24182157218456268,0.2577219605445862,0.14384813606739044,0.1357627511024475,0.39371129870414734,0.17606885731220245
that,0.4876193106174469,0.45265161991119385,0.2760816812515259,0.286673367023468,0.29063743352890015,0.32716336846351624
x-rays,0.291106641292572,0.32963234186172485,0.3154368996620178,0.4041098654270172,0.2207396775484085,0.21474985778331757
were,0.2363632768392563,0.6489362716674805,0.183227077126503,0.20216935873031616,0.23296621441841125,0.17890112102031708
longitudinal,0.2947640120983124,0.26699334383010864,0.9999998807907104,0.4068794250488281,0.22659695148468018,0.13119269907474518
waves,0.24640625715255737,0.191071018576622,0.4068794250488281,0.9999999403953552,0.17726677656173706,0.1603909134864807
",",0.3149496018886566,0.4062570035457611,0.19451583921909332,0.24359957873821259,0.27385151386260986,0.31091248989105225
such,0.3198639750480652,0.4654397666454315,0.20280787348747253,0.2746269404888153,0.22653555870056152,0.17851735651493073
as,0.35409465432167053,0.3826591968536377,0.1737692952156067,0.1896393597126007,0.20543651282787323,0.27043893933296204
those,0.3665519058704376,0.6012985706329346,0.22148731350898743,0.22252075374126434,0.27531328797340393,0.3328189253807068
produced,0.19472821056842804,0.1927390992641449,0.1916668862104416,0.13646948337554932,0.23648673295974731,0.1623450517654419
in,0.5344807505607605,0.3841303884983063,0.2049226611852646,0.22372759878635406,0.39141854643821716,0.20430970191955566
waves,0.24640625715255737,0.191071018576622,0.4068794250488281,0.9999999403953552,0.17726677656173706,0.1603909134864807
in,0.5344807505607605,0.3841303884983063,0.2049226611852646,0.22372759878635406,0.39141854643821716,0.20430970191955566
plasmas,0.25772956013679504,0.371429443359375,0.42711275815963745,0.36124247312545776,0.25073984265327454,0.19674822688102722
.,0.41390106081962585,0.3452940285205841,0.24653100967407227,0.26078489422798157,0.3618174195289612,0.4130953550338745
