,what,is,the,kilogram-force,sometimes,reffered,to,as,?
the,0.42745697498321533,0.5823672413825989,1.0,0.29878470301628113,0.35816407203674316,0.31033462285995483,0.535392165184021,0.48381632566452026,0.22068053483963013
pound-force,0.2764778733253479,0.24072591960430145,0.27295830845832825,0.714246928691864,0.21932171285152435,0.22862398624420166,0.29553961753845215,0.2479855865240097,0.2705550491809845
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.24277780950069427,0.25310245156288147,0.1821018010377884,0.3619994819164276,0.351646363735199,0.15994466841220856
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3338840901851654,0.3788676857948303,0.2919415235519409,0.45503583550453186,0.39550232887268066,0.23916715383529663
metric,0.23627936840057373,0.17780743539333344,0.21734559535980225,0.5201624631881714,0.1522490680217743,0.1649797558784485,0.2393241971731186,0.23448055982589722,0.2346421480178833
counterpart,0.20289170742034912,0.2737394869327545,0.2672640383243561,0.3221094012260437,0.27234622836112976,0.18571539223194122,0.2306458055973053,0.3403799533843994,0.12628091871738434
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2864890396595001,0.26600122451782227,0.38155683875083923,0.44245919585227966,0.48816442489624023,0.31091248989105225
less,0.31119704246520996,0.3123510479927063,0.29185041785240173,0.32459700107574463,0.3749498128890991,0.2113143801689148,0.38397523760795593,0.3253805339336395,0.22418740391731262
commonly,0.18122613430023193,0.3994327187538147,0.2974449694156647,0.2720241844654083,0.5330896973609924,0.1794884204864502,0.2571072280406952,0.3544585108757019,0.13546277582645416
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.3008720278739929,0.4974112808704376,0.31159305572509766,0.40058770775794983,0.35160550475120544,0.22430120408535004
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.32965677976608276,0.34453392028808594,0.2104232758283615,0.3192550539970398,0.40532299876213074,0.24917294085025787
the,0.42745697498321533,0.5823672413825989,1.0,0.29878470301628113,0.35816407203674316,0.31033462285995483,0.535392165184021,0.48381632566452026,0.22068053483963013
newton,0.20841743052005768,0.21921560168266296,0.1876603662967682,0.36532628536224365,0.0959431529045105,0.19745907187461853,0.2176830768585205,0.18695951998233795,0.09645649790763855
:,-0.12022944539785385,-0.07222653180360794,-0.03403344005346298,-0.005825851112604141,-0.1126750186085701,0.014887531287968159,-0.09243495017290115,-0.11037297546863556,-0.07156077772378922
the,0.42745697498321533,0.5823672413825989,1.0,0.29878470301628113,0.35816407203674316,0.31033462285995483,0.535392165184021,0.48381632566452026,0.22068053483963013
