,that,does,tardis,stand,for,?
he,0.36068853735923767,0.22791607677936554,0.28051650524139404,0.24406498670578003,0.4540175199508667,0.2089974731206894
fled,0.1724659949541092,0.12921597063541412,0.1991187185049057,0.1346035897731781,0.1519615203142166,0.13968057930469513
from,0.3477667272090912,0.1777622550725937,0.2180892676115036,0.1447637528181076,0.314039945602417,0.19969791173934937
gallifrey,0.3538443148136139,0.22968073189258575,0.5435512065887451,0.1752842515707016,0.25578004121780396,0.1618226021528244
in,0.435920387506485,0.214483380317688,0.1960487961769104,0.20552469789981842,0.4322226941585541,0.20430970191955566
a,0.47537946701049805,0.38201746344566345,0.2688678205013275,0.26977941393852234,0.44038116931915283,0.23916715383529663
stolen,0.2653421461582184,0.1235625371336937,0.33123329281806946,0.10612262785434723,0.27098548412323,0.13950592279434204
mark,0.18479634821414948,0.08891664445400238,0.089350625872612,0.12299486994743347,0.19964812695980072,0.11634156107902527
i,0.4255519211292267,0.2994098961353302,0.15693557262420654,0.18347418308258057,0.257647842168808,0.4695145785808563
type,0.25817251205444336,0.20720529556274414,0.09075888991355896,0.08687157183885574,0.20848464965820312,0.17536182701587677
40,-0.043222516775131226,0.05612829700112343,-0.03173741325736046,0.014809155836701393,-0.02182970941066742,0.010195288807153702
tardis,0.3319767713546753,0.2334626019001007,1.0000001192092896,0.08704691380262375,0.16425904631614685,0.14893783628940582
–,0.15484696626663208,0.13794226944446564,0.17501167953014374,0.10882318019866943,0.2408909648656845,0.2714554965496063
``,0.05285148695111275,0.06539655476808548,-0.048330437391996384,0.02428029663860798,0.01270448137074709,0.0685480609536171
time,0.388528436422348,0.2519678771495819,0.3222777247428894,0.12042299658060074,0.3992156386375427,0.27391523122787476
and,0.4731321930885315,0.3461615741252899,0.23083604872226715,0.268960565328598,0.5064792633056641,0.20544172823429108
relative,0.30116739869117737,0.22511595487594604,0.26804137229919434,0.17417101562023163,0.18817666172981262,0.1457768678665161
dimension,0.26575958728790283,0.21165716648101807,0.33434319496154785,0.17636290192604065,0.19946472346782684,0.229197159409523
in,0.435920387506485,0.214483380317688,0.1960487961769104,0.20552469789981842,0.4322226941585541,0.20430970191955566
space,0.2368461638689041,0.1845475137233734,0.33196210861206055,0.1369314044713974,0.24232043325901031,0.1885536164045334
'',0.007880004122853279,-0.004023602232336998,0.015524344518780708,0.08268814533948898,-0.04479556903243065,0.018684765323996544
–,0.15484696626663208,0.13794226944446564,0.17501167953014374,0.10882318019866943,0.2408909648656845,0.2714554965496063
time,0.388528436422348,0.2519678771495819,0.3222777247428894,0.12042299658060074,0.3992156386375427,0.27391523122787476
machine,0.2756650745868683,0.18281304836273193,0.24851280450820923,0.1520489603281021,0.25323837995529175,0.17587624490261078
which,0.6894589066505432,0.39111801981925964,0.2889474630355835,0.19788064062595367,0.44095608592033386,0.25814583897590637
allows,0.33287981152534485,0.42367881536483765,0.21458517014980316,0.11798505485057831,0.3132713735103607,0.16094227135181427
him,0.4159553349018097,0.3165261745452881,0.34076449275016785,0.16899840533733368,0.34431272745132446,0.23943768441677094
to,0.5436353087425232,0.4391997456550598,0.2524881064891815,0.23655876517295837,0.4451248347759247,0.29463258385658264
travel,0.24002446234226227,0.16325484216213226,0.3532222807407379,0.17829731106758118,0.23101238906383514,0.10014409571886063
across,0.33602073788642883,0.17146113514900208,0.2595060169696808,0.1518753618001938,0.20198741555213928,0.17034576833248138
time,0.388528436422348,0.2519678771495819,0.3222777247428894,0.12042299658060074,0.3992156386375427,0.27391523122787476
and,0.4731321930885315,0.3461615741252899,0.23083604872226715,0.268960565328598,0.5064792633056641,0.20544172823429108
space,0.2368461638689041,0.1845475137233734,0.33196210861206055,0.1369314044713974,0.24232043325901031,0.1885536164045334
.,0.4460422694683075,0.3022993505001068,0.224110946059227,0.2296130359172821,0.4726039469242096,0.4130953550338745
