,when,did,the,theater,in,newcastle,originally,open,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2354130744934082,0.6662389636039734,0.2253497689962387,0.36820849776268005,0.2764171361923218,0.22068053483963013
original,0.2014450877904892,0.2664784789085388,0.4037000238895416,0.22628411650657654,0.2534193694591522,0.09302181750535965,0.5966677069664001,0.16881953179836273,0.17256900668144226
theatre,0.16944347321987152,0.17782776057720184,0.25594043731689453,0.7051050662994385,0.26776230335235596,0.17483371496200562,0.1909317970275879,0.14618051052093506,0.1159285232424736
royal,0.19010110199451447,0.1850982904434204,0.2997032403945923,0.16193938255310059,0.22172321379184723,0.21508808434009552,0.23021383583545685,0.12935574352741241,0.11453001946210861
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.3081531822681427,1.0,0.19270820915699005,0.3191297650337219,0.27347445487976074,0.20430970191955566
newcastle,0.14692102372646332,0.18762841820716858,0.2253497689962387,0.08905921876430511,0.19270820915699005,1.0000001192092896,0.1615471988916397,0.14423096179962158,0.0902252271771431
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.3185870051383972,0.45514053106307983,0.25710436701774597,0.5204543471336365,0.13277080655097961,0.18412111699581146
opened,0.20552390813827515,0.2014526128768921,0.28544309735298157,0.3573462963104248,0.2972770035266876,0.1954149454832077,0.2722289264202118,0.39371490478515625,0.1934700310230255
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.24205923080444336,0.46853652596473694,0.1698579639196396,0.2673487365245819,0.26220741868019104,0.2714994251728058
21,-0.13404759764671326,-0.051883723586797714,-0.05849577113986015,0.04028380289673805,0.09147433191537857,0.2286081314086914,-0.05002712830901146,-0.009337354451417923,-0.01186173316091299
january,0.23963238298892975,0.23508968949317932,0.2467057853937149,0.15911760926246643,0.28467586636543274,0.22414757311344147,0.13855138421058655,0.16430701315402985,0.28608936071395874
1788,0.02035507746040821,0.005802822764962912,0.0961972028017044,0.035523977130651474,0.09250704199075699,0.08191617578268051,0.06392773240804672,0.04995276406407356,0.10552866011857986
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.28268396854400635,0.4954058527946472,0.20204751193523407,0.2772660255432129,0.27364909648895264,0.20544172823429108
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.3185870051383972,0.45514053106307983,0.25710436701774597,0.5204543471336365,0.13277080655097961,0.18412111699581146
located,0.16845738887786865,0.12403438240289688,0.407527357339859,0.19641561806201935,0.35149815678596497,0.16362841427326202,0.21053458750247955,0.17589358985424042,0.08983194828033447
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.24205923080444336,0.46853652596473694,0.1698579639196396,0.2673487365245819,0.26220741868019104,0.2714994251728058
mosley,0.19405390322208405,0.16319352388381958,0.2157961130142212,0.17094723880290985,0.19677160680294037,0.248823881149292,0.2184721827507019,0.1255645751953125,0.2007741928100586
street,0.15712179243564606,0.13786788284778595,0.20947860181331635,0.30147653818130493,0.2281111478805542,0.18945761024951935,0.21611608564853668,0.1720535159111023,0.07315441966056824
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2616734504699707,0.5591574311256409,0.2714749276638031,0.2504246234893799,0.28460413217544556,0.4130953550338745
