,what,kind,of,human,t,cells,respond,to,common,molecules,produced,by,microbes,?
for,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.2089424729347229,0.26018503308296204,0.18419811129570007,0.28865525126457214,0.4451248347759247,0.25494384765625,0.20138822495937347,0.16180217266082764,0.3248702883720398,0.24603842198848724,0.264628142118454
example,0.3456268310546875,0.4014129340648651,0.3570667505264282,0.28331178426742554,0.20720604062080383,0.24890154600143433,0.27622443437576294,0.3451666533946991,0.396916925907135,0.3001861572265625,0.2049938589334488,0.29030951857566833,0.2966056168079376,0.30374911427497864
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.23877760767936707,0.31002363562583923,0.20582014322280884,0.25066259503364563,0.44245919585227966,0.2497023195028305,0.18639802932739258,0.22260788083076477,0.3680937886238098,0.25792837142944336,0.31091248989105225
large,0.2017821967601776,0.2361026406288147,0.3569655418395996,0.19197943806648254,0.1450594961643219,0.2203361541032791,0.12647205591201782,0.3150999844074249,0.30274346470832825,0.23491421341896057,0.17815609276294708,0.2555539309978485,0.3181338906288147,0.1355665624141693
numbers,0.24586999416351318,0.19047142565250397,0.228018656373024,0.10522831231355667,0.21996530890464783,0.23833684623241425,0.2245885580778122,0.29515770077705383,0.2328587770462036,0.30261296033859253,0.13824360072612762,0.21251529455184937,0.2523246109485626,0.19297972321510315
of,0.33290785551071167,0.2285657674074173,1.0,0.3083189129829407,0.14617829024791718,0.21305565536022186,0.19069483876228333,0.41548454761505127,0.2949881851673126,0.24428431689739227,0.18961067497730255,0.3646814823150635,0.27299147844314575,0.1826142966747284
human,0.24243313074111938,0.20610454678535461,0.3083189129829407,1.0,0.1851959526538849,0.28001874685287476,0.22077423334121704,0.25612473487854004,0.22624585032463074,0.3011176884174347,0.19254523515701294,0.23065325617790222,0.40779027342796326,0.19748784601688385
vγ9/vδ2,-0.037465278059244156,0.07535655051469803,-0.02927020564675331,0.010506421327590942,0.04018783196806908,-0.015209070406854153,-0.004527099430561066,-0.11705266684293747,0.06074335426092148,0.0015623626532033086,0.2456699162721634,0.13118170201778412,-0.016037143766880035,-0.053450871258974075
t,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.1851959526538849,0.9999999403953552,0.25527921319007874,0.30334874987602234,0.30417174100875854,0.19230619072914124,0.22650130093097687,0.1999693363904953,0.167274609208107,0.1956796795129776,0.4954066574573517
cells,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.28001874685287476,0.25527921319007874,1.0,0.3767065703868866,0.26320719718933105,0.1744508147239685,0.5185227394104004,0.2253560572862625,0.19208736717700958,0.5225808620452881,0.1898086667060852
