,what,art,historical,style,was,used,in,the,decoration,for,the,northern,part,of,the,museum,?
the,0.42745697498321533,0.20297785103321075,0.30835282802581787,0.2331719547510147,0.48711544275283813,0.3718377649784088,0.6662389636039734,1.0,0.3275705873966217,0.4739971458911896,1.0,0.3422943353652954,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.22068053483963013
style,0.2488866001367569,0.26177453994750977,0.20473742485046387,1.0,0.17358732223510742,0.26038944721221924,0.21896705031394958,0.2331719547510147,0.27522340416908264,0.24460577964782715,0.2331719547510147,0.0956416055560112,0.13872916996479034,0.23203764855861664,0.2331719547510147,0.0626421719789505,0.19862167537212372
adopted,0.1504661738872528,0.08175680041313171,0.20532242953777313,0.11651388555765152,0.31838172674179077,0.23796898126602173,0.22637200355529785,0.23462533950805664,0.167713463306427,0.20525452494621277,0.23462533950805664,0.12278953939676285,0.16051402688026428,0.25312307476997375,0.23462533950805664,0.09343315660953522,0.14235380291938782
for,0.3017193675041199,0.21690402925014496,0.21021096408367157,0.24460577964782715,0.3863949179649353,0.4236139953136444,0.4322226941585541,0.4739971458911896,0.26264432072639465,0.9999999403953552,0.4739971458911896,0.20134946703910828,0.250704288482666,0.4185989499092102,0.4739971458911896,0.15718214213848114,0.264628142118454
this,0.5489566326141357,0.23056387901306152,0.23872853815555573,0.2789948880672455,0.3638818562030792,0.3996967375278473,0.45205554366111755,0.6274310946464539,0.2677359879016876,0.5082864165306091,0.6274310946464539,0.21539166569709778,0.38220882415771484,0.45148900151252747,0.6274310946464539,0.19769281148910522,0.3155723512172699
part,0.3476244807243347,0.19549208879470825,0.295181542634964,0.13872916996479034,0.3407018780708313,0.2790772020816803,0.4499994218349457,0.527681291103363,0.1974620372056961,0.250704288482666,0.527681291103363,0.3608819246292114,1.0,0.452393114566803,0.527681291103363,0.2040945291519165,0.08557961881160736
of,0.33290785551071167,0.22648051381111145,0.3218611776828766,0.23203764855861664,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.733189046382904,0.3101682662963867,0.4185989499092102,0.733189046382904,0.32586339116096497,0.452393114566803,1.0,0.733189046382904,0.23314370214939117,0.1826142966747284
the,0.42745697498321533,0.20297785103321075,0.30835282802581787,0.2331719547510147,0.48711544275283813,0.3718377649784088,0.6662389636039734,1.0,0.3275705873966217,0.4739971458911896,1.0,0.3422943353652954,0.527681291103363,0.733189046382904,1.0,0.24861779808998108,0.22068053483963013
museum,0.1771627515554428,0.5128974318504333,0.24564608931541443,0.0626421719789505,0.21266788244247437,0.15161366760730743,0.2407650351524353,0.24861779808998108,0.2355928272008896,0.15718214213848114,0.24861779808998108,0.143607497215271,0.2040945291519165,0.23314370214939117,0.24861779808998108,1.0000001192092896,0.14128351211547852
was,0.22111038863658905,0.20564036071300507,0.18540561199188232,0.17358732223510742,1.0000001192092896,0.23679393529891968,0.45514053106307983,0.48711544275283813,0.23056358098983765,0.3863949179649353,0.48711544275283813,0.22730717062950134,0.3407018780708313,0.4069072902202606,0.48711544275283813,0.21266788244247437,0.18412111699581146
