,there,are,34,cities,in,southern,california,that,have,a,population,exceeding,what,number,?
in,0.5361666083335876,0.3841303884983063,0.03443729504942894,0.32293570041656494,1.0,0.3190481662750244,0.2772824168205261,0.435920387506485,0.36843645572662354,0.539380669593811,0.3268454372882843,0.23381491005420685,0.30808621644973755,0.3024539053440094,0.20430970191955566
southern,0.25116652250289917,0.18306338787078857,0.02054370939731598,0.23386754095554352,0.3190481662750244,1.0,0.2983402609825134,0.22864879667758942,0.15745104849338531,0.25843560695648193,0.2896978557109833,0.22663985192775726,0.18679563701152802,0.12757685780525208,0.11225555837154388
california,0.1433659940958023,0.17678135633468628,0.03547843545675278,0.10079557448625565,0.2772824168205261,0.2983402609825134,1.0,0.18610765039920807,0.1807585507631302,0.2426064908504486,0.19116398692131042,0.20315895974636078,0.1811584085226059,0.11766371876001358,0.1409905105829239
there,1.0,0.5433560013771057,0.037988804280757904,0.28447988629341125,0.5361666083335876,0.25116652250289917,0.1433659940958023,0.6006520986557007,0.5194604992866516,0.4214206337928772,0.30312415957450867,0.2692408263683319,0.35085538029670715,0.35469454526901245,0.29405656456947327
are,0.5433560013771057,1.0,0.02845081128180027,0.26694464683532715,0.3841303884983063,0.18306338787078857,0.17678135633468628,0.45265161991119385,0.6577680706977844,0.265255331993103,0.20790868997573853,0.2702971398830414,0.29724663496017456,0.3537501394748688,0.24591213464736938
also,0.44705238938331604,0.4565894305706024,-0.02947545051574707,0.22708983719348907,0.5073733329772949,0.28076234459877014,0.2569578289985657,0.6005857586860657,0.5252172946929932,0.5149940252304077,0.21411414444446564,0.2808525562286377,0.42747777700424194,0.36623433232307434,0.21848613023757935
twelve,0.1956270933151245,0.3003675043582916,0.036662157624959946,0.13063746690750122,0.2552754878997803,0.09113157540559769,0.11300354450941086,0.23097503185272217,0.2625714838504791,0.2328086942434311,0.09253043681383133,0.24701417982578278,0.15996748208999634,0.30958038568496704,0.06192852556705475
cities,0.28447988629341125,0.26694464683532715,4.8046720621641725e-05,1.0,0.32293570041656494,0.23386754095554352,0.10079557448625565,0.1994047611951828,0.1965736299753189,0.18820415437221527,0.3919509947299957,0.18038922548294067,0.161918506026268,0.17216724157333374,0.13339310884475708
with,0.37390366196632385,0.38996943831443787,0.0549483448266983,0.22294199466705322,0.4080928862094879,0.18574869632720947,0.1391957849264145,0.4154358208179474,0.48046383261680603,0.3783375024795532,0.15404780209064484,0.2683411240577698,0.2464839518070221,0.2513769268989563,0.2433311939239502
more,0.4164280891418457,0.4066504240036011,0.057923123240470886,0.18214066326618195,0.32563260197639465,0.13608552515506744,0.15166103839874268,0.4813884496688843,0.49033403396606445,0.3452818691730499,0.2020302265882492,0.27964821457862854,0.3484537899494171,0.327032208442688,0.27894994616508484
than,0.4433900713920593,0.39206281304359436,0.07802872359752655,0.1976093351840973,0.3270052373409271,0.16775213181972504,0.17079950869083405,0.4891277849674225,0.46517109870910645,0.3126874566078186,0.21814648807048798,0.3381754755973816,0.29388150572776794,0.2816639244556427,0.24917294085025787
"200,000",-0.11763791739940643,-0.09023331105709076,-0.07411593198776245,-0.14146924018859863,0.04889736324548721,-0.040048450231552124,0.15065708756446838,-0.009811341762542725,-0.03245656192302704,0.13735556602478027,-0.1291472166776657,0.07617323845624924,-0.016068685799837112,0.12047843635082245,-0.020140642300248146
residents,0.2962673008441925,0.30285876989364624,-0.007240618579089642,0.3945533335208893,0.27393898367881775,0.26019537448883057,0.20951759815216064,0.20834201574325562,0.2714991271495819,0.2285219132900238,0.45314475893974304,0.27499017119407654,0.21107541024684906,0.13252069056034088,0.09602975845336914
and,0.4242868423461914,0.48576638102531433,-0.0019990652799606323,0.292957067489624,0.4954058527946472,0.24232792854309082,0.2441616654396057,0.4731321930885315,0.4711785912513733,0.3739250600337982,0.23080337047576904,0.31093156337738037,0.31309178471565247,0.28545793890953064,0.20544172823429108
34,0.037988804280757904,0.02845081128180027,1.0,4.8046720621641725e-05,0.03443729504942894,0.02054370939731598,0.03547843545675278,0.0448484867811203,0.00420949375256896,0.007357734255492687,-0.01832934282720089,0.018423110246658325,0.05857600271701813,-0.027723312377929688,-0.004250505939126015
