,along,with,marine,engines,and,industrial,units,",",in,what,machines,was,compounding,popular,?
the,0.39495137333869934,0.4223487675189972,0.2547752857208252,0.2245008647441864,0.5171257257461548,0.30435431003570557,0.2691343426704407,0.4933079481124878,0.6662389636039734,0.42745697498321533,0.22618883848190308,0.48711544275283813,0.2295212745666504,0.2724021077156067,0.22068053483963013
adoption,0.0567900687456131,0.23275989294052124,0.09890246391296387,0.1353243589401245,0.23136162757873535,0.2759547829627991,0.2151561677455902,0.21221515536308289,0.24107742309570312,0.2520635426044464,0.16413293778896332,0.25843802094459534,0.1644463688135147,0.1704043596982956,0.23771828413009644
of,0.34889817237854004,0.41827285289764404,0.24999871850013733,0.17593856155872345,0.5116966962814331,0.3120400011539459,0.2597769498825073,0.4946078956127167,0.5696388483047485,0.33290785551071167,0.18757474422454834,0.4069072902202606,0.27413690090179443,0.25281813740730286,0.1826142966747284
compounding,0.148751363158226,0.27488574385643005,0.1916746199131012,0.2879071533679962,0.27331241965293884,0.28860175609588623,0.23234988749027252,0.2131453901529312,0.20182771980762482,0.26605767011642456,0.28559455275535583,0.13572673499584198,0.9999998807907104,0.19683460891246796,0.22128498554229736
was,0.24175575375556946,0.27411898970603943,0.14990459382534027,0.18948708474636078,0.3740963041782379,0.2614017128944397,0.20471836626529694,0.45456063747406006,0.45514053106307983,0.22111038863658905,0.18074968457221985,1.0000001192092896,0.13572673499584198,0.2916531562805176,0.18412111699581146
common,0.13331618905067444,0.26739466190338135,0.19252999126911163,0.16336455941200256,0.229714497923851,0.22876368463039398,0.1630590856075287,0.2497023195028305,0.23149342834949493,0.19989867508411407,0.22072038054466248,0.0880795493721962,0.35177525877952576,0.3888757824897766,0.20434872806072235
for,0.249526709318161,0.39140474796295166,0.19650663435459137,0.19945158064365387,0.5064792633056641,0.2770422399044037,0.24534544348716736,0.4464869201183319,0.4322226941585541,0.3017193675041199,0.2706963121891022,0.3863949179649353,0.2905847132205963,0.30736467242240906,0.264628142118454
industrial,0.1981627345085144,0.21039023995399475,0.2368510365486145,0.3049415349960327,0.3274568021297455,1.0,0.26239752769470215,0.28774935007095337,0.3118434548377991,0.16054853796958923,0.3681654930114746,0.2614017128944397,0.28860175609588623,0.2780130207538605,0.08039500564336777
units,0.171833336353302,0.17477291822433472,0.2604849934577942,0.27563780546188354,0.2126137614250183,0.26239752769470215,1.0,0.20803093910217285,0.24701444804668427,0.1804584264755249,0.28367844223976135,0.20471836626529694,0.23234988749027252,0.04082699865102768,0.089388407766819
",",0.29824912548065186,0.4120737314224243,0.231239914894104,0.20245449244976044,0.6633074283599854,0.28774935007095337,0.20803093910217285,1.0000001192092896,0.5201468467712402,0.3087472915649414,0.25857728719711304,0.45456063747406006,0.2131453901529312,0.2819201350212097,0.31091248989105225
