,what,is,the,lower,canal,regulation,of,the,rhine,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2221667766571045,0.1656898409128189,0.25306373834609985,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
regulation,0.24804432690143585,0.21940994262695312,0.33589670062065125,0.2326030135154724,0.166695699095726,1.0000001192092896,0.2660454213619232,0.33589670062065125,0.16062843799591064,0.1690916270017624
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31757521629333496,0.18671196699142456,0.2660454213619232,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.26047348976135254,0.33589670062065125,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.28043457865715027,0.3058634102344513,0.16062843799591064,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.1138346716761589,0.19834820926189423,0.1876436173915863,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.18412111699581146
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.2149171233177185,0.1609506458044052,0.23254114389419556,0.4222904443740845,0.489897221326828,0.14562174677848816,0.18963319063186646
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.15945355594158173,0.1589493304491043,0.2870684266090393,0.4185989499092102,0.4739971458911896,0.1584572196006775,0.264628142118454
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.236776202917099,0.21654076874256134,0.23291632533073425,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.1784515678882599,0.16234824061393738,0.225722998380661,0.41827285289764404,0.4223487675189972,0.18184249103069305,0.2433311939239502
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.0962325856089592,0.11223308742046356,0.21746115386486053,0.32280945777893066,0.4207492768764496,0.07200640439987183,0.19793890416622162
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.7553458213806152,0.22199103236198425,0.1275290697813034,0.25818127393722534,0.35289278626441956,0.27324220538139343,0.051342256367206573
canal,0.07927161455154419,0.1789478063583374,0.26047348976135254,0.20390339195728302,1.0,0.166695699095726,0.18671196699142456,0.26047348976135254,0.3058634102344513,0.1123519018292427
near,0.19414293766021729,0.25453904271125793,0.2879819869995117,0.2100752294063568,0.2897687554359436,0.11609836667776108,0.2651676535606384,0.2879819869995117,0.2615382969379425,0.10734958201646805
diepoldsau,0.24817414581775665,0.28529903292655945,0.3156484365463257,0.3267660439014435,0.2711063623428345,0.2647091746330261,0.34021899104118347,0.3156484365463257,0.5631630420684814,0.2717871367931366
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2802542746067047,0.22985301911830902,0.2633853554725647,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2221667766571045,0.1656898409128189,0.25306373834609985,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,1.0,0.20390339195728302,0.2326030135154724,0.31757521629333496,0.3463275134563446,0.28043457865715027,0.08471795171499252
canal,0.07927161455154419,0.1789478063583374,0.26047348976135254,0.20390339195728302,1.0,0.166695699095726,0.18671196699142456,0.26047348976135254,0.3058634102344513,0.1123519018292427
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1926431655883789,0.13170094788074493,0.17329047620296478,0.42558613419532776,0.457212895154953,0.19469857215881348,0.21978627145290375
fußach,0.13708414137363434,0.23924461007118225,0.2364002913236618,0.28631457686424255,0.1825256496667862,0.2132939249277115,0.21779537200927734,0.2364002913236618,0.42945370078086853,0.2205822467803955
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.236776202917099,0.21654076874256134,0.23291632533073425,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27455443143844604,0.25331923365592957,0.25001105666160583,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
order,0.16634008288383484,0.19403748214244843,0.3284194767475128,0.16977766156196594,0.11881111562252045,0.232197105884552,0.31287699937820435,0.3284194767475128,0.12970411777496338,0.13725648820400238
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.233318492770195,0.15252184867858887,0.2733672261238098,0.41548454761505127,0.535392165184021,0.1736302673816681,0.29463258385658264
counteract,0.31298497319221497,0.20137029886245728,0.3067632019519806,0.14537206292152405,0.07903711497783661,0.2516792118549347,0.2454369068145752,0.3067632019519806,0.17435722053050995,0.1937524974346161
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.26047348976135254,0.33589670062065125,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
constant,0.22559526562690735,0.1972285658121109,0.2037150114774704,0.14842133224010468,0.0521993450820446,0.2798382341861725,0.25393494963645935,0.2037150114774704,0.20739522576332092,0.14516431093215942
flooding,0.2541632354259491,0.20296382904052734,0.24058853089809418,0.16831092536449432,0.27596330642700195,0.1880142241716385,0.2168123722076416,0.24058853089809418,0.2048298716545105,0.2615346312522888
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2802542746067047,0.22985301911830902,0.2633853554725647,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.20544172823429108
strong,0.19839218258857727,0.24643836915493011,0.22482411563396454,0.193426251411438,0.07663212716579437,0.22835060954093933,0.2524286210536957,0.22482411563396454,0.12139569967985153,0.11990999430418015
sedimentation,0.22759993374347687,0.22898200154304504,0.2617757022380829,0.2090737670660019,0.24581365287303925,0.33642861247062683,0.2614911198616028,0.2617757022380829,0.17811830341815948,0.17398139834403992
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.27455443143844604,0.25331923365592957,0.25001105666160583,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.26047348976135254,0.33589670062065125,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
western,0.2454150915145874,0.2572968304157257,0.37920868396759033,0.19545726478099823,0.16062943637371063,0.1732844114303589,0.32974064350128174,0.37920868396759033,0.23680023849010468,0.17439141869544983
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.28043457865715027,0.3058634102344513,0.16062843799591064,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
delta,0.11423289775848389,0.22409643232822418,0.22022446990013123,0.2669398784637451,0.27281689643859863,0.0052639818750321865,0.20736707746982574,0.22022446990013123,0.21930839121341705,0.14208948612213135
