,in,the,most,common,construction,procurement,",",who,acts,as,the,project,coordinator,?
in,1.0,0.6662389636039734,0.41416558623313904,0.23149342834949493,0.3031303882598877,0.23056651651859283,0.5201468467712402,0.2792111933231354,0.21356524527072906,0.3887844979763031,0.6662389636039734,0.16277937591075897,0.19911305606365204,0.20430970191955566
this,0.45205554366111755,0.6274310946464539,0.43080902099609375,0.3251335918903351,0.2970173954963684,0.3693099617958069,0.4316047728061676,0.3345087468624115,0.24243581295013428,0.43993282318115234,0.6274310946464539,0.3302684724330902,0.16377656161785126,0.3155723512172699
arrangement,0.20867182314395905,0.290839284658432,0.20732957124710083,0.208518847823143,0.2816191613674164,0.31194794178009033,0.21289794147014618,0.12936225533485413,0.2124958038330078,0.2856515347957611,0.290839284658432,0.15844619274139404,0.20999622344970703,0.11038770526647568
",",0.5201468467712402,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.23704268038272858,0.24128031730651855,1.0000001192092896,0.3365725874900818,0.2014220803976059,0.48816442489624023,0.4933079481124878,0.24875426292419434,0.26595932245254517,0.31091248989105225
the,0.6662389636039734,1.0,0.47635307908058167,0.2705984115600586,0.2671978175640106,0.3154159188270569,0.4933079481124878,0.3733934462070465,0.2568269371986389,0.48381632566452026,1.0,0.2027820199728012,0.2257796972990036,0.22068053483963013
architect,0.18696801364421844,0.13209693133831024,0.12164492160081863,0.001508377376012504,0.38390594720840454,0.1424456089735031,0.21737651526927948,0.23530325293540955,0.08367499709129333,0.142146036028862,0.13209693133831024,0.24262025952339172,0.21963314712047577,0.11996878683567047
or,0.3586423695087433,0.4174870550632477,0.30746427178382874,0.39668911695480347,0.20974527299404144,0.3734426498413086,0.3769497275352478,0.31144875288009644,0.27621883153915405,0.4400654137134552,0.4174870550632477,0.1628941148519516,0.06915410608053207,0.32389625906944275
engineer,0.18560759723186493,0.16607177257537842,0.15489354729652405,0.078920878469944,0.29536160826683044,0.22781161963939667,0.2545630931854248,0.24997320771217346,-0.03421870246529579,0.17610689997673035,0.16607177257537842,0.25027307868003845,0.26643791794776917,0.12995383143424988
acts,0.21356524527072906,0.2568269371986389,0.15897950530052185,0.07830429822206497,0.14644905924797058,0.1986633986234665,0.2014220803976059,0.2112383097410202,0.9999998807907104,0.2614145278930664,0.2568269371986389,0.08062289655208588,0.13747094571590424,0.07075770199298859
as,0.3887844979763031,0.48381632566452026,0.3548237979412079,0.2140667736530304,0.22668303549289703,0.2965094745159149,0.48816442489624023,0.3923053741455078,0.2614145278930664,1.0,0.48381632566452026,0.22332392632961273,0.23565275967121124,0.27043893933296204
the,0.6662389636039734,1.0,0.47635307908058167,0.2705984115600586,0.2671978175640106,0.3154159188270569,0.4933079481124878,0.3733934462070465,0.2568269371986389,0.48381632566452026,1.0,0.2027820199728012,0.2257796972990036,0.22068053483963013
project,0.16277937591075897,0.2027820199728012,0.13941191136837006,0.11890342086553574,0.39453527331352234,0.28407225012779236,0.24875426292419434,0.2255522608757019,0.08062289655208588,0.22332392632961273,0.2027820199728012,1.0,0.20750592648983002,0.30569031834602356
coordinator,0.19911305606365204,0.2257796972990036,0.1850002110004425,0.06260380148887634,0.2295597642660141,0.21734818816184998,0.26595932245254517,0.1555744856595993,0.13747094571590424,0.23565275967121124,0.2257796972990036,0.20750592648983002,0.9999999403953552,0.16231635212898254
.,0.5591574311256409,0.5934505462646484,0.35404038429260254,0.21817955374717712,0.23682771623134613,0.24404284358024597,0.6812511086463928,0.3541337847709656,0.18246832489967346,0.515582263469696,0.5934505462646484,0.23938670754432678,0.2239839881658554,0.4130953550338745
