,how,much,potential,economic,growth,could,the,united,states,amass,if,everyone,went,through,more,schooling,?
it,0.36714982986450195,0.48116767406463623,0.22285383939743042,0.2075573205947876,0.2740481495857239,0.329755574464798,0.6251175999641418,0.28033962845802307,0.3072223365306854,0.23549039661884308,0.35967332124710083,0.33954963088035583,0.20512190461158752,0.3374522924423218,0.42550966143608093,0.2270432412624359,0.25732165575027466
estimated,0.21406520903110504,0.2984779179096222,0.31425368785858154,0.2612517774105072,0.25213170051574707,0.22585994005203247,0.29184040427207947,0.2271430790424347,0.23147062957286835,0.35508570075035095,0.21445173025131226,0.13224536180496216,0.16542837023735046,0.1436433047056198,0.3185151517391205,0.1606874167919159,0.18149758875370026
that,0.557814359664917,0.4869440197944641,0.3847380578517914,0.2305225282907486,0.26227322220802307,0.5584503412246704,0.5473989248275757,0.25567954778671265,0.291576623916626,0.26559850573539734,0.5634250640869141,0.4576638340950012,0.1990986317396164,0.3152649402618408,0.4813884496688843,0.3054499924182892,0.32716336846351624
if,0.4917012155056,0.4070741534233093,0.3825499713420868,0.1591096818447113,0.17337800562381744,0.5034732818603516,0.33724796772003174,0.21529598534107208,0.2322414666414261,0.25123685598373413,1.0,0.42714157700538635,0.10481255501508713,0.24420002102851868,0.3938486874103546,0.1767185479402542,0.4441644251346588
the,0.33890387415885925,0.35023224353790283,0.27955570816993713,0.282455176115036,0.2912366986274719,0.35393214225769043,1.0,0.34367692470550537,0.3463578522205353,0.2843348979949951,0.33724796772003174,0.26820138096809387,0.3345835506916046,0.44071322679519653,0.39758381247520447,0.23840026557445526,0.22068053483963013
average,0.2824462950229645,0.3068808615207672,0.24266086518764496,0.1879427284002304,0.3035612404346466,0.18564125895500183,0.27058175206184387,0.15646378695964813,0.15653255581855774,0.25915130972862244,0.24052950739860535,0.1536019891500473,0.14201097190380096,0.20796190202236176,0.28232842683792114,0.1982022374868393,0.21764592826366425
united,0.19034643471240997,0.19398000836372375,0.2176145315170288,0.21480794250965118,0.17530947923660278,0.2082442045211792,0.34367692470550537,1.0000001192092896,0.8952266573905945,0.18404436111450195,0.21529598534107208,0.18533046543598175,0.2363569140434265,0.17416222393512726,0.1760239452123642,0.2093123346567154,0.17266890406608582
states,0.20841296017169952,0.21213924884796143,0.21249030530452728,0.18787707388401031,0.1767372190952301,0.2124703973531723,0.3463578522205353,0.8952266573905945,1.0,0.17421402037143707,0.2322414666414261,0.21701517701148987,0.2085925191640854,0.17472834885120392,0.22187471389770508,0.20311541855335236,0.16272737085819244
worker,0.14722302556037903,0.20061269402503967,0.1555458903312683,0.24465472996234894,0.1726529449224472,0.17043590545654297,0.19223305583000183,0.11534576117992401,0.1103583499789238,0.15192854404449463,0.1652984768152237,0.25090083479881287,0.14211027324199677,0.10121609270572662,0.19941653311252594,0.20555683970451355,0.1447860300540924
had,0.2549138069152832,0.31141290068626404,0.22153395414352417,0.18136727809906006,0.1700197458267212,0.5528231859207153,0.3875846862792969,0.1966206431388855,0.19475843012332916,0.30224326252937317,0.2436254769563675,0.24112042784690857,0.4485461115837097,0.24049615859985352,0.35322055220603943,0.24824859201908112,0.20728366076946259
