,what,is,the,process,in,which,neutrophils,move,towards,the,site,of,inflammation,called,?
during,0.24137552082538605,0.2240111529827118,0.4838213622570038,0.26115119457244873,0.4627237319946289,0.3590145409107208,0.19379456341266632,0.15537898242473602,0.2507815957069397,0.4838213622570038,0.2013818323612213,0.3869180977344513,0.25477415323257446,0.354606956243515,0.1325719803571701
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.6662389636039734,0.6521818041801453,0.20497199892997742,0.29817628860473633,0.31815874576568604,1.0,0.288954496383667,0.733189046382904,0.2567841410636902,0.489897221326828,0.22068053483963013
acute,0.2399604767560959,0.16941764950752258,0.18589986860752106,0.14468570053577423,0.20034965872764587,0.24087704718112946,0.3161919116973877,0.17562958598136902,0.13487276434898376,0.18589986860752106,0.14425089955329895,0.22135603427886963,0.5158770680427551,0.20656275749206543,0.17623421549797058
phase,0.19029277563095093,0.2040843516588211,0.29143109917640686,0.34842538833618164,0.21901577711105347,0.28078609704971313,0.23023037612438202,0.21825425326824188,0.25626301765441895,0.29143109917640686,0.14553488790988922,0.2589104175567627,0.3096707761287689,0.25986096262931824,0.16345681250095367
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23962904512882233,0.5696388483047485,0.5011631846427917,0.207316592335701,0.19058799743652344,0.26409703493118286,0.733189046382904,0.24291633069515228,1.0,0.24866501986980438,0.4222904443740845,0.1826142966747284
inflammation,0.24853453040122986,0.24709373712539673,0.2567841410636902,0.2843659818172455,0.23383644223213196,0.3527457118034363,0.5912877917289734,0.18982051312923431,0.2229042947292328,0.2567841410636902,0.09820418059825897,0.24866501986980438,0.9999999403953552,0.3159918487071991,0.2187519371509552
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2061346471309662,0.5201468467712402,0.3658004403114319,0.2170010507106781,0.25767531991004944,0.2550581693649292,0.4933079481124878,0.2036259025335312,0.4946078956127167,0.21966072916984558,0.26549121737480164,0.31091248989105225
particularly,0.33027681708335876,0.3122353255748749,0.32132959365844727,0.3167632520198822,0.33242201805114746,0.4413786828517914,0.22507701814174652,0.18845133483409882,0.25913554430007935,0.32132959365844727,0.17914634943008423,0.30258041620254517,0.24087464809417725,0.2664825916290283,0.2644225060939789
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22885268926620483,0.3887844979763031,0.41006597876548767,0.2228616178035736,0.2628210484981537,0.2836703062057495,0.48381632566452026,0.21358512341976166,0.3886612355709076,0.17951416969299316,0.2827680706977844,0.27043893933296204
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2601566016674042,0.539380669593811,0.56894451379776,0.21761451661586761,0.2925316393375397,0.2078181505203247,0.5829201340675354,0.21085289120674133,0.5052502155303955,0.24587523937225342,0.4868806302547455,0.23916715383529663
result,0.19945499300956726,0.19420543313026428,0.27778977155685425,0.3461543619632721,0.25670310854911804,0.31989866495132446,0.23603679239749908,0.18238307535648346,0.2559830844402313,0.27778977155685425,0.15215733647346497,0.231380432844162,0.27975958585739136,0.18768227100372314,0.17218433320522308
