,what,term,best,describes,southern,california,'s,collection,of,landscapes,?
southern,0.18679563701152802,0.13718156516551971,0.1124662533402443,0.0895036980509758,1.0,0.2983402609825134,0.02131068892776966,0.10440061241388321,0.31933003664016724,0.22172266244888306,0.11225555837154388
california,0.1811584085226059,0.14818193018436432,0.15362241864204407,0.08311241865158081,0.2983402609825134,1.0,-0.0475497767329216,0.20972973108291626,0.24929828941822052,0.13314741849899292,0.1409905105829239
consists,0.11367427557706833,0.22009800374507904,0.16208098828792572,0.31476762890815735,0.1401759684085846,0.11834762990474701,-0.021244008094072342,0.24928395450115204,0.41510096192359924,0.15612727403640747,-0.004641483072191477
of,0.33290785551071167,0.26047757267951965,0.23660683631896973,0.33623746037483215,0.31933003664016724,0.24929828941822052,-0.03817026689648628,0.2915455996990204,1.0,0.2691197097301483,0.1826142966747284
one,0.376489520072937,0.20483051240444183,0.3874412178993225,0.2730540931224823,0.18585622310638428,0.19388975203037262,0.06913424283266068,0.29259923100471497,0.4999135136604309,0.1710159331560135,0.2673267424106598
of,0.33290785551071167,0.26047757267951965,0.23660683631896973,0.33623746037483215,0.31933003664016724,0.24929828941822052,-0.03817026689648628,0.2915455996990204,1.0,0.2691197097301483,0.1826142966747284
the,0.42745697498321533,0.2740369141101837,0.3134109377861023,0.30593109130859375,0.3282862603664398,0.2750805914402008,-0.01540423184633255,0.25281965732574463,0.733189046382904,0.21186833083629608,0.22068053483963013
more,0.3484537899494171,0.2468089461326599,0.22885671257972717,0.22696344554424286,0.13608552515506744,0.15166103839874268,0.032942235469818115,0.19879412651062012,0.30478984117507935,0.20288123190402985,0.27894994616508484
varied,0.28807467222213745,0.22679747641086578,0.18402814865112305,0.24903787672519684,0.23403586447238922,0.16465623676776886,0.0295517947524786,0.27182355523109436,0.3254011273384094,0.37581852078437805,0.14171531796455383
collections,0.22708594799041748,0.2043001502752304,0.23126856982707977,0.22047095000743866,0.13256731629371643,0.23975874483585358,0.006817140616476536,0.9249221086502075,0.3185039758682251,0.33235397934913635,0.1873358190059662
of,0.33290785551071167,0.26047757267951965,0.23660683631896973,0.33623746037483215,0.31933003664016724,0.24929828941822052,-0.03817026689648628,0.2915455996990204,1.0,0.2691197097301483,0.1826142966747284
geologic,0.2760752737522125,0.2176109403371811,0.16590145230293274,0.19939595460891724,0.1934637874364853,0.17862437665462494,-0.028283389285206795,0.16695062816143036,0.2885846793651581,0.3431292474269867,0.18781805038452148
",",0.3087472915649414,0.21599270403385162,0.3461092710494995,0.18127357959747314,0.2795628309249878,0.2704589068889618,-0.0016132977325469255,0.2277175933122635,0.4946078956127167,0.24080586433410645,0.31091248989105225
