,who,patented,a,steam,engine,in,1781,?
in,0.2792111933231354,0.1809646189212799,0.539380669593811,0.19852672517299652,0.18885408341884613,1.0,0.1715576946735382,0.20430970191955566
1781,0.015366584062576294,0.1671673208475113,0.025819789618253708,0.03692492097616196,0.07683729380369186,0.1715576946735382,0.9999999403953552,0.11287903040647507
james,0.2562035918235779,0.13353084027767181,0.19130736589431763,0.16582752764225006,0.14642857015132904,0.1994210183620453,-0.0011185707990080118,0.12139993160963058
watt,0.22992701828479767,0.24881789088249207,0.21096299588680267,0.3759114742279053,0.31998884677886963,0.14650258421897888,0.005896939896047115,0.16354146599769592
patented,0.2226940393447876,1.0000001192092896,0.2284489870071411,0.32921862602233887,0.30315786600112915,0.1809646189212799,0.1671673208475113,0.08803384751081467
a,0.36608949303627014,0.2284489870071411,1.0,0.2141898274421692,0.24768835306167603,0.539380669593811,0.025819789618253708,0.23916715383529663
steam,0.1786653995513916,0.32921862602233887,0.2141898274421692,1.0000001192092896,0.4921848475933075,0.19852672517299652,0.03692492097616196,0.113324373960495
engine,0.1543407142162323,0.30315786600112915,0.24768835306167603,0.4921848475933075,1.0,0.18885408341884613,0.07683729380369186,0.17739196121692657
that,0.45444270968437195,0.24960818886756897,0.47537946701049805,0.24386391043663025,0.23960842192173004,0.435920387506485,0.0760980024933815,0.32716336846351624
produced,0.12907662987709045,0.3051992356777191,0.21993228793144226,0.1864473819732666,0.19917616248130798,0.2542861998081207,0.06391169130802155,0.1623450517654419
continuous,0.10210873186588287,0.20345766842365265,0.3027247488498688,0.28747954964637756,0.20633754134178162,0.2536813020706177,0.06439675390720367,0.10320229828357697
rotary,0.16295596957206726,0.3291822075843811,0.3010491132736206,0.3665830194950104,0.37851420044898987,0.18010728061199188,0.15011103451251984,0.07097224146127701
motion,0.1509658545255661,0.1692502349615097,0.23572494089603424,0.2100580781698227,0.1983572393655777,0.2190442532300949,0.02756275050342083,0.20143945515155792
.,0.3541337847709656,0.21934163570404053,0.50484299659729,0.22855372726917267,0.21814921498298645,0.5591574311256409,0.15575876832008362,0.4130953550338745
