,what,is,the,name,of,the,united,kingdom,operation,for,bskyb,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.34367692470550537,0.3143408000469208,0.2985492944717407,0.4739971458911896,0.20915858447551727,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.1602238416671753,0.3187655806541443,0.34367692470550537,1.0000001192092896,0.5955035090446472,0.24755021929740906,0.30487096309661865,0.20060253143310547,0.17266890406608582
kingdom,0.17826133966445923,0.1914215236902237,0.3143408000469208,0.21492910385131836,0.3218171298503876,0.3143408000469208,0.5955035090446472,1.0000001192092896,0.1835029572248459,0.19669248163700104,0.20585425198078156,0.12927088141441345
operations,0.1829104721546173,0.18517667055130005,0.2928410470485687,0.09533246606588364,0.28191348910331726,0.2928410470485687,0.2967267334461212,0.17066742479801178,0.8845241069793701,0.27237167954444885,0.19647319614887238,0.13622350990772247
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.34663957357406616,0.4924938678741455,0.6021018624305725,0.30441129207611084,0.23465117812156677,0.20643728971481323,0.5373267531394958,0.1555507481098175,0.21848613023757935
changed,0.2667781710624695,0.22939924895763397,0.351829469203949,0.4129335880279541,0.3099449872970581,0.351829469203949,0.19978973269462585,0.18790456652641296,0.14091962575912476,0.2722912132740021,0.23875002562999725,0.21123318374156952
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.34367692470550537,0.3143408000469208,0.2985492944717407,0.4739971458911896,0.20915858447551727,0.22068053483963013
company,0.2333769053220749,0.18005689978599548,0.26591673493385315,0.21465471386909485,0.20467796921730042,0.26591673493385315,0.21549668908119202,0.15908515453338623,0.24634511768817902,0.25874319672584534,0.18916723132133484,0.12195809185504913
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,1.0,0.24075818061828613,0.3171212375164032,0.1602238416671753,0.21492910385131836,0.14279961585998535,0.25737348198890686,0.2800062596797943,0.15381577610969543
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.27339106798171997,0.2127424031496048,0.11855633556842804,0.314039945602417,0.12453003972768784,0.19969791173934937
british,0.19255435466766357,0.19484983384609222,0.28973397612571716,0.12175101041793823,0.23701532185077667,0.28973397612571716,0.32930073142051697,0.36255303025245667,0.19235730171203613,0.1970057189464569,0.13690340518951416,0.09711728990077972
sky,0.16493305563926697,0.21240133047103882,0.26521286368370056,0.17572557926177979,0.16284865140914917,0.26521286368370056,0.19968673586845398,0.15686266124248505,0.07973366230726242,0.15601696074008942,0.2902737259864807,0.11270341277122498
broadcasting,0.18499015271663666,0.1978546530008316,0.29916465282440186,0.16204847395420074,0.25924646854400635,0.29916465282440186,0.27987051010131836,0.2433680295944214,0.2565793991088867,0.29230615496635437,0.24383984506130219,0.10870421677827835
limited,0.23110276460647583,0.17759747803211212,0.2757521867752075,0.12797628343105316,0.3373238146305084,0.2757521867752075,0.24431981146335602,0.21485832333564758,0.2612755298614502,0.2708005905151367,0.07633252441883087,0.09444807469844818
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.2715383470058441,0.19473806023597717,0.2483084350824356,0.4451248347759247,0.16040074825286865,0.29463258385658264
sky,0.16493305563926697,0.21240133047103882,0.26521286368370056,0.17572557926177979,0.16284865140914917,0.26521286368370056,0.19968673586845398,0.15686266124248505,0.07973366230726242,0.15601696074008942,0.2902737259864807,0.11270341277122498
uk,0.17163191735744476,0.17650434374809265,0.2143084555864334,0.07690058648586273,0.21513383090496063,0.2143084555864334,0.40107643604278564,0.5142970681190491,0.14511990547180176,0.22479099035263062,0.21248479187488556,0.20222434401512146
limited,0.23110276460647583,0.17759747803211212,0.2757521867752075,0.12797628343105316,0.3373238146305084,0.2757521867752075,0.24431981146335602,0.21485832333564758,0.2612755298614502,0.2708005905151367,0.07633252441883087,0.09444807469844818
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.3053959608078003,0.2585166394710541,0.24555085599422455,0.4464869201183319,0.2852807641029358,0.31091248989105225
still,0.4548931419849396,0.3574111759662628,0.40142056345939636,0.19987735152244568,0.3288819193840027,0.40142056345939636,0.2508290112018585,0.21904245018959045,0.17031794786453247,0.37984156608581543,0.1479402780532837,0.3039587736129761
trading,0.23206625878810883,0.2091524600982666,0.27514398097991943,0.16877801716327667,0.23944026231765747,0.27514398097991943,0.16607193648815155,0.22372180223464966,0.24438798427581787,0.2608646750450134,0.14319771528244019,0.15743456780910492
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.27979812026023865,0.21772725880146027,0.1800476312637329,0.44774648547172546,0.18719172477722168,0.27043893933296204
sky,0.16493305563926697,0.21240133047103882,0.26521286368370056,0.17572557926177979,0.16284865140914917,0.26521286368370056,0.19968673586845398,0.15686266124248505,0.07973366230726242,0.15601696074008942,0.2902737259864807,0.11270341277122498
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.3406063914299011,0.23047322034835815,0.21765126287937164,0.4726039469242096,0.2844841778278351,0.4130953550338745
