,which,mongol,conqueror,was,most,celebrated,by,the,mughal,emperors,?
however,0.5545716285705566,0.2643967568874359,0.24189507961273193,0.37327632308006287,0.4937610328197479,0.2165078967809677,0.34889668226242065,0.49814513325691223,0.24475908279418945,0.2758481204509735,0.2152075469493866
",",0.3658004403114319,0.2229510098695755,0.20662738382816315,0.45456063747406006,0.3636029064655304,0.2734745144844055,0.3680937886238098,0.4933079481124878,0.18070413172245026,0.24660007655620575,0.31091248989105225
mughal,0.1589783877134323,0.5165902376174927,0.3758825361728668,0.24469386041164398,0.18256843090057373,0.2323811650276184,0.18050874769687653,0.2288299798965454,1.0000001192092896,0.4662812352180481,0.1443050354719162
emperors,0.22473634779453278,0.3681061267852783,0.3324602246284485,0.23466189205646515,0.24113863706588745,0.25114306807518005,0.20061898231506348,0.3175390362739563,0.4662812352180481,1.0000001192092896,0.20214810967445374
directly,0.5192315578460693,0.18015778064727783,0.2212468385696411,0.22806373238563538,0.31756410002708435,0.11251460760831833,0.3989485204219818,0.4502958655357361,0.09793009608983994,0.16329325735569,0.2187996357679367
patronized,0.21161919832229614,0.15260303020477295,0.1899111121892929,0.24938631057739258,0.2678849995136261,0.39046797156333923,0.21849657595157623,0.2224651426076889,0.22653430700302124,0.30647334456443787,0.14385923743247986
the,0.6521818041801453,0.2924198508262634,0.3065539300441742,0.48711544275283813,0.47635307908058167,0.27264803647994995,0.4408751428127289,1.0,0.2288299798965454,0.3175390362739563,0.22068053483963013
legacies,0.2656887471675873,0.23001745343208313,0.23861022293567657,0.17893770337104797,0.3300345838069916,0.22187495231628418,0.16836319863796234,0.2549475133419037,0.18672169744968414,0.29800641536712646,0.17665261030197144
of,0.5011631846427917,0.22712039947509766,0.27546966075897217,0.4069072902202606,0.4178851246833801,0.2706945240497589,0.3646814823150635,0.733189046382904,0.25181251764297485,0.3114609718322754,0.1826142966747284
genghis,0.26472097635269165,0.6244974732398987,0.4710787832736969,0.3037589192390442,0.22644314169883728,0.18277835845947266,0.22102472186088562,0.3448939025402069,0.576445460319519,0.440491259098053,0.18813461065292358
khan,0.19211235642433167,0.5576101541519165,0.32583603262901306,0.23483267426490784,0.15546606481075287,0.09446839988231659,0.13558374345302582,0.21067845821380615,0.5494067668914795,0.27338123321533203,0.12862591445446014
and,0.506277859210968,0.21553155779838562,0.24943439662456512,0.3740963041782379,0.4309377074241638,0.19334107637405396,0.4289871156215668,0.5171257257461548,0.2251623421907425,0.20162275433540344,0.20544172823429108
timur,0.17253513634204865,0.5979902148246765,0.4397563636302948,0.16843290627002716,0.1305490881204605,0.15158087015151978,0.13288845121860504,0.2211863100528717,0.572106122970581,0.3231406509876251,0.11864087730646133
;,-0.01244901679456234,-0.008037634193897247,0.09339626878499985,0.0754367932677269,0.09552082419395447,0.1321314126253128,0.10469875484704971,0.09152708947658539,0.07070578634738922,0.0019749838393181562,0.10349778085947037
together,0.3194063603878021,0.1414746344089508,0.09533310681581497,0.14391832053661346,0.17968711256980896,0.16507144272327423,0.24535199999809265,0.26662585139274597,0.09577019512653351,0.1426270753145218,0.1690303236246109
their,0.4582767188549042,0.2211313098669052,0.20103469491004944,0.2396296262741089,0.3699820935726166,0.19120673835277557,0.3242124021053314,0.516537070274353,0.23014597594738007,0.2745964229106903,0.1898253709077835
names,0.2614363133907318,0.12177327275276184,0.11425267159938812,0.1456085443496704,0.2269352227449417,0.18743260204792023,0.21136626601219177,0.27965226769447327,0.12354087829589844,0.3103697896003723,0.16607333719730377
were,0.2807837128639221,0.21221880614757538,0.191649928689003,0.590133786201477,0.3543298542499542,0.18756923079490662,0.4406847059726715,0.3906462490558624,0.27067476511001587,0.32265302538871765,0.17890112102031708
synonymous,0.3097764551639557,0.15537650883197784,0.162990540266037,0.2224542647600174,0.27078214287757874,0.25634774565696716,0.21307481825351715,0.27926161885261536,0.18622955679893494,0.20624271035194397,0.1670595407485962
with,0.46403205394744873,0.1917596012353897,0.15795309841632843,0.27411898970603943,0.336320698261261,0.18597042560577393,0.39731505513191223,0.4223487675189972,0.1531340479850769,0.2004733830690384,0.2433311939239502
the,0.6521818041801453,0.2924198508262634,0.3065539300441742,0.48711544275283813,0.47635307908058167,0.27264803647994995,0.4408751428127289,1.0,0.2288299798965454,0.3175390362739563,0.22068053483963013
names,0.2614363133907318,0.12177327275276184,0.11425267159938812,0.1456085443496704,0.2269352227449417,0.18743260204792023,0.21136626601219177,0.27965226769447327,0.12354087829589844,0.3103697896003723,0.16607333719730377
of,0.5011631846427917,0.22712039947509766,0.27546966075897217,0.4069072902202606,0.4178851246833801,0.2706945240497589,0.3646814823150635,0.733189046382904,0.25181251764297485,0.3114609718322754,0.1826142966747284
other,0.50507652759552,0.17935317754745483,0.15990202128887177,0.14651623368263245,0.4585079252719879,0.13668127357959747,0.3321913778781891,0.44152235984802246,0.14200904965400696,0.23772194981575012,0.24682199954986572
distinguished,0.23721866309642792,0.10830675065517426,0.18898124992847443,0.22172307968139648,0.20249174535274506,0.13010506331920624,0.2082354724407196,0.23548999428749084,0.11682616174221039,0.17534862458705902,0.08062640577554703
personalities,0.22444717586040497,0.0773017406463623,0.18142463266849518,0.20131030678749084,0.2268741875886917,0.19306258857250214,0.17096519470214844,0.24055127799510956,0.08642718940973282,0.1908353716135025,0.1626834124326706
particularly,0.4413786828517914,0.06540533900260925,0.14197967946529388,0.2561531662940979,0.5707136988639832,0.2788219153881073,0.2482723891735077,0.32132959365844727,0.21628338098526,0.18595649302005768,0.2644225060939789
among,0.3077724575996399,0.18552954494953156,0.13398334383964539,0.23730893433094025,0.5484373569488525,0.2221583127975464,0.3222726583480835,0.3507058024406433,0.1321784108877182,0.21190975606441498,0.14343059062957764
the,0.6521818041801453,0.2924198508262634,0.3065539300441742,0.48711544275283813,0.47635307908058167,0.27264803647994995,0.4408751428127289,1.0,0.2288299798965454,0.3175390362739563,0.22068053483963013
muslim,0.20675697922706604,0.3543543815612793,0.2534129321575165,0.230477973818779,0.27393874526023865,0.2945009469985962,0.18139012157917023,0.28099653124809265,0.509917676448822,0.21968019008636475,0.17456822097301483
