,what,team,did,rivera,play,for,in,super,bowl,xx,?
with,0.2464839518070221,0.21111343801021576,0.25472134351730347,0.21464984118938446,0.2415807843208313,0.39140474796295166,0.4080928862094879,0.1518537551164627,0.18353787064552307,0.0913156270980835,0.2433311939239502
rivera,0.11905807256698608,0.23404523730278015,0.16576150059700012,1.0000001192092896,0.16279497742652893,0.18858976662158966,0.2068725824356079,0.16309233009815216,0.13566109538078308,0.09212981909513474,0.17391206324100494
having,0.34064167737960815,0.13739436864852905,0.3157401978969574,0.12234654277563095,0.17905408143997192,0.38465240597724915,0.32022708654403687,0.1636309027671814,0.1432962417602539,0.034971412271261215,0.22418256103992462
been,0.2567804455757141,0.1420431286096573,0.2835664749145508,0.14972220361232758,0.1727621853351593,0.39068686962127686,0.3515113592147827,0.16475224494934082,0.17613008618354797,0.10498711466789246,0.24354910850524902
a,0.3320399522781372,0.19125498831272125,0.2552328109741211,0.16267988085746765,0.21130098402500153,0.44038116931915283,0.539380669593811,0.26005712151527405,0.19533146917819977,0.16178521513938904,0.23916715383529663
linebacker,0.15475627779960632,0.29453736543655396,0.13520534336566925,0.24688376486301422,0.309945672750473,0.27424296736717224,0.22480759024620056,0.28596732020378113,0.4219481945037842,0.20794780552387238,0.15540370345115662
with,0.2464839518070221,0.21111343801021576,0.25472134351730347,0.21464984118938446,0.2415807843208313,0.39140474796295166,0.4080928862094879,0.1518537551164627,0.18353787064552307,0.0913156270980835,0.2433311939239502
the,0.42745697498321533,0.22564226388931274,0.34736719727516174,0.21485848724842072,0.24793598055839539,0.4739971458911896,0.6662389636039734,0.21959073841571808,0.21576224267482758,0.2355078011751175,0.22068053483963013
chicago,0.1521448791027069,0.18985861539840698,0.1900576800107956,0.237662211060524,0.2157338410615921,0.2320132851600647,0.23921214044094086,0.11570389568805695,0.18324002623558044,0.10846977680921555,0.16446958482265472
bears,0.19530993700027466,0.23622120916843414,0.18967753648757935,0.11972317844629288,0.19438229501247406,0.29828059673309326,0.21073439717292786,0.22805571556091309,0.3094787001609802,0.10401496291160583,0.13283714652061462
