,how,did,the,principle,treaties,that,form,the,european,union,begin,?
the,0.33890387415885925,0.34736719727516174,1.0,0.24017377197742462,0.28970760107040405,0.5473989248275757,0.29286009073257446,1.0,0.3423081040382385,0.24421639740467072,0.34293439984321594,0.22068053483963013
principal,0.10933094471693039,0.1948373019695282,0.23882900178432465,0.4145815670490265,0.16060826182365417,0.17596200108528137,0.1702863872051239,0.23882900178432465,0.21024054288864136,0.12002922594547272,0.1975056678056717,0.10016445070505142
treaties,0.2684180736541748,0.25577887892723083,0.28970760107040405,0.3250291049480438,0.9999998807907104,0.2838388681411743,0.14574183523654938,0.28970760107040405,0.30161675810813904,0.34353530406951904,0.2084764838218689,0.1693580597639084
that,0.557814359664917,0.47518548369407654,0.5473989248275757,0.3780646324157715,0.2838388681411743,1.0,0.31894639134407043,0.5473989248275757,0.2049320936203003,0.17320044338703156,0.27644142508506775,0.32716336846351624
form,0.1948026418685913,0.18086659908294678,0.29286009073257446,0.28802743554115295,0.14574183523654938,0.31894639134407043,0.9999999403953552,0.29286009073257446,0.1079501137137413,0.1597227305173874,0.1998513787984848,0.1463010311126709
the,0.33890387415885925,0.34736719727516174,1.0,0.24017377197742462,0.28970760107040405,0.5473989248275757,0.29286009073257446,1.0,0.3423081040382385,0.24421639740467072,0.34293439984321594,0.22068053483963013
european,0.123964823782444,0.2440035194158554,0.3423081040382385,0.17359736561775208,0.30161675810813904,0.2049320936203003,0.1079501137137413,0.3423081040382385,0.9999998807907104,0.3571677803993225,0.14297418296337128,0.14560863375663757
union,0.1126161515712738,0.185054212808609,0.24421639740467072,0.17997705936431885,0.34353530406951904,0.17320044338703156,0.1597227305173874,0.24421639740467072,0.3571677803993225,0.9999999403953552,0.13620470464229584,0.07797172665596008
began,0.2146909385919571,0.4415510594844818,0.3059147596359253,0.15055343508720398,0.1993774026632309,0.21520264446735382,0.1518915742635727,0.3059147596359253,0.23180368542671204,0.18980181217193604,0.49711355566978455,0.1370266228914261
with,0.3525622487068176,0.25472134351730347,0.4223487675189972,0.21926715970039368,0.3085373342037201,0.4154358208179474,0.29348593950271606,0.4223487675189972,0.19647395610809326,0.19172410666942596,0.25770750641822815,0.2433311939239502
common,0.17140580713748932,0.12848728895187378,0.2705984115600586,0.22005508840084076,0.17313340306282043,0.2786630392074585,0.3049631416797638,0.2705984115600586,0.2376275211572647,0.12191293388605118,0.16775557398796082,0.20434872806072235
rules,0.40467578172683716,0.26674893498420715,0.27022838592529297,0.33640778064727783,0.35571011900901794,0.3367280662059784,0.14602458477020264,0.27022838592529297,0.14646150171756744,0.20935659110546112,0.1448991596698761,0.22111085057258606
for,0.3308170735836029,0.318512886762619,0.4739971458911896,0.19208170473575592,0.2837989032268524,0.4137635827064514,0.2342945635318756,0.4739971458911896,0.2838500738143921,0.20406247675418854,0.29862016439437866,0.264628142118454
coal,0.15703199803829193,0.12918034195899963,0.23263108730316162,0.18938079476356506,0.1973966807126999,0.20959489047527313,0.11004921048879623,0.23263108730316162,0.2317759245634079,0.23895439505577087,0.10315030813217163,0.10339318215847015
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.18017759919166565,0.2571636438369751,0.4731321930885315,0.30469027161598206,0.5171257257461548,0.24143946170806885,0.2594362497329712,0.2599445581436157,0.20544172823429108
steel,0.19068843126296997,0.07788264751434326,0.23159778118133545,0.19262805581092834,0.20743794739246368,0.17656151950359344,0.09013980627059937,0.23159778118133545,0.13141311705112457,0.18659868836402893,0.11517650634050369,0.15723858773708344
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.22548964619636536,0.2152065634727478,0.4137537479400635,0.21805599331855774,0.4933079481124878,0.19684812426567078,0.2362271547317505,0.27304404973983765,0.31091248989105225
