,what,is,almost,identical,across,all,nations,and,jurisdictions,?
most,0.3219912350177765,0.41165053844451904,0.43784451484680176,0.21971285343170166,0.3014902174472809,0.5116150975227356,0.21323329210281372,0.4309377074241638,0.21229124069213867,0.2107497900724411
studies,0.18772079050540924,0.2583865225315094,0.14526411890983582,0.2010062038898468,0.18264327943325043,0.16254563629627228,0.2601335644721985,0.30504533648490906,0.21613775193691254,0.1388726830482483
looking,0.39359530806541443,0.19272714853286743,0.21741552650928497,0.29718008637428284,0.2718631327152252,0.32318115234375,0.11742789298295975,0.28787463903427124,0.1125580444931984,0.2733345925807953
into,0.2180619090795517,0.2619607150554657,0.2676369547843933,0.22512155771255493,0.4193579852581024,0.2507680058479309,0.11399220675230026,0.36597734689712524,0.1772204339504242,0.15662476420402527
the,0.42745697498321533,0.5823672413825989,0.3341992199420929,0.2547973096370697,0.3816230297088623,0.4860881567001343,0.3506215214729309,0.5171257257461548,0.2714405059814453,0.22068053483963013
relationship,0.24358563125133514,0.22806847095489502,0.175276517868042,0.2762097716331482,0.10935187339782715,0.19351141154766083,0.1934821456670761,0.3086830675601959,0.16953033208847046,0.11361731588840485
have,0.39808809757232666,0.3613572418689728,0.4221777319908142,0.35958054661750793,0.26921841502189636,0.5559456944465637,0.2699330151081085,0.4711785912513733,0.30123820900917053,0.32991164922714233
concentrated,0.20476274192333221,0.25344735383987427,0.26088204979896545,0.12260957062244415,0.2528223693370819,0.28014346957206726,0.17890116572380066,0.337016761302948,0.19088366627693176,0.11501483619213104
on,0.34226128458976746,0.3635730445384979,0.3132628798484802,0.174116849899292,0.411987841129303,0.3832052946090698,0.2307199388742447,0.4077630043029785,0.24852445721626282,0.2714994251728058
homicides,0.1933090090751648,0.24526190757751465,0.1658562868833542,0.14699505269527435,0.2205604761838913,0.24659188091754913,0.2877506613731384,0.21591614186763763,0.3167709410190582,0.21218115091323853
–,0.13008765876293182,0.1436920464038849,0.1619654893875122,0.1383524090051651,0.14334113895893097,0.2140238881111145,0.15280327200889587,0.3279274106025696,0.06006772816181183,0.2714554965496063
since,0.29783400893211365,0.3567592203617096,0.35536280274391174,0.1444994956254959,0.2003818154335022,0.3231091797351837,0.31858688592910767,0.3515571057796478,0.1910611391067505,0.2876587212085724
homicides,0.1933090090751648,0.24526190757751465,0.1658562868833542,0.14699505269527435,0.2205604761838913,0.24659188091754913,0.2877506613731384,0.21591614186763763,0.3167709410190582,0.21218115091323853
are,0.29724663496017456,0.5330929756164551,0.34548285603523254,0.31872791051864624,0.24150612950325012,0.5343062281608582,0.20875512063503265,0.48576638102531433,0.2782263457775116,0.24591213464736938
almost,0.2467888444662094,0.29784226417541504,0.9999999403953552,0.36026501655578613,0.31607356667518616,0.5180846452713013,0.1548282504081726,0.36736544966697693,0.17090654373168945,0.1372147500514984
identically,0.1923801153898239,0.26426994800567627,0.42364007234573364,0.8327429890632629,0.21370847523212433,0.3447011113166809,0.1485549956560135,0.24515224993228912,0.16618028283119202,0.15367765724658966
defined,0.25343453884124756,0.2622792422771454,0.24927708506584167,0.27307313680648804,0.1718723475933075,0.22623001039028168,0.19464237987995148,0.2678177058696747,0.3019636869430542,0.22494901716709137
across,0.24809791147708893,0.21617691218852997,0.31607356667518616,0.20562013983726501,1.0,0.2928158938884735,0.24163638055324554,0.3308866024017334,0.20886269211769104,0.17034576833248138
all,0.41981086134910583,0.2553904056549072,0.5180846452713013,0.32902538776397705,0.2928158938884735,1.0000001192092896,0.28573861718177795,0.4542157053947449,0.27812936902046204,0.29575422406196594
nations,0.19211222231388092,0.19151805341243744,0.1548282504081726,0.12094326317310333,0.24163638055324554,0.28573861718177795,0.9999998807907104,0.2505394220352173,0.3588730990886688,0.20999202132225037
and,0.31309178471565247,0.3859752118587494,0.36736544966697693,0.26339876651763916,0.3308866024017334,0.4542157053947449,0.2505394220352173,1.0,0.24461956322193146,0.20544172823429108
jurisdictions,0.2691689431667328,0.21905726194381714,0.17090654373168945,0.16713063418865204,0.20886269211769104,0.27812936902046204,0.3588730990886688,0.24461956322193146,1.0000001192092896,0.20752876996994019
.,0.3567904531955719,0.4569662809371948,0.3878043293952942,0.2286931574344635,0.26410314440727234,0.43406882882118225,0.2933122515678406,0.588965117931366,0.2451501190662384,0.4130953550338745
