,what,type,of,authority,do,sudbury,schools,prefer,?
sudbury,0.2615657150745392,0.1376994401216507,0.2565978765487671,0.21719206869602203,0.08049748837947845,1.0000001192092896,0.17674987018108368,0.13709436357021332,0.18414859473705292
model,0.2303347885608673,0.19148899614810944,0.18271391093730927,0.10896991938352585,0.12848353385925293,0.206010103225708,0.08655571192502975,0.16349060833454132,0.14843042194843292
democratic,0.1858556717634201,0.0537315309047699,0.2273487150669098,0.19787128269672394,0.1549958437681198,0.19384583830833435,0.23193933069705963,0.1661190688610077,0.1668088138103485
schools,0.1820785105228424,0.1240563839673996,0.265506386756897,0.2875272333621979,0.19505831599235535,0.17674987018108368,1.0,0.18764524161815643,0.18349280953407288
claim,0.30214840173721313,0.0866822823882103,0.2833690047264099,0.3516048789024353,0.27428990602493286,0.1433265209197998,0.18817530572414398,0.15526117384433746,0.2665664851665497
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.29481130838394165,0.44533252716064453,0.23279248178005219,0.2649109661579132,0.2973148226737976,0.32716336846351624
popularly,0.09701934456825256,0.11091448366641998,0.22144168615341187,0.15019363164901733,0.13514167070388794,0.062140852212905884,0.14855119585990906,0.157929927110672,0.17991875112056732
based,0.274813175201416,0.19222953915596008,0.3033197224140167,0.19261039793491364,0.2074713259935379,0.21599599719047546,0.20668327808380127,0.1884583979845047,0.134929820895195
authority,0.23046736419200897,0.11715258657932281,0.28063252568244934,1.0000001192092896,0.23318396508693695,0.21719206869602203,0.2875272333621979,0.147984579205513,0.18404170870780945
can,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.1509893387556076,0.45775556564331055,0.17204788327217102,0.162617489695549,0.44537046551704407,0.3226337134838104
maintain,0.2619679272174835,0.17209723591804504,0.2703363299369812,0.2852153778076172,0.2804717719554901,0.12337569892406464,0.23024114966392517,0.32240626215934753,0.20568779110908508
order,0.16634008288383484,0.10786867141723633,0.31287699937820435,0.1806820034980774,0.20566318929195404,0.09253748506307602,0.17616014182567596,0.2033475935459137,0.13725648820400238
more,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.18959912657737732,0.3514035940170288,0.15818823873996735,0.16193780303001404,0.37271106243133545,0.27894994616508484
effectively,0.2696734368801117,0.16907474398612976,0.28600621223449707,0.2290482074022293,0.2419419288635254,0.12140250205993652,0.17700867354869843,0.22098256647586823,0.21523159742355347
than,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.19159960746765137,0.2387038916349411,0.19569706916809082,0.16902634501457214,0.40786832571029663,0.24917294085025787
dictatorial,0.23173588514328003,0.08448602259159088,0.3019794523715973,0.25693628191947937,0.1943535953760147,0.10288957506418228,0.19078168272972107,0.15159302949905396,0.14160902798175812
authority,0.23046736419200897,0.11715258657932281,0.28063252568244934,1.0000001192092896,0.23318396508693695,0.21719206869602203,0.2875272333621979,0.147984579205513,0.18404170870780945
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.17207419872283936,0.29510271549224854,0.18775807321071625,0.2320515662431717,0.26722946763038635,0.264628142118454
governments,0.2814749777317047,0.12310703843832016,0.30223309993743896,0.42440956830978394,0.25228410959243774,0.09350602328777313,0.405094176530838,0.18849575519561768,0.18805137276649475
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.22905389964580536,0.276123583316803,0.2647899389266968,0.29319998621940613,0.2862892150878906,0.20544172823429108
schools,0.1820785105228424,0.1240563839673996,0.265506386756897,0.2875272333621979,0.19505831599235535,0.17674987018108368,1.0,0.18764524161815643,0.18349280953407288
alike,0.30896133184432983,0.15038645267486572,0.20350003242492676,0.16040661931037903,0.3161761462688446,0.13064751029014587,0.209385484457016,0.2816767692565918,0.2217777818441391
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.19641262292861938,0.3613996207714081,0.226540207862854,0.2752705216407776,0.25715282559394836,0.4130953550338745
